Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceRefs,KeyResourceUrls,trusted_source_id,peer_reviewed,vetting_body,data_quality_notes,status,deprecated_at,deprecated_reason,KeyResourceUrl,verified_date,PatentRefs,PatentUrls,MigrateCatalogRefs,MigrateCatalogUrls
Vincent Strubel,France,Director General,ANSSI (France),Public,Government,"Led overall French PQC strategy; ANSSI to require PQC in all products for qualification from 2027; oversaw first PQC certifications (Thales MultiApp 5.2, Samsung S3SSE2A, 2025); IPsec DR PQC update planned 2026.",https://ui-avatars.com/api/?name=Vincent+Strubel&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gouv.fr/en/,https://www.linkedin.com/in/vincent-strubel-7b7056200/,ANSSI PQC Position Paper;ANSSI-PQC-FAQ-2025;ANSSI-PQC-Position-2022;EU-BSI-PQC-Joint-Statement-2024,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique-0,,partial,ANSSI (France),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: ANSSI Director General since Jan 2023 confirmed; the specific 2027 PQC qualification requirement and the Thales MultiApp 5.2 / Samsung S3SSE2A 2025 certifications independently reconfirmed via ANSSI's own product certification pages.,active,,,,2026-07-17,,,,
Claudia Plattner,Germany,President,BSI (Germany),Public,Government,"Since July 2023 led BSI's quantum-safe initiatives; co-initiated (with FR/NL/DE agencies) the joint EU PQC statement (Nov 2024); oversaw world-first quantum-secure ID card with Bundesdruckerei, G+D, and Infineon (Nov 2025).",https://ui-avatars.com/api/?name=Claudia+Plattner&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/claudiaplattner/,BSI TR-02102-1;BSI-AIS-20-31;BSI-ANSSI-QKD-Position-2024;EU-BSI-PQC-Joint-Statement-2024,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html,bsi,partial,BSI (Germany),"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation) | BSI URL corrected 2026-08-09: the path segment 'TR-nach-Thema-geordnet' was renamed to 'TR-nach-Thema-sortiert' upstream, so the stored link answered BSI's 404 page. Same document, same TR-02102 landing page.",active,,,,2026-07-09,,,,
Dr. Stephan Ehlen,Germany,Expert Quantum Technologies and PQC,BSI (Germany),Public,Government,"Presented BSI's PQC policy at international conferences; developed recommendations for FrodoKEM, Classic McEliece, XMSS, LMS.",https://ui-avatars.com/api/?name=Stephan+Ehlen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/stephan-ehlen/,BSI TR-02102-1;BSI-AIS-20-31;BSI-ANSSI-QKD-Position-2024;EU-BSI-PQC-Joint-Statement-2024,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html,bsi,partial,BSI (Germany),"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: BSI cryptography-team role confirmed (PhD in Number Theory, at BSI since 2021); the specific algorithm list (FrodoKEM, Classic McEliece, XMSS, LMS) matches BSI's own TR-02102-1 guideline he presents on. Candidate library references (not yet added): his PKIC 2023 and ETSI 2024 conference slide decks. | BSI URL corrected 2026-08-09: the path segment 'TR-nach-Thema-geordnet' was renamed to 'TR-nach-Thema-sortiert' upstream, so the stored link answered BSI's 404 page. Same document, same TR-02102 landing page.",active,,,,2026-07-17,,,,
Juhan Lepassaar,European Union,Executive Director,ENISA,Public,Government,Oversaw publication of key ENISA PQC reports (2021-2022); hosted Threathunt 2030 Conference; coordinated EU-wide PQC guidance.,https://ui-avatars.com/api/?name=Juhan+Lepassaar&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.enisa.europa.eu/,https://www.linkedin.com/in/juhan-lepassaar-961205340/,ENISA PQC Guidelines;ENISA-EUDI-Wallet-Security;EU-NIS-CG-Roadmap-v1.1;EUCC v2.0 ACM,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation; https://www.enisa.europa.eu/publications/post-quantum-cryptography-integration-study; https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography; https://certification.enisa.europa.eu/document/download/f4657490-9757-4a97-8deb-fd4d6a1358ee_en?filename=EUCC_guidelines_Agreed+Cryptographic+Mechanisms+v2.pdf,enisa,partial,ENISA,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation),active,,,,2026-07-09,,,,
Dr. Vadim Lyubashevsky,Switzerland,Principal Research Scientist,IBM Research Europe Zurich,Academic,Algorithm Inventor,Principal designer of both Kyber (ML-KEM) and Dilithium (ML-DSA); authored foundational lattice cryptography tutorials.,https://ui-avatars.com/api/?name=Vadim+Lyubashevsky&background=0b0d17&color=f59e0b&size=128&bold=true,https://researcher.watson.ibm.com/researcher/view.php?person=zurich-VAD,https://www.linkedin.com/in/vadim-lyubashevsky-13b8142/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,yes,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation),active,,,,2026-07-09,10742413,https://patents.google.com/patent/US10742413/en,,
Prof. Dr. Léo Ducas,France,Senior Researcher; Professor,CWI Amsterdam; Leiden University,Academic,Algorithm Inventor,"Co-designer of Kyber, Dilithium, NewHope, Frodo; leading expert on lattice cryptanalysis; USENIX/Facebook Internet Defense Prize recipient.",https://ui-avatars.com/api/?name=Leo+Ducas&background=0b0d17&color=f59e0b&size=128&bold=true,https://homepages.cwi.nl/~ducas/,https://www.linkedin.com/in/leo-ducas-28b6a04a/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,yes,NIST,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: CWI Amsterdam Senior Researcher + Leiden University Professor roles, Kyber/Dilithium/NewHope/FrodoKEM co-design, and the 2016 USENIX/Facebook Internet Defense Prize (for NewHope) all reconfirmed.",active,,,,2026-07-17,,,,
Prof. Dr. Eike Kiltz,Germany,Professor,Ruhr University Bochum,Academic,Algorithm Inventor,Co-designer of Kyber and Dilithium; developed security proofs for lattice-based schemes.,https://ui-avatars.com/api/?name=Eike+Kiltz&background=0b0d17&color=f59e0b&size=128&bold=true,https://informatik.rub.de/kiltz/,https://www.linkedin.com/in/eike-kiltz-24b167387/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,yes,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: Ruhr University Bochum professorship (since 2010) and Kyber/Dilithium co-design reconfirmed.,active,,,,2026-07-17,,,,
Prof. Dr. Andreas Hülsing,Germany,Associate Professor,TU Eindhoven; SandboxAQ,Academic,Algorithm Inventor,Team leader and primary submitter for SPHINCS+; inventor of WOTS+ and XMSS; extensive publications on hash-based signatures.,https://ui-avatars.com/api/?name=Andreas+Hulsing&background=0b0d17&color=f59e0b&size=128&bold=true,https://huelsing.net/wordpress/?page_id=5,https://www.linkedin.com/in/andreas-huelsing-b7868874/,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,yes,NIST,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | source verified 2026-07-09 re-audit (wave2 leaders.md remediation),active,,,,2026-07-09,,,,
Prof. Dr. Gilles Zémor,France,Professor,Institut de Mathématiques de Bordeaux,Academic,Algorithm Inventor,Co-designer of HQC; expertise in coding theory and efficient error-correcting codes.,https://ui-avatars.com/api/?name=Gilles+Zemor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.math.u-bordeaux.fr/,https://www.linkedin.com/in/gilles-zémor-a02292b/,HQC Specification,https://pqc-hqc.org/,,yes,NIST,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.; Fixed stale KeyResourceRefs 2026-07-17 (audit-leaders-refs.ts UNRESOLVED_REF): 'FIPS-207-HQC' is deprecated (no retrievable source, FIPS 207 not yet published); repointed to the active 'HQC Specification' library entry, which documents the algorithm Zemor co-designed. | First verification 2026-07-17: Institut de Mathématiques de Bordeaux professorship and HQC co-design (official NIST submission credit) reconfirmed.",active,,,,2026-07-17,,,,
Todd Moore,United States,Global VP Data Security Products,Thales,Private,Industry Vendor,Leads Luna HSMs and High Speed Encryptors; launched PQC Starter Kit with Quantinuum (Jan 2024); Thales co-authored FALCON algorithm.,https://ui-avatars.com/api/?name=Todd+Moore&background=0b0d17&color=a78bfa&size=128&bold=true,https://cpl.thalesgroup.com/,https://www.linkedin.com/in/todd-moore-a21a143/,HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025;Samsung-Thales-ML-KEM-eSE-2026,https://cpl.thalesgroup.com/blog/encryption/quantum-readiness-collaborative-path-infosec-global-thales; https://semiconductor.samsung.com/news-events/tech-blog/s3sse2a-hardware-pqc-locks-in-security-for-the-quantum-era/,thales-research,partial,,"FIELD CORRECTION (2026-07-17): Country changed from France to United States -- his LinkedIn lists the Washington DC-Baltimore Area; Thales is headquartered in France but he is US-based (prior career at Harris Corporation, SafeNet, Gemalto, all US operations). Role/org/contribution (Global VP Data Security at Thales, Quantinuum PQC Starter Kit Jan 2024, FALCON co-authorship) all independently reconfirmed. | Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | Authorship cross-check verification (2026-07-30): the new leaders/library authorship cross-check flagged KeyResourceRefs='HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025' because that library row's authors_or_organization field lists only the three sponsoring companies (HSBC; InfoSec Global; Thales), not individual contributors -- confirmed he is not personally named in the report text (unlike Blair Canavan and Vladimir Soukharev, who are). Role/org/contribution already independently reconfirmed 2026-07-17; kept as-is on employer/subject-matter relevance rather than a literal byline -- not evidence of fabrication, but a looser link than a named-author citation.",active,,,,2026-07-30,,,,
Dr. Douglas Stebila,Canada,Associate Professor,University of Waterloo,Academic,Standards,Lead author of draft-ietf-tls-hybrid-design (TLS 1.3 hybrid key exchange); co-author of ECDHE-MLKEM drafts; foundational PQC TLS research.,https://ui-avatars.com/api/?name=Douglas+Stebila&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.douglas.stebila.ca/,https://www.linkedin.com/in/douglasstebila/,draft-ietf-tls-ecdhe-mlkem-04,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,ietf,partial,IETF,"FIELD CORRECTION (2026-07-17): Role changed from 'Professor' to 'Associate Professor' (Combinatorics & Optimization / IQC, University of Waterloo) per his own site and LinkedIn. draft-ietf-tls-hybrid-design authorship and draft-ietf-tls-ecdhe-mlkem co-authorship both reconfirmed; note the hybrid-design draft has since become RFC 9954. | Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.",active,,,,2026-07-17,,,liboqs-rust-oqs-crate,https://github.com/open-quantum-safe/liboqs-rust
Prof. Dr. Heung Youl Youm,South Korea,Former Chair ITU-T SG17 (2017-2024),Soonchunhyang University,Academic,Standards,Led ITU-T SG17 security standardization including QKD and PQC work for 7 years.,https://ui-avatars.com/api/?name=Heung+Youl+Youm&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sch.ac.kr/,https://www.linkedin.com/in/heung-youl-youm-77868412/,KpqC-Competition-Results;ETSI-GR-QSC-001,https://www.kisa.or.kr/en/post/kpqc_competition_result; https://www.etsi.org/deliver/etsi_gr/QSC/001_099/001/01.01.01_60/gr_QSC001v010101p.pdf,kisa,partial,ETSI;NIST,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: ITU-T SG17 chairmanship (2017-2024, confirmed via his own ITU candidate CV and WTSA20 chairman presentation) and Soonchunhyang University professorship (now emeritus as of Mar 2024) reconfirmed.",active,,,,2026-07-17,,,,
Prof. Dr. Michele Mosca,Canada,Founder Institute for Quantum Computing; Professor,University of Waterloo; evolutionQ,Academic,Standards,PC Chair of ETSI/IQC Quantum Safe events; founder of IQC; global PQC advocacy leader; developed Mosca's theorem for quantum risk assessment.,https://ui-avatars.com/api/?name=Michele+Mosca&background=0b0d17&color=60a5fa&size=128&bold=true,https://uwaterloo.ca/institute-for-quantum-computing/,https://www.linkedin.com/in/dr-mosca/,GRI-Quantum-Threat-Timeline-2024;GRI-Quantum-Threat-Timeline-2025,https://globalriskinstitute.org/publication/2025-quantum-threat-timeline-report/,gri,partial,ITU,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: University of Waterloo professorship, evolutionQ co-founding, and Mosca's theorem all reconfirmed. Minor: multiple independent sources describe him as co-founder of IQC (alongside others, 2002), not sole 'Founder' -- not flagged as a hard correction.",active,,,,2026-07-17,,,,
Rachel Noble,Australia,Former Director-General,ASD (Australia),Public,Government,Director-General of ASD (2020–Sep 2024); oversaw Australia's PQC strategy and quantum computing investments; coordinated Five Eyes quantum security initiatives; succeeded by Abigail Bradshaw (Sep 2024).,https://ui-avatars.com/api/?name=Rachel+Noble&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.asd.gov.au/,https://www.linkedin.com/in/rachel-noble-908766324/,AU-ASD-ISM-Crypto-2024,https://blueprint.asd.gov.au/security-and-governance/system-security-plan/cryptography/,,no,ASD (Australia),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: ASD Director-General tenure (2020-Sep 2024) and succession by Abigail Bradshaw on the exact date reconfirmed via ASD's own timeline pages.,active,,,,2026-07-17,,,,
Sami Khoury,Canada,Senior Official for Cyber Security; Former Head CCCS,Government of Canada,Public,Government,Canada's Senior Official for Cyber Security (from Sep 2024); former Head of the Canadian Centre for Cyber Security (CCCS); led Canadian cybersecurity strategy including PQC transition guidance; published ITSAP.00.017 on quantum-safe migration.,https://ui-avatars.com/api/?name=Sami+Khoury&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gc.ca/,https://www.linkedin.com/in/sami-khoury-1a263422/,CA-TBS-SPIN-PQC-2025,https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,cccs,no,Government of Canada,"Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs. | First verification 2026-07-17: role transition (Head of CCCS to Senior Official for Cyber Security, Sep 2024) and ITSAP.00.017 as a real, current CCCS guidance document reconfirmed.",active,,,,2026-07-17,,,,
