ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Ensure entropy sources comply with SP 800-90B requirements for estimation and compliance to guarantee valid random number generation.,D.J ENTROPY ESTIMATION AND COMPLIANCE WITH SP 800-90B ... D.K INTERPRETATION OF SP 800-90B REQUIREMENTS,"Annex D / Sections D.J, D.K",https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,governance,2,all,"Define and document the security policy for the cryptographic module, including roles, services, and authentication mechanisms, as required for validation.",ANNEX B – CRYPTOGRAPHIC MODULE SECURITY POLICY,Annex B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,inventory,3,all,Track and maintain the Component Validation List (CVL) to identify all validated components and their status within the cryptographic module.,2.4.B TRACKING THE COMPONENT VALIDATION LIST,Section 2.4.B,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Validate the use of non-approved security functions only if explicitly defined and justified within the module's security policy and documentation.,2.4.A DEFINITION AND USE OF A NON-APPROVED SECURITY FUNCTION,Section 2.4.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Implement an Approved Security Service Indicator to signal the operational status and validity of cryptographic services provided by the module.,2.4.C APPROVED SECURITY SERVICE INDICATOR,Section 2.4.C,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,governance,2,all,"Define and document roles and responsibilities for vendors, CST laboratories, validation authorities, and users within the cryptographic module validation program.",2.5 Roles and Responsibilities of Program Participants ... 2.5.1 Vendor ... 2.5.2 CST Laboratory ... 2.5.3 CMVP Validation Authorities ... 2.5.4 User,Section 2.5,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,governance,2,all,Establish formal agreements between validation authority organizations to manage the Cryptographic Module Validation Program.,2.8 Agreements between Validation Authority Organizations,Section 2.8,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,governance,2,all,"Maintain programmatic directives, policies, and internal guidance documentation to govern the CMVP operations.","2.9 Programmatic Directives and Policies, and Internal Guidance and Documentation",Section 2.9,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,assurance,3,all,Submit cryptographic modules for formal validation by accredited CST laboratories to obtain a validation certificate.,4.1.2 Vendor and Laboratory Procedures for Testing of the Cryptographic Module ... 4.1.2.2 Validation Certificate,Section 4.1.2,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,assurance,3,all,Undergo re-validation for non-security relevant changes to maintain the validity of the cryptographic module certification.,4.4.2 Non-security Relevant Re-validation,Section 4.4.2,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,assurance,3,all,Adhere to the flaw discovery handling process to address security vulnerabilities in validated cryptographic modules.,4.8 Flaw Discovery Handling Process,Section 4.8,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,assurance,3,all,Accept validation revocation if the cryptographic module no longer meets the requirements or if flaws are not addressed.,4.9 Validation Revocation,Section 4.9,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,observability,3,all,Monitor the official CMVP website for updates to the cryptographic module validation lists and certificate status.,4.10 CMVP Webpage Update ... 4.10.1 Official CMVP Website ... 4.10.2 FIPS 140-2 Cryptographic Module Validation Lists,Section 4.10,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,lifecycle,2,all,Manage the validation submission queue and adhere to validation deadlines for initial and re-validation processes.,4.4 Validation Submission Queue Processing ... 4.4.4 Validation Deadline,Section 4.4,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
CMVP-MGMT-MANUAL,CMVP Management Manual,Certification Schemes,Compliance Framework,lifecycle,2,all,Request transition period extensions when necessary to manage the lifecycle of cryptographic modules during standard updates.,4.7 Request for Transition Period Extension,Section 4.7,https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/CMVPMM.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140A,NIST SP 800-140A — CMVP Documentation Requirements,Certification Schemes,Standard,assurance,3,all,Provide vendor documentation fulfilling minimum requirements specified by the validation authority and management documentation for cryptographic modules undergoing independent verification.,The vendor shall provide documentation for a cryptographic module that fulfils but is not limited to the minimum documentation requirements as specified in the validation authority requirement and management documentation.,"Section 6.1, VEA.01.02",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140A.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140A,NIST SP 800-140A — CMVP Documentation Requirements,Certification Schemes,Standard,assurance,3,all,Verify that vendors provide documentation fulfilling minimum requirements specified by the validation authority and management documentation during independent testing.,The tester shall verify that the vendor provides documentation for a cryptographic module that fulfils but is not limited to the minimum documentation requirements as specified in the validation authority requirement and management documentation.,"Section 6.1, TEA.01.02",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140A.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140B,NIST SP 800-140B Rev. 1: CMVP Security Policy Requirements,Certification Schemes,Compliance Framework,governance,3,all,"Define precise physical and cryptographic boundaries for the module, including TOEPP components and logical layers.",Precise definition of the module’s physical TOEPP and cryptographic boundaries... The location of the cryptographic module with respect to the TOEPP... clearly defined.,Section B.2.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Br1.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140B,NIST SP 800-140B Rev. 1: CMVP Security Policy Requirements,Certification Schemes,Compliance Framework,governance,3,all,"Document Sensitive Security Parameter (SSP) management, including generation, storage, I/O methods, and strength.","Provide an key SSP table specifying the key SSP type(s), strength(s)... where and how the key(s) SSP(s) is generated... Specify the SSP storage",Section B.2.9,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Br1.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140B,NIST SP 800-140B Rev. 1: CMVP Security Policy Requirements,Certification Schemes,Compliance Framework,assurance,3,all,Submit security policy with illustrative diagrams or photographs demonstrating module structure and cryptographic boundary.,"Illustrative diagram, schematic, or photograph of the module... For a software or firmware... block diagram that illustrates... the cryptographic boundary",Section B.2.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Br1.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140B,NIST SP 800-140B Rev. 1: CMVP Security Policy Requirements,Certification Schemes,Compliance Framework,inventory,3,all,"Inventory all module versions in the security policy, ensuring each is represented separately or annotated for coverage.","If the security policy encompasses multiple versions of the module, each version is represented separately or annotated that the representation is illustrated for all versions.",Section B.2.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Br1.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,assurance,3,all,Use only CMVP-approved security functions; preclude all others. Monitor the official CMVP web link for the current list of approved functions to ensure validation compliance.,"This document identifies CMVP-approved security functions. It precludes the use of all other security functions. For the current list of CMVP-approved security functions, see https://csrc.nist.gov/projects/cmvp/sp800-140c.",Section 6.1 Purpose and Section 6.2 Approved security functions,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,lifecycle,3,all,"Establish a process to continuously monitor the CMVP website for updates to the list of approved security functions, as the list is maintained online rather than in static documents.","Future modifications to the list will be made on that website, minimizing the need to revise this publication.","Appendix A. Document Revisions, Revision 2 (r2)",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140C,NIST SP 800-140C Rev. 2: CMVP-Approved Security Functions,Certification Schemes,Standard,inventory,2,all,"Maintain an inventory of cryptographic modules that strictly utilizes only those security functions listed as CMVP-approved, excluding any non-approved functions.",This document identifies CMVP-approved security functions. It precludes the use of all other security functions.,Section 6.1 Purpose,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140D,NIST SP 800-140D Rev. 2 — CMVP-Approved Sensitive Security Parameter Generation and Establishment Methods,Certification Schemes,Standard,assurance,3,keys,Use only CMVP-approved methods for sensitive security parameter generation and establishment; preclude all other methods.,This document identifies CMVP-approved sensitive security parameter generation and establishment methods. These are considered CMVP-approved security functions. It precludes the use of all other sensitive security parameter generation and establishment methods.,Section 6.1 Purpose,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Dr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140D,NIST SP 800-140D Rev. 2 — CMVP-Approved Sensitive Security Parameter Generation and Establishment Methods,Certification Schemes,Standard,observability,3,keys,Monitor the CMVP website for the current list of approved sensitive security parameter generation and establishment methods.,"For the current list of CMVP-approved sensitive security parameter generation and establishment methods, see https://csrc.nist.gov/projects/cmvp/sp800-140d.",Section 6.2 Sensitive security parameter generation and establishment methods,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Dr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140D,NIST SP 800-140D Rev. 2 — CMVP-Approved Sensitive Security Parameter Generation and Establishment Methods,Certification Schemes,Standard,lifecycle,3,keys,Update cryptographic implementations to align with the dynamic list of approved methods maintained on the CMVP website.,"Future modifications to the list will be made on that website, minimizing the need to revise this publication.",Appendix A. Document Revisions (Revision 2),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Dr2.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140E,NIST SP 800-140E — CMVP Approved Authentication Mechanisms,Certification Schemes,Standard,governance,2,all,"Define and document authentication mechanisms per FIPS 140-3 security levels, ensuring operator authentication is performed by the module or Operating Environment for levels above 1.","Except at level 1, operator authentication acceptance is required to be performed by the module or by the Operating Environment as defined in ISO/IEC 19790.",Section 6.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140E.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140E,NIST SP 800-140E — CMVP Approved Authentication Mechanisms,Certification Schemes,Standard,governance,2,all,Establish policy requiring vendors to use SP 800-63B as a framework for authentication and provide justification for any deviations from its requirements.,Vendors should use SP 800-63B as a framework for authentication requirements and should provide justification whenever SP 800-63B requirements cannot be met.,Section 6.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140E.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140E,NIST SP 800-140E — CMVP Approved Authentication Mechanisms,Certification Schemes,Standard,assurance,3,all,Mandate that testers review and affirm vendor documentation regarding authentication mechanisms and their compliance with SP 800-63B normative sections.,"Testers should review and affirm the vendor documentation. Normative SP 800-63B sections include Section 5, Detailed requirements specific to each type of authenticator...",Section 6.2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140E.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-140E,NIST SP 800-140E — CMVP Approved Authentication Mechanisms,Certification Schemes,Standard,assurance,3,all,Validate that authentication mechanisms meet the cryptographic strength requirements of SP 800-140C and SP 800-140D when used for module-provided protected communication services.,"Some of these mechanisms may be employed to establish module provided protected communication services; however, these must meet the cryptographic strength requirements of SP 800-140C and SP 800-140D.",Section 6.1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140E.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-ACVP,NIST Automated Cryptographic Validation Protocol (ACVP),Certification Schemes,Compliance Framework,assurance,3,libraries,Submit cryptographic algorithm implementations to NVLAP-accredited labs for ACVTS testing to obtain validation certificates.,Vendors may use any of the NVLAP-accredited Cryptographic and Security Testing (CST) Laboratories to test algorithm implementations. An algorithm implementation successfully tested by a lab and validated by NIST is added to an appropriate validation list,Overview,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-ACVP,NIST Automated Cryptographic Validation Protocol (ACVP),Certification Schemes,Compliance Framework,assurance,3,libraries,Ensure algorithm implementations pass ACVTS black-box testing to be listed on the Algorithm Validation Page.,"Once this is completed for all algorithms in the test session, the implementation can submit to appear on the Algorithm Validation Page if the testing was performed through a lab on Production ACVTS.",Testing Methods Through ACVTS,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-ACVP,NIST Automated Cryptographic Validation Protocol (ACVP),Certification Schemes,Compliance Framework,assurance,3,libraries,Complete cryptographic algorithm validation as a prerequisite for FIPS 140 module validation.,"Cryptographic algorithm validation is a prerequisite of cryptographic module validation. ... For an algorithm implementation to be listed on a cryptographic module validation certificate as an Approved security function, the algorithm implementation must ... successfully complete the cryptographic algorithm validation process.",Relationship of Algorithm Validation to FIPS 140 Module Validation,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-ACVP,NIST Automated Cryptographic Validation Protocol (ACVP),Certification Schemes,Compliance Framework,governance,2,all,"Adhere to CAVP Management Manual responsibilities for vendors, labs, and validation authorities.","The CAVP Management Manual provides effective guidance for the CAVP Validation Authorities, CST laboratories, and vendors who participate in the program. It outlines the management activities and specific responsibilities of the various participating groups",CAVP Management Manual,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-ACVP,NIST Automated Cryptographic Validation Protocol (ACVP),Certification Schemes,Compliance Framework,inventory,2,libraries,"Maintain records of validated implementations including vendor, environment, and validation date via the validation list.","An algorithm implementation successfully tested by a lab and validated by NIST is added to an appropriate validation list, which identifies the vendor, implementation, operational environment, validation date and algorithm details.",Overview,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,assurance,3,all,Validate entropy sources using NIST SP 800-90B specified tests and estimation methods to determine min-entropy before deployment in RBGs.,Conformance testing for implementations of this Recommendation will be conducted within the framework of the Cryptographic Algorithm Validation Program (CAVP) and the Cryptographic Module Validation Program (CMVP).,Section: Conformance Testing,https://csrc.nist.gov/pubs/sp/800/90/b/final,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,assurance,3,all,Perform initial entropy estimation and restart tests as part of the validation process to establish the min-entropy floor for the noise source.,3.1 Validation Process ... 3.1.3 Initial Entropy Estimate ... 3.1.4 Restart Tests,Section 3.1,https://csrc.nist.gov/pubs/sp/800/90/b/final,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24): extraction unsupported by source text"
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,observability,3,all,Implement continuous health tests (Repetition Count or Adaptive Proportion) on the entropy source to detect failures in real-time.,4.4 Approved Continuous Health Tests ... 4.4.1 Repetition Count Test ... 4.4.2 Adaptive Proportion Test,Section 4.4,https://csrc.nist.gov/pubs/sp/800/90/b/final,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,observability,3,all,"Define and implement a failure response mechanism for health tests, such as halting output or replacing the entropy source, upon test failure.",4.3 Requirements for Health Tests ... The entropy source shall include a mechanism to respond to a health test failure.,Section 4.3,https://csrc.nist.gov/pubs/sp/800/90/b/final,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,deprecated,2026-08-24,"evidence_quote not present in the cited document (audit-maturity-evidence.py, 2026-08-24): extraction unsupported by source text"
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,lifecycle,2,all,Document the validation track (IID vs. non-IID) and the specific entropy estimation methods used for each entropy source in the system inventory.,3.1.2 Determining the track: IID track vs. non-IID track ... 3.1.5 Entropy Estimation for Entropy Sources Using a Conditioning Component,"Section 3.1.2, 3.1.5",https://csrc.nist.gov/pubs/sp/800/90/b/final,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,Certification Schemes,Standard,governance,2,all,Assign responsibility for entropy source validation and health test configuration to entities implementing or configuring applications incorporating this Recommendation.,"Some of these requirements may be out-of-scope for CAVP or CMVP validation testing, and thus are the responsibility of entities using, implementing, installing or configuring applications that incorporate this Recommendation.",Section: Conformance Testing,https://csrc.nist.gov/pubs/sp/800/90/b/final,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90C,SP 800-90C: Recommendation for Random Bit Generator (RBG) Constructions,Certification Schemes,Standard,assurance,3,libraries,Validate RBG constructions against SP 800-90C via CMVP/CAVP to prove compliance with approved DRBG and entropy source requirements.,SP 800-90C has been developed in coordination with NIST’s Cryptographic Algorithm Validation Program (CAVP) and Cryptographic Module Validation Program (CMVP)... The term “shall” is used when a requirement is testable by a testing lab during implementation validation,Section 1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90C.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-SP-800-90C,SP 800-90C: Recommendation for Random Bit Generator (RBG) Constructions,Certification Schemes,Standard,observability,3,libraries,Implement and monitor health tests for RBG constructions to detect failures in entropy sources or DRBG operations as specified in Section 8.,Section 8 discusses health and implementation validation testing... The term “shall” is used when a requirement is testable by a testing lab during implementation validation using operational tests,"Section 1.2, Section 8",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90C.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
