code,name,flag_code,region,compliance_bloc,show_in_picker,eu_member,authority,hybrid,end_state,sim_archetype,note,status,deprecated_at,deprecated_reason
MY,Malaysia,my,apac,Asia-Pacific,no,no,CyberSecurity Malaysia,,,US,,active,,
ID,Indonesia,id,apac,Asia-Pacific,no,no,,,,US,,active,,
PH,Philippines,ph,apac,Asia-Pacific,no,no,,,,US,,active,,
TH,Thailand,th,apac,Asia-Pacific,no,no,,,,US,,active,,
VN,Vietnam,vn,apac,Asia-Pacific,no,no,,,,US,,active,,
IL,Israel,il,mena,Middle East,no,no,INCD,,,US,,active,,
AE,United Arab Emirates,ae,mena,Middle East,no,no,UAE CTRA,,,US,,active,,
SA,Saudi Arabia,sa,mena,Middle East,no,no,NCA,,,US,,active,,
BH,Bahrain,bh,mena,Middle East,no,no,NCSC-BH,,,US,,active,,
JO,Jordan,jo,mena,Middle East,no,no,NITC,,,US,,active,,
EG,Egypt,eg,mena,Africa,no,no,,,,US,,active,,
ZA,South Africa,za,africa,Africa,no,no,,,,US,,active,,
NG,Nigeria,ng,africa,Africa,no,no,,,,US,,active,,
KE,Kenya,ke,africa,Africa,no,no,,,,US,,active,,
BG,Bulgaria,bg,eu,European Union,no,yes,"CERT Bulgaria (Ministry of e-Government, Cybersecurity Directorate)",,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
CY,Cyprus,cy,eu,European Union,no,yes,Digital Security Authority (DSA),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
GR,Greece,gr,eu,European Union,no,yes,National Cybersecurity Authority (NCSA),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
HR,Croatia,hr,eu,European Union,no,yes,ZSIS (Information Systems Security Bureau),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
HU,Hungary,hu,eu,European Union,no,yes,NKI (National Cyber Security Center),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
LT,Lithuania,lt,eu,European Union,no,yes,NKSC (National Cyber Security Centre),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
LU,Luxembourg,lu,eu,European Union,no,yes,ANSSI Luxembourg (HCPN),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
LV,Latvia,lv,eu,European Union,no,yes,CERT.LV,,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
MT,Malta,mt,eu,European Union,no,yes,MDIA (Malta Digital Innovation Authority),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
PT,Portugal,pt,eu,European Union,no,yes,CNCS (Centro Nacional de Cibersegurança),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
RO,Romania,ro,eu,European Union,no,yes,DNSC (Directoratul National de Securitate Cibernetica),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
SI,Slovenia,si,eu,European Union,no,yes,URSIV (Government Office for Information Security),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
SK,Slovakia,sk,eu,European Union,no,yes,NBU (Narodny bezpecnostny urad),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,
