patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp,filing_date,status,deprecated_at,deprecated_reason
12580751,Fast post-quantum cryptographic sortition,Soriente; Claudio et al.,NEC CORPORATION,2021-08-20,2026-03-17,H04L9/0852;H04L9/3239;H04L9/50,"A method for fast, post-quantum secure cryptographic sortition using an n-time Verifiable Random Function based on symmetric block ciphers and Merkle tree commitments.","The invention provides a computer-implemented method for cryptographic sortition that uses an n-time-secure Verifiable Random Function based solely on symmetric-key primitives. It involves committing to a set of secret keys via a Merkle tree, encrypting a common input with a specific key, and verifying the output to ensure post-quantum security with lower computational cost than lattice-based alternatives.",pqc_only,none,background_only,"Quantum technology is mentioned in the background and summary as a threat model (post-quantum security) and in the CPC classification H04L9/0852, but the invention itself relies on symmetric-key primitives and does not use quantum hardware or protocols.",,AES; SHA-256,,none,generation; commitment,,possession,,quantum-attack,deterministic-PRNG,symmetric-cipher; hash; commitment,blockchain,method for execution of a cryptographic sortition; host processing system; non-transitory computer readable medium,throughput; latency,transactions,,,[],[],6.0,"Title implies PQC use, but 'sortition' suggests consensus protocols rather than direct migration or key management.",no_citations_recorded,medium_pqc_relevance,yes,2026-05-06,2021-08-20,active,,
12580726,Using a single AES key to encrypt PKCS #7 files,Chengalroyen; Jarryd et al.,"DigiCert, Inc.",2023-10-12,2026-03-17,H04L9/006;H04L9/0891;H04L9/0825;H04L9/0861;H04L9/14;H04L9/3268,A method for encrypting multiple digital certificates and private keys in PKCS #7 files using a single AES key to reduce HSM calls during batch device provisioning.,The invention utilizes a single Advanced Encryption Standard (AES) key to encrypt a plurality of digital certificates and their respective private keys within separate PKCS #7 files. This allows a client to decrypt the single AES key one time to enable the decryption of each encrypted digital certificate in the batch.,classical_only,none,none,none,PKCS#7; PKI,AES,,none,generation; distribution; storage,HSM; IoT,,PKCS #7,,,symmetric-cipher,IoT; PKI,server; non-transitory computer-readable medium,latency,root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""server for generating key pairs and encrypting certificates with a single AES key""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""creating PKCS #7 files decryptable by the single AES key""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""decrypting the single AES key one time for batch decryption""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""using a trust manager to generate key pairs""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""using a certificate management system to generate and encrypt certificates""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""requesting certificates for electronic devices""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""applying certificates during manufacturing""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""utilizing a Certificate Signing Request (CSR)""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium for generating key pairs and encrypting certificates""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""creating PKCS #7 files decryptable by the single AES key""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""decrypting the single AES key one time for batch decryption""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""using a trust manager and certificate management system""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""requesting certificates for electronic devices applied during manufacturing""}]",[],1,Focuses on classical AES encryption for PKCS#7 with no mention of PQC algorithms or migration strategies.,no_citations_recorded,low_pqc_relevance,yes,2026-06-08,2023-10-12,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
12580727,"Cryptographic method, systems and services for evaluating real-valued functions",Pascal Gilbert Yves PAILLIER,Zama Sas,2021-05-14,2026-03-17,H04L9,"A cryptographic method for privacy-preserving outsourced computation that evaluates real-valued functions on encrypted data using homomorphic encryption, discretization, and pre-calculated lookup tables.","The invention provides a method for homomorphically evaluating univariate or multivariate real-valued functions on encrypted data by discretizing the function domain into sub-intervals and pre-calculating a lookup table of representative values. It converts ciphertexts into encoded indices, performs homomorphic lookups using LWE or RLWE schemes, and optimizes multivariate functions by decomposing them into networks of univariate functions to share intermediate calculations.",unclear,none,none,none,,,LWE; RLWE; TFHE,none,,information processing system,,,privacy-preserving,,symmetric-cipher,cloud; outsourced computation,cryptographic method for privacy-preserving outsourced computation; information processing system,computation time; storage; latency,real-valued functions; encrypted data,,US8630422,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""cryptographic method for privacy-preserving outsourced computation""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""domain definition and interval splitting""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""set S as subset of additive group""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""multiplicative representation of group""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""encoding and discretization functions""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""specific encoding function formula""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""LWE encryption and identity encoding""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""RLWE encryption and polynomial encoding""}, {""claim"": 9, ""depends_on"": [7], ""subject"": ""extraction of LWE encryption from RLWE""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""output encoding and LWE encryption""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""multivariate function decomposition and redundancy optimization""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""prior re-encryption step""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""information processing system""}]",[],9,Zama specializes in FHE-based PQC; H04L9 confirms crypto relevance to post-quantum migration.,citations_present:1,high_pqc_relevance,yes,2026-07-10,,active,,
12580769,Round optimal oblivious transfers from isogenies,Mukherjee; Pratyay et al.,Visa International Service Association,2022-09-16,2026-03-17,H04L9/0841;H04L9/3236;H04L9/0643;H04L9/3066;H04L9/3218;H04L9/3221,"A round-optimal oblivious transfer protocol using isogeny-based elliptic curves to enable secure, post-quantum data exchange between sender and receiver devices.",The invention provides a two-round oblivious transfer protocol based on the computational Commutative Supersingular Isogeny Diffie-Hellman (CSIDH) assumption. It utilizes a common reference string and non-interactive zero-knowledge proofs to achieve malicious security with minimal communication rounds.,pqc_only,none,background_only,"Quantum computing is mentioned in the background as the motivation for post-quantum security, specifically referencing Shor's algorithm. The invention itself is a classical isogeny-based protocol designed to resist quantum attacks, but quantum technology is not a component of the claimed invention.",,Hash Function; Random Oracle,Isogeny-based Cryptography,quantum_computing,generation; exchange,,,,MITM; quantum-attack,TRNG,KEM; ZK; hash,banking; cloud,method for oblivious transfer; receiver device,latency,session-keys; transactions,,US8977855; US10880278; US11728988,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for oblivious transfer""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""method with malicious adversary""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""method with NIZKPOK""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""method with trusted authority CRS""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""method with isogeny mapping""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""receiver device""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""receiver device executing encrypted program""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""receiver device sending output""}, {""claim"": 13, ""depends_on"": [10], ""subject"": ""receiver device with hash function""}]","[{""algorithm"": ""CSIDH"", ""status"": ""proprietary""}]",6,Haiku PQC-relevance triage (score 6),citations_present:3,medium_pqc_relevance,yes,2026-06-08,2022-09-16,active,,
20260074898,BROADCAST-FREE THRESHOLD POST-QUANTUM KEY GENERATION AND VERIFICATION OVER UNENCRYPTED CHANNELS FROM HARDWARE-BASED CORRELATED RANDOMNESS,Sehrawat; Vipin Singh,"CIRCLE INTERNET GROUP, INC.",2025-11-14,2026-03-12,H04L9/0825;H04L9/0866;H04L9/0869;H04L9/3278,A broadcast-free threshold post-quantum key generation and verification protocol using hardware-based correlated randomness from PUFs to generate LPN instances over unencrypted channels.,The invention provides a method for generating post-quantum secure encryption keys using Learning Parity with Noise (LPN) instances derived from Physically Unclonable Functions (PUFs). This enables threshold key generation and verification over unencrypted channels without requiring broadcast communication or encrypted links.,pqc_only,none,none,"Quantum technology is referenced in the background and problem statement as the threat model (quantum attacks) that necessitates post-quantum security, but the invention itself relies on classical hardware (PUFs) and classical post-quantum algorithms (LPN/LWE) rather than quantum hardware or protocols.",,,LPN,quantum_computing,generation; verification,PUF,possession,,quantum-attack; MITM; insider,TRNG,KEM,blockchain; crypto-wallets,method for key generation; system for key generation,,encryption-keys,,US10749694; US12052355,[],[],9.0,"Directly addresses PQC key generation and verification, critical for migration infrastructure.",citations_present:2,high_pqc_relevance,yes,2026-05-06,2025-11-14,active,,
20260074881,FORWARD-SECURE AND QUANTUM-ATTACK-RESISTANT UPDATABLE ATTRIBUTE-BASED CONDITIONAL PROXY RE-ENCRYPTION METHOD,WENG; Jian et al.,Jinan University,2025-11-17,2026-03-12,H04L9/0618;H04L9/0891;H04L9/16;H04L9/3073,"A lattice-based method for forward-secure, quantum-resistant updatable attribute-based conditional proxy re-encryption using asynchronous key updates and control strategies.","The invention provides a computer-implemented method for updatable attribute-based conditional proxy re-encryption that leverages lattice-based cryptography to achieve quantum resistance. It incorporates an asynchronous key update mechanism to provide forward security for the delegatee, ensuring that compromise of a current key does not reveal past or future plaintexts.",pqc_only,none,core_invention,"Quantum resistance is a core requirement of the invention, achieved by basing the scheme on the Learning With Errors (LWE) problem to resist attacks from quantum computers. The method is designed to be secure against quantum adversaries, making quantum threat mitigation central to the primary claims.",,,LWE,quantum_computing,generation; rotation,computing device,possession,,quantum-attack; insider,TRNG,KEM; signature,cloud; PKI,method for forward-secure and quantum-attack-resistant updatable attribute-based conditional proxy re-encryption,parallelization,transactions,,,[],[],8,Haiku PQC-relevance triage (score 8),no_citations_recorded,high_pqc_relevance,yes,2026-06-08,2025-11-17,active,,
20260073081,SECURE NTT AND INTT,BISHEH NIASAR; Mojtaba et al.,"Microsoft Technology Licensing, LLC",2024-09-06,2026-03-12,G06F21/75;H04L9/002;G06F7/78;G06F21/556;H04L9/003,A hardware circuit and method for secure Number Theoretic Transform (NTT) and Inverse NTT (INTT) operations that use a shuffle circuit and random number generator to randomize input order and prevent side-channel attacks.,"The invention provides a circuit for NTT/INTT that includes a shuffle circuit coupled between memory and butterfly operator circuits to change the order of polynomial coefficients. A random number generator provides a random number to the shuffle circuit to determine this order, thereby mitigating side-channel leakage without the overhead of full masking.",pqc_only,none,background_only,"Quantum computing is mentioned in the background section as a threat to classical cryptography (RSA, ECC) via Shor's algorithm, motivating the use of lattice-based PQC. The invention itself is a classical hardware countermeasure for side-channel attacks on PQC operations and does not claim quantum technology.",,,Dilithium,quantum_computing,,FPGA; ASIC; butterfly operator circuits; shuffle circuit; random number generator,,,side-channel,TRNG,,cloud; post-quantum cryptography,circuit for secure NTT/INTT; method for secure NTT/INTT,latency; throughput; area; power consumption,polynomial coefficients; secret keys,,,[],[],9,Haiku PQC-relevance triage (score 9),no_citations_recorded,high_pqc_relevance,yes,2026-06-08,2024-09-06,active,,
20260074902,"Device, Storage Device and Method for Switching Encryption Algorithm",Noh; Youngtak et al.,"Samsung Electronics Co., Ltd.",2025-09-10,2026-03-12,H04L9/16;G06F8/65;G06F21/572;H04L9/3247,A storage device method for switching firmware verification from a classical to a post-quantum cryptographic algorithm by verifying a dual-signed firmware image and updating the stored public key.,"The invention provides a method for a storage device to receive firmware signed with both a classical and a post-quantum algorithm. Upon successful verification of the classical signature, the device updates its stored public key to the post-quantum key included in the firmware, enabling future verification with the new algorithm.",hybrid,hybrid,dependent_claim_only,none,,RSA; DSA; ECDSA; EdDSA; Diffie-Hellman; ECC; SHAKE,LMS; XMSS; HSS,none,generation; storage; rotation,HSM; SSD; eMMC; UFS; FPGA; ASIC,possession,NVMe; UFS; eMMC,quantum-attack,none,signature; hash,storage; embedded_systems,device; storage device; method of operating a device,,firmware,,,[],"[{""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""XMSS"", ""status"": ""stateful_hash_standard""}]",5,Haiku PQC-relevance triage (score 5),no_citations_recorded,medium_pqc_relevance,yes,2026-06-08,2025-09-10,active,,
12572937,Method and system for single purpose public keys for public ledgers,Brown; Daniel Richard L.,Malikie Innovations Limited,2022-01-25,2026-03-10,G06Q20/065;G06Q20/10;G06Q20/223;G06Q20/3821;G06Q20/3825;G06Q20/3827;G06Q20/3829;G06Q20/4014;G06Q20/40145;G06Q20/405;H04L63/0861;H04L63/123;H04L9/006;H04L9/0861;H04L9/0866;H04L9/321;H04L9/3231;H04L9/3239;H04L9/3247;H04L9/3263;H04L9/50,"A method for generating public ledger keys bound to a purpose string containing transaction parameters, enabling recipients to verify transaction compliance and prevent fraud.","The invention generates a private and public key pair uniquely bound to a purpose string message containing transaction parameters. This binding allows recipients to verify that a transaction complies with the defined parameters, such as value limits or geography, before accepting funds.",classical_only,none,none,none,PKI,ECDSA; SHA-1,,none,generation; storage,HSM; mobile,inherence/biometric; location,SEC 4,insider,OS,signature; hash,blockchain; banking,method for single purpose public keys; first computing device; non-transitory computer readable medium,,financial; biometric; transactions,,US9240884,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for creating purpose-bound keys""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""purpose string parameters""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""purpose string identifier""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""biometric identifier""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""name identifier""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""document image identifier""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""sending based on account creation""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""network element association""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""first computing device""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""purpose string parameters""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""purpose string identifier""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""biometric identifier""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""name identifier""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""document image identifier""}, {""claim"": 15, ""depends_on"": [9], ""subject"": ""sending based on account creation""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""network element association""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""non-transitory computer readable medium""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""purpose string parameters""}, {""claim"": 19, ""depends_on"": [9], ""subject"": ""digital wallet""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""wallet storing private key""}]",[],1,Focuses on classical public key usage in ledgers with no mention of PQC algorithms or migration.,citations_present:1,low_pqc_relevance,yes,2026-06-08,2022-01-25,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
12574236,Stateful hash-based signing with a single public key and multiple independent signers,Sukhomlinov; Vadim et al.,Google LLC,2021-10-15,2026-03-10,H04L9/0897;H04L9/3073;H04L9/3239;H04L9/3247,A method for stateful hash-based signing where a provisioning server distributes LMS parameters and generates a common public key from multiple independent signers' local keys.,A provisioning server shares an LMS randomized parameter among multiple independent signers and associates a unique starting leaf index to each. The server orders the local LMS public keys generated by the signers to create a single common LMS public key and provisions the ordered list and Merkle tree paths to the signers.,pqc_only,none,background_only,"Quantum computing is mentioned in the background as a threat to classical schemes like RSA and ECDSA, motivating the use of hash-based signatures. It does not appear in the claims.",,SHA-256,LMS; LM-OTS,quantum_computing,generation; distribution,IoT; HSM,possession,NIST SP 800-208,quantum-attack,TRNG,signature; hash,IoT,method for stateful hash-based signing; provisioning server; signing device,,firmware updates,,US5432852; US7434046; US10425401; US10581616; US20130083926; US20170230182; US20170272250; US20180183601; US20190319797; US20190319798; US20190319800; US20190319802; US20200076571; US20210119789; US20210119799; US20210306155; US20220086009; US20230006836; US20230308287; US20240039734; US20240422005; US20250125972,[],"[{""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""LM-OTS"", ""status"": ""stateful_hash_standard""}]",8,Haiku PQC-relevance triage (score 8),citations_present:22,high_pqc_relevance,yes,2026-06-08,2021-10-15,active,,
12574237,Number theoretic transform with parallel coefficient processing,Renes; Joost Roland et al.,NXP B.V.,2023-04-07,2026-03-10,H04L9/3093;G06F17/14,A method and electronic device for performing number theoretic transforms on polynomials by dividing coefficients into parallel segments to accelerate lattice-based cryptographic operations.,The invention divides an input polynomial into multiple smaller polynomials using an arithmetic transformation so that coefficients fit into processor registers. It then executes a recursive divide-and-conquer butterfly computation in parallel on these segments to perform the NTT efficiently.,pqc_only,none,background_only,Quantum computing is mentioned in the background section as the motivation for post-quantum cryptography but does not appear in any claims or as a component of the invention itself.,,RSA; ECC,Kyber; Dilithium; Saber; NTRU; LAC,quantum_computing,,coprocessor; processor; register; memory,,NIST PQC,quantum-attack,,,cryptography,method for performing NTTs; electronic device; computer-readable storage medium,parallelization; HW-accel; latency,,,US8938034; US11798435; US11847938; US11922135,[],"[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""Dilithium"", ""status"": ""fips_204""}, {""algorithm"": ""Falcon"", ""status"": ""fips_205""}]",7,Haiku PQC-relevance triage (score 7),citations_present:4,medium_pqc_relevance,yes,2026-06-08,2023-04-07,active,,
12574332,Systems and methods for homomorphic encryption-based data caching,Sethia; Maneesh et al.,BANK OF AMERICA CORPORATION,2023-09-22,2026-03-10,H04L9/008;H04L47/50;G06F9/485;G06F9/5016;G06F12/0875;G06N3/044;G06Q20/20;G06Q20/382,"A system for homomorphic encryption-based data caching that encrypts transaction data, detects server congestion, and queues payments in a local POS cache for batch processing.",The system encrypts transaction data using homomorphic encryption prior to processing to allow computation on encrypted data. It detects recipient server congestion and defers transaction data to a local POS cache for batch processing while maintaining end-to-end encryption.,classical_only,none,none,none,,,lattice-based encryption,none,,POS; server; end-point device,knowledge,,insider,,symmetric-cipher,banking,system for homomorphic encryption-based data caching; computer program product for homomorphic encryption-based data caching,latency; throughput,transactions; PII,,US7689661; US7694076; US7991736; US8229968; US9218290; US10021696; US10467136; US10893120; US11716406; US20050240732; US20070055647; US20110055202; US20130297886; US20140156777; US20140223106; US20150134754; US20160224256; US20170257452; US20170286294; US20210227011; US20210382831,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for homomorphic encryption-based data caching""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""computer program product for homomorphic encryption-based data caching""}]",[],5,Haiku PQC-relevance triage (score 5),citations_present:21,medium_pqc_relevance,yes,2026-06-08,2023-09-22,active,,
12574358,Systems and methods for mobile-mediated secure key exchange for general end-user connectivity,Amer; Omar et al.,"JPMORGAN CHASE BANK, N.A.",2023-07-31,2026-03-10,H04L63/061;H04L9/0819;H04L9/0822;H04L9/0838;H04L9/14;H04L63/0428;H04L63/0435;H04L63/0838;H04L63/0846;H04L63/0853;H04L63/18,A method for mobile-mediated secure key exchange where a client application relays a browser-generated secret key via machine-readable code to a webserver using pre-shared key material.,"The invention discloses a system where a browser on a second device generates a secret key and encodes it in a machine-readable code. A client application on a first device, which shares key material with the webserver, retrieves this code and transmits the encrypted key to the webserver over a secure channel to establish end-to-end encryption.",hybrid,none,background_only,"Quantum computing is mentioned in the background section as a threat to computational assumptions of public key cryptography, but no quantum technologies are claimed or used in the invention.",TLS; HTTPS,RSA; ECDH,CRYSTALS-Kyber,quantum_computing,generation; exchange; distribution,mobile,possession; inherence/biometric,,MITM; quantum-attack,OS,symmetric-cipher; KEM,banking,method for mobile-mediated secure key exchange; system for mobile-mediated secure key exchange; non-transitory computer readable storage medium,,session-keys; financial,,US20130173915; US20140230039; US20160308678; US20170048257; US20220000048; US20220086134; US20220150228; US20220277063; US20220360448; US20240089249,[],[],5,Haiku PQC-relevance triage (score 5),citations_present:10,medium_pqc_relevance,yes,2026-06-08,2023-07-31,active,,
20260067060,Method for encrypting data streams,Richard D'Souza,Richard D'Souza,2024-09-04,2026-03-05,H04L9/006,"A method for encrypting data streams by encoding data into torus knots, generating keys from geometric properties, adding noise knots, and shuffling the arrangement based on a session key.","The invention encodes data streams into three-dimensional torus knots defined by geometric parameters like major radius and coprime integers. It generates public and private keys from these properties, intersperses randomly generated noise knots, and employs a session-key-based shuffling process to reorder the knots for encryption.",unclear,none,background_only,"Quantum computing is mentioned in the background as a threat to traditional algorithms and in claim 16 as a context for the 'torus knot post quantum encryption algorithm'. The primary invention relies on geometric torus knots and shuffling, not quantum mechanics or quantum hardware. The term 'post quantum' in claim 16 refers to resistance against quantum attacks, not the use of quantum technology.",,,,quantum_computing,generation; distribution; rotation; revocation; reassignment,,inherence/biometric,,quantum-attack,deterministic-PRNG,symmetric-cipher,finance; healthcare; IoT,method for encrypting a data stream; non-transitory computer-readable storage medium,,data streams,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for encrypting a data stream""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""decoding process for unshuffling""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""geometric parameters R, p, q""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""resolution determined by number of points""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""evenly spaced arrays""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""computing rotations and translations""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""XOR operation with session key""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""generating shuffle key and indices""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""unshuffling using session key""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""random unique decoding threshold""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""adjusting density based on threat level""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""machine learning optimization""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""session key validity period""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""biometric unique identifier""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""periodic update of geometric properties""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""torus knot-PQEA with AI key management""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""non-transitory computer-readable storage medium""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-06-08,2024-09-04,deprecated,2026-09-17,outside the Patents page scope (no pqc_algorithms and crypto_agility_mode not pqc_only/hybrid -- isPqcPatent); pruned 2026-09-17 by decision so lineage and the page agree
12567962,Method for post-quantum secure in-the-field trust provisioning,van Vredendaal; Christine et al.,NXP B.V.,2023-03-14,2026-03-03,H04L9/0894;H04L63/062;H04L9/0891;H04L9/0897;H04L9/3263;H04L9/50;H04W12/35,A method for provisioning IC devices with a dedicated provisioning device that stores reprovisioning keys to enable in-the-field updates to post-quantum cryptographic assets.,"The invention provides a method where a first entity designates one IC device as a provisioning device, storing a reprovisioning key and public key within it. This provisioning device then distributes cryptographic assets to other IC devices and reserves space for future updates. The system allows for in-the-field reprovisioning with updated post-quantum cryptography assets using the stored reprovisioning key.",hybrid,in_place_upgrade,core_invention,"Quantum computing is mentioned in the background and summary as the threat model necessitating post-quantum cryptography, but no specific quantum technology (QKD, QRNG) is claimed or used in the method. The invention is a classical cryptographic provisioning mechanism designed to support future PQC updates.",PKI,RSA; ECC; AES,XMSS; LMS,quantum_computing,generation; distribution; storage; rotation; escrow,IoT; TPM,possession,NIST,quantum-attack; insider,,signature; symmetric-cipher,IoT; PKI,method for provisioning a plurality of IC devices; method for reprovisioning a plurality of integrated circuit (IC) devices,,root-keys; session-keys,,,[],"[{""algorithm"": ""XMSS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}]",9.0,"Title explicitly targets post-quantum trust provisioning, aligning with PKI migration and HNDL mitigation.",no_citations_recorded,high_pqc_relevance,yes,2026-05-06,2023-03-14,active,,
12567981,Systems and methods for data authentication using composite keys and signatures,Pala; Massimiliano,"Cable Television Laboratories, Inc.",2022-01-07,2026-03-03,H04L9/3268;H04L9/006;H04L9/0825;H04L9/14;H04L9/3247,A system for enhanced public key infrastructure that uses digital certificates containing composite signature fields with multiple signatures and associated keys to support hybrid classical and post-quantum authentication.,The invention provides a method for validating digital certificates by retrieving a composite signature field containing a plurality of signatures and their associated keys. It validates each signature using its respective key and compares the number of validated signatures against a threshold to determine certificate validity.,hybrid,hybrid,background_only,"Quantum technologies are mentioned in the background and references (e.g., Grover's algorithm, QKD papers) to motivate the need for post-quantum resistance, but no quantum technology is claimed or required for the primary invention.",PKI; X.509; OCSP; TLS; CMS,RSA; ECDSA; SHA-256; SHA-512,,none,generation; rotation; destruction,HSM; IoT,possession,RFC 5280; RFC 8446; PKCS#11; DOCSIS 3.1; DOCSIS 4.0; ANSI X9.98-2010; IEEE 1363.1-2008,quantum-attack; cryptanalysis,none,signature; KEM; hash; MAC,PKI; telecom,system for enhanced public key infrastructure; computing device for enhanced public key infrastructure,none,session-keys; root-keys,none,US6931537; US8315443; US8855316; US9912486; US10205595; US10250590; US10454904; US10615969; US11115217; US11171964; US11218301; US11405789; US11456867; US11552806; US11582031; US11599862; US11616645; US12028324,[],"[{""algorithm"": ""Kyber"", ""status"": ""fips_203""}, {""algorithm"": ""SPHINCS+"", ""status"": ""fips_205""}, {""algorithm"": ""RSA"", ""status"": ""classical""}, {""algorithm"": ""ECDSA"", ""status"": ""classical""}]",2,Title and CPCs suggest classical digital signatures; no explicit PQC or NIST standard references found.,citations_present:18,low_pqc_relevance,yes,2026-06-08,2022-01-07,active,,
