id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
HIPAA,HIPAA,US health data privacy and security rule,62,US,no,No explicit PQC timeline yet,Healthcare data has long sensitivity periods — HNDL risk is significant.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa,compliance/HIPAA.html,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,,
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,51,PQC-REGION-GLOBAL,yes,2026-2028,"Mobile network operator PQC guidance from GSMA. Covers 5G and beyond. | 2026-07-13: original website URL (guessed slug /ng116/) was a real 404 (Yoast SEO confirmed ""Page not found""); GSMA NG.116/FS.40 are internal doc numbers, not a URL path. Corrected to GSMA's live PQC-documents index page, which covers PQ.03 (the library_refs target) and related docs.",GSMA,GSMA PQ.03 PQC Guidelines,International:GSMA,compliance_framework,https://www.gsma.com/solutions-and-impact/technologies/security/post-quantum-cryptography-documents/,compliance/GSMA-NG116.html,gsma,yes,GSMA,url_authoritative,85,cswp39:governance,51,active,,,gsma-pq-01; gsma-pq-02; gsma-pq-03; NIST,
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,51,PQC-REGION-EU,yes,Ongoing,ETSI specification for quantum-safe algorithms in telecom protocols.,ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,technical_standard,https://www.etsi.org/committee/cyber,compliance/ETSI-TS103744.html,etsi-cyber,yes,ETSI,url_authoritative,85,cswp39:governance,51,active,,,,
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,52,PQC-REGION-EU,expected,2025 (effective),Operational resilience requirements for EU financial entities (effective Jan 2025). DORA imposes no explicit PQC mandate; PQC is read into the Article 9 ICT-protection obligations (integrity/confidentiality) by interpretation.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en,compliance/DORA.html,eiopa,yes,EBA/ESMA/EIOPA,url_authoritative,85,cswp39:governance,52,active,,,,2026-07-16
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,52,PQC-REGION-GLOBAL,no,Annual,Annual security attestation required for SWIFT network participants.,SWIFT,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.swift.com/myswift/customer-security-programme,compliance/SWIFT-CSP.html,swift,yes,SWIFT,url_authoritative,85,cswp39:assurance;cswp39:governance,52,active,,,,
ISO-27001,ISO 27001,International information security management standard,52;54;62;51;22;92,PQC-REGION-GLOBAL,no,Ongoing,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,FIPS 203;FIPS 204;FIPS 205,International:ISO/IEC,technical_standard,https://www.iso.org/standard/27001,compliance/ISO-27001.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,cswp39:governance,52;54;62;51;22;92,active,,,,
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,54;52;62,US;CA,no,Ongoing,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,compliance/SOC-2.html,aicpa,yes,AICPA,url_authoritative,85,cswp39:assurance,54;52;62,active,,,,
GDPR,GDPR,EU General Data Protection Regulation,62;54;52;44;61,PQC-REGION-EU,no,Ongoing,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://eur-lex.europa.eu/eli/reg/2016/679/oj,compliance/GDPR.html,enisa,yes,EU DPAs,url_authoritative,85,cswp39:governance,62;54;52;44;61,active,,,,
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,62,US,no,Ongoing,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/special-topics/hitech-act-enforcement-interim-final-rule/index.html,compliance/HITECH.html,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,HIPAA,
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,62,US,no,Ongoing,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application,compliance/FDA-21CFR11.html,fda,yes,FDA,url_authoritative,85,cswp39:assurance;cswp39:governance,62,active,,,,
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,92,US,expected,Ongoing (Rev 5 — PQC guidance expected),No direct FedRAMP PQC mandate today. Dependency chain: FIPS 203/204/205 (Aug 2024) → CMVP must validate PQC modules under FIPS 140-3 (no earlier than 2026-2027) → SP 800-53 updated with PQC controls → FedRAMP baselines incorporate. OMB post-FIPS guidance (statutorily due Aug 2025) not yet published. Realistic enforcement: 2027+. Mandate mechanism: indirect via NIST FIPS 140-3 / SP 800-53 chain.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026;EO-14306;GSA-PQC-Buyers-Guide-2025;NIST-CSWP-39,United States:NIST,certification_body,https://www.fedramp.gov,compliance/FEDRAMP.html,cisa,yes,GSA/FedRAMP PMO,url_authoritative,85,cswp39:assurance;cswp39:governance,92,active,,,,
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,92,US,yes,Ongoing,Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.,DISA,NSA CNSA 2.0;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://public.cyber.mil/stigs/,,disa,yes,DISA,url_authoritative,85,cswp39:governance,92,active,,,,
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,92,US;PQC-REGION-EU;CA;CZ;AU,yes,Ongoing,Coalition partner interoperability requirements. PQC transition affects classified data exchange.,NATO,FIPS 203;FIPS 204;FIPS 205,NATO:NATO,compliance_framework,https://www.nato.int/cps/en/natohq/topics_78170.htm,compliance/NATO-4774.html,nato,yes,NATO,url_authoritative,85,cswp39:governance,92,active,,,,
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,48,PQC-REGION-GLOBAL,yes,Ongoing,Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.,ISO/SAE,IEEE 1609.2 Amendment,,technical_standard,https://www.iso.org/standard/70918.html,compliance/ISO-SAE-21434.html,iso-iec-sc27,yes,ISO/SAE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,UN-ECE-WP29; UNECE-WP29-R155; ISO-27001,
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,48,PQC-REGION-EU,yes,Ongoing,Type approval requires cybersecurity management systems and secure OTA update processes.,UNECE,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://unece.org/transport/vehicle-regulations,,unece,yes,UNECE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,,
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,22,US;CA,yes,Ongoing,Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.,NERC,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.nerc.com/globalassets/standards/reliability-standards/cip/cip-005-7.pdf,compliance/NERC-CIP.pdf,nerc,yes,NERC,url_authoritative,85,cswp39:assurance;cswp39:governance,22,active,,,,
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,22;48;48,PQC-REGION-GLOBAL,yes,Ongoing,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,IEC 62443;FIPS 203;FIPS 204,,technical_standard,https://www.iec.ch/iecnorex/,,iec,yes,IEC,url_authoritative,85,,22;48;48,deprecated,2026-07-16,"No valid evidence obtainable (iec.ch blocks automated fetching, HTTP 403) and no cswp39_tags — dropped per policy: keep only PQC-related rows with valid local_file evidence.",,
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,48,PQC-REGION-GLOBAL,yes,Ongoing,Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.,RTCA/EUROCAE,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org/products/do-326a-electronic/,compliance/DO-326A.html,rtca,yes,RTCA/EUROCAE,url_authoritative,85,cswp39:assurance,48,active,,,,
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,48,PQC-REGION-GLOBAL,yes,Ongoing,Supplement to DO-326A for operational phase. Covers cryptographic controls in service.,RTCA,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org/products/do-355a-electronic/,compliance/RTCA-DO-355A.html,rtca,yes,RTCA,url_authoritative,85,cswp39:assurance,48,active,,,,
FERPA,FERPA,Family Educational Rights and Privacy Act,61,US,no,Ongoing,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://studentprivacy.ed.gov/ferpa,compliance/FERPA.html,omb,yes,US Dept of Education,url_authoritative,85,cswp39:governance,61,active,,,,
