question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
entropy-randomness-learn-011,entropy-randomness,Entropy & Randomness,"What is the relationship between NIST SP 800-90A, 800-90B, and 800-90C?","NIST SP 800-90A defines DRBG mechanisms, SP 800-90B covers entropy source validation, and SP 800-90C provides constructions for combining sources with DRBGs to create fully constructed Random Bit Generators. Together they form a complete framework from raw entropy to secure output.",learn,comprehension,architect;researcher,advanced,Global,General,NIST SP 800-90A,,,,,,NIST,/library?ref=NIST%20SP%20800-90A;/learn/entropy-randomness,library_ref:NIST SP 800-90A EXISTS|compliance_ref:NIST EXISTS,Key Concepts: NIST SP 800-90 family
entropy-randomness-learn-012,entropy-randomness,Entropy & Randomness,"Why is ""quantum-safe"" the wrong test for a hardware TRNG?","A hardware TRNG does not rest on a computational hardness assumption, so a quantum computer does not break it the way it breaks RSA. But that says nothing about whether it works. Its security depends on the noise source actually delivering its claimed min-entropy — SP 800-90B calls the noise source the root of security for the entropy source and the RBG — which is established by entropy assessment of raw data and by health tests that detect failures.",learn,comprehension,architect;researcher,advanced,Global,General,NIST-SP-800-90B,,,,,,,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS,"SP 800-90B §2.2.1, §4"
entropy-randomness-workshop-013,entropy-randomness,Entropy & Randomness,You must generate ML-KEM-768 key pairs. What must the randomness source meet?,"KeyGen draws two fresh 32-byte values, d and z, from an approved RBG (SP 800-90A, 90B and 90C) with a security strength of at least 192 bits (FIPS 203 §3.3 and Table 2). If random bit generation fails, KeyGen returns an error instead of a key. The seed (d, z) can recompute the decapsulation key, so it must be protected like one.",workshop,application,developer;architect,advanced,Global,General,FIPS 203,,,,KEM,,,/library?ref=FIPS%20203;/learn/entropy-randomness,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv,"FIPS 203 §3.3, §7.1 Alg. 19, §8 Table 2 (utils/pqcRandomInputs.ts)"
entropy-randomness-workshop-014,entropy-randomness,Entropy & Randomness,"If you are validating an entropy source for NIST ESV, which specific tests must be performed continuously?","SP 800-90B §4.3 requires both continuous and start-up health tests. The continuous tests shall include either the two approved tests of §4.4, the Repetition Count Test and the Adaptive Proportion Test, or developer-defined tests that meet the substitution requirements of §4.5. The start-up tests run the continuous tests over at least 1,024 consecutive samples, the source must support on-demand testing, and all of these run on the noise-source samples before any conditioning (§4.3 item 6).",workshop,application,ops;architect,advanced,Global,General,NIST SP 800-90B,,,,,,NIST,/library?ref=NIST%20SP%20800-90B;/learn/entropy-randomness,library_ref:NIST SP 800-90B EXISTS|compliance_ref:NIST EXISTS,Key Concepts: Entropy testing (SP 800-90B)
entropy-randomness-workshop-015,entropy-randomness,Entropy & Randomness,How would you evaluate a design that combines a local TRNG with a remote QRNG service?,"State the assumptions first: whether the sources are independent; whether an attacker can observe, delay, replay or choose the remote data; what min-entropy each source is validated to provide; and which SP 800-90C construction the design follows. XOR and conditioning do not repair a correlated or attacker-controlled input. If those questions cannot be answered, the conclusion is ""not enough evidence"", not ""secure"".",workshop,application,developer;architect,advanced,Global,General,NIST-SP-800-90C,,,,,,,/library?ref=NIST-SP-800-90C;/learn/entropy-randomness,library_ref:NIST-SP-800-90C EXISTS,Engineering reasoning; SP 800-90C Abstract; SP 800-90B §2.2.1
entropy-randomness-workshop-016,entropy-randomness,Entropy & Randomness,"When estimating the min-entropy of a noise source under SP 800-90B, which estimator looks for long repeated substrings?","The Longest Repeated Substring (LRS) estimate, one of the SP 800-90B non-IID estimators (§6.3.6). It counts repeated substrings (tuples) in the dataset and complements the t-tuple estimate for tuple sizes that are too large for it. The estimators are run on a sequential dataset of at least 1,000,000 samples obtained directly from the noise source (§3.1.1); running them on DRBG or other generated output assesses the post-processing, not the source.",workshop,application,developer;ops,advanced,Global,General,NIST SP 800-90B,,,,,,NIST,/library?ref=NIST%20SP%20800-90B;/learn/entropy-randomness,library_ref:NIST SP 800-90B EXISTS|compliance_ref:NIST EXISTS,Key Concepts: Entropy testing (SP 800-90B)
entropy-randomness-workshop-017,entropy-randomness,Entropy & Randomness,"If your system uses the Web Crypto API, what is the underlying mechanism generating the randomness?","crypto.getRandomValues() returns output of a pseudorandom number generator in the browser, seeded with entropy from an external source such as the platform's random-number function or /dev/urandom (MDN). The Web Cryptography specification mandates no minimum degree of entropy, and the generator may vary across user agents. The output is not raw noise-source data, so its quality depends on the platform's entropy source and RNG.",workshop,application,developer;architect,intermediate;advanced,Global,General,Crypto-getRandomValues-method-Web-APIs-MDN,,,,,,,/learn/entropy-randomness,,Workshop Steps: QRNG Exploration
entropy-randomness-workshop-018,entropy-randomness,Entropy & Randomness,How does an Entropy Validation Certificate differ from a FIPS 140-3 module certificate?,"An Entropy Validation Certificate covers an entropy source: an accredited lab submits its SP 800-90B conformance justification through the ESV Server, and a CMVP reviewer decides whether it is sufficient. A FIPS 140-3 certificate covers a whole cryptographic module, whose submission must document SP 800-90B conformance where applicable. SP 800-90C constructions receive a separate Random Bit Generator Validation Certificate (IG D.T). NIST publishes no review duration.",workshop,application,architect;ops,advanced,USA;Global,General,NIST-SP-800-90B;FIPS-140-3-STANDARD,,,,,,NIST,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS|library_ref:FIPS-140-3-STANDARD EXISTS,"csrc.nist.gov CMVP entropy-validations and ESV pages (updated 2026-08-21, checked 2026-09-24)"
entropy-randomness-workshop-019,entropy-randomness,Entropy & Randomness,"In the QRNG comparison simulation, why do the simulated QRNG sample and the CSPRNG sample give the same kind of results?","Because the simulated ""QRNG"" sample is itself crypto.getRandomValues() output; no QRNG hardware is involved. The lesson is that tests on output cannot tell good generators apart. Any real difference between a QRNG and a CSPRNG lies in the noise source, which only an SP 800-90B assessment of raw noise-source data can address.",workshop,application,developer;researcher,advanced,Global,General,NIST-SP-800-90B,,,,,,,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS,QRNGDemo.tsx simulation notice; SP 800-90B §3.1.1
entropy-randomness-learn-020,entropy-randomness,Entropy & Randomness,"What can conditioning do for combined entropy, and what can it not do?","Conditioning compresses its input into output with a higher entropy rate, but it cannot add entropy. SP 800-90B assesses a conditioned output at an entropy computed from the entropy that went in and the output size; vetted conditioning components may claim full-entropy output, which the formula only supports when enough entropy goes in. Uniform-looking output is not evidence that the input had enough entropy.",learn,synthesis,architect;developer,advanced,Global,General,NIST-SP-800-90B,,,,,,,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS,SP 800-90B §3.1.5
entropy-randomness-learn-021,entropy-randomness,Entropy & Randomness,What does adding a QRNG change in a defense-in-depth design for PQC systems?,"A QRNG adds another noise source. It adds real diversity only if it is independent of the existing sources and its own entropy claim is validated under SP 800-90B. Whether the RBG stays secure after one source fails depends on the SP 800-90C construction and on the entropy the remaining sources actually deliver; the word ""quantum"" is not evidence.",learn,synthesis,architect;executive,advanced,Global,General,NIST-SP-800-90B;NIST-SP-800-90C,,,,,,,/library?ref=NIST-SP-800-90B;/library?ref=NIST-SP-800-90C;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS|library_ref:NIST-SP-800-90C EXISTS,SP 800-90B §2.2.1; SP 800-90C Abstract; engineering reasoning
entropy-randomness-learn-022,entropy-randomness,Entropy & Randomness,"Considering the 2008 Debian OpenSSL bug, what architectural change is critical for modern PQC implementations?","Modern PQC implementations must ensure that entropy sources are not limited to predictable values like process IDs. Instead, they must utilize robust DRBGs seeded by high-quality TRNGs or QRNGs validated under NIST SP 800-90B to prevent key space reduction.",learn,synthesis,architect;developer,advanced,Global,General,NIST SP 800-90B,,,,,OpenSSL,NIST,/library?ref=NIST%20SP%20800-90B;/migrate?q=OpenSSL;/learn/entropy-randomness,library_ref:NIST SP 800-90B EXISTS|migrate_ref:OpenSSL EXISTS|compliance_ref:NIST EXISTS,Key Concepts: Entropy fundamentals; PQC seed requirements
entropy-randomness-learn-023,entropy-randomness,Entropy & Randomness,How do SP 800-90B min-entropy estimates relate to the RBG requirements in FIPS 203 and FIPS 204?,"SP 800-90B estimators quantify the min-entropy of a noise source's raw data; that estimate is part of validating the entropy source that feeds an SP 800-90C RBG. FIPS 203 and FIPS 204 do not state a requirement in bytes of entropy. They require an approved RBG whose security strength meets the parameter set, for example at least 192 bits for ML-KEM-768 or ML-DSA-65.",learn,synthesis,architect;researcher,advanced,Global,General,NIST-SP-800-90B;FIPS 203;FIPS 204,,,,,,,/library?ref=NIST-SP-800-90B;/library?ref=FIPS%20203;/library?ref=FIPS%20204;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS|library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS,"SP 800-90B Abstract, §3.1.1; FIPS 203 §3.3; FIPS 204 §3.6.1"
entropy-randomness-learn-024,entropy-randomness,Entropy & Randomness,What do FIPS 203 and FIPS 204 require of the DRBG that generates ML-KEM or ML-DSA randomness?,"They do not name a DRBG mechanism. They require the random bytes to come from an approved RBG as prescribed in SP 800-90A, SP 800-90B and SP 800-90C, with a minimum security strength per parameter set. Hedged ML-DSA signing randomness is the exception: it should ideally come from an approved RBG, but other methods for fresh random values may be used.",learn,synthesis,architect;developer,advanced,Global,General,FIPS 203;FIPS 204;NIST-SP-800-90A-R1,,,,,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=NIST-SP-800-90A-R1;/learn/entropy-randomness,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:NIST-SP-800-90A-R1 EXISTS,FIPS 203 §3.3; FIPS 204 §3.6.1 (utils/pqcRandomInputs.ts)
entropy-randomness-learn-025,entropy-randomness,Entropy & Randomness,What does SP 800-90C specify for building an RBG from several components?,"SP 800-90C specifies constructions for four classes of RBGs — RBG1, RBG2, RBG3 and RBGC — that include SP 800-90A DRBG mechanisms and use SP 800-90B entropy sources. Security after a source failure is not automatic: it depends on the construction chosen, the entropy the remaining sources are validated to provide, and how failures are detected.",learn,synthesis,architect;executive,advanced,Global,General,NIST-SP-800-90C;NIST-SP-800-90A-R1;NIST-SP-800-90B,,,,,,NIST,/library?ref=NIST-SP-800-90C;/learn/entropy-randomness,library_ref:NIST-SP-800-90C EXISTS|library_ref:NIST-SP-800-90A-R1 EXISTS|library_ref:NIST-SP-800-90B EXISTS,SP 800-90C Abstract
entropy-randomness-learn-026,entropy-randomness,Entropy & Randomness,"In a FIPS 140-3 context, why is the TRNG-vs-QRNG distinction less important than validation of the source?","Because the entropy claim rests on SP 800-90B conformance, not on whether the noise source is classical or quantum. CMVP requires module submissions to justify SP 800-90B conformance where applicable, and it issues Entropy Validation Certificates to both kinds of source under the same standard. The physics label does not replace that evidence.",learn,synthesis,architect;executive,advanced,USA;Global,General,NIST-SP-800-90B;FIPS-140-3-STANDARD,,,,,,NIST,/library?ref=NIST-SP-800-90B;/learn/entropy-randomness,library_ref:NIST-SP-800-90B EXISTS|library_ref:FIPS-140-3-STANDARD EXISTS,csrc.nist.gov CMVP entropy-validations page (checked 2026-09-24); SP 800-90B §2.2.1
