phase,phase_name,phase_mission,phase_todo,phase_produces,level,level_name,goal
p2,CBOM,"Turn your inventory into a living, queryable Cryptographic Bill of Materials (CBOM).",Adopt CycloneDX as your CBOM format and tooling | Populate Layers 1–2 for your key applications | Link the CBOM to your SBOMs | Wire it into CI/CD so it stays fresh,CycloneDX CBOM (Layers 1–2) | SBOM linkage | Freshness governance,0,Unaware,No CBOM exists; cryptographic documentation is ad hoc or absent
p2,CBOM,"Turn your inventory into a living, queryable Cryptographic Bill of Materials (CBOM).",Adopt CycloneDX as your CBOM format and tooling | Populate Layers 1–2 for your key applications | Link the CBOM to your SBOMs | Wire it into CI/CD so it stays fresh,CycloneDX CBOM (Layers 1–2) | SBOM linkage | Freshness governance,1,Aware,Partial CBOM in spreadsheet form covering known systems; no standard format
p2,CBOM,"Turn your inventory into a living, queryable Cryptographic Bill of Materials (CBOM).",Adopt CycloneDX as your CBOM format and tooling | Populate Layers 1–2 for your key applications | Link the CBOM to your SBOMs | Wire it into CI/CD so it stays fresh,CycloneDX CBOM (Layers 1–2) | SBOM linkage | Freshness governance,2,Initiated,CycloneDX CBOM operational for Layers 1–2; queryable; SBOM linkage established for key applications
p2,CBOM,"Turn your inventory into a living, queryable Cryptographic Bill of Materials (CBOM).",Adopt CycloneDX as your CBOM format and tooling | Populate Layers 1–2 for your key applications | Link the CBOM to your SBOMs | Wire it into CI/CD so it stays fresh,CycloneDX CBOM (Layers 1–2) | SBOM linkage | Freshness governance,3,Progressing,CBOM covers Layers 1–3; integrated into CI/CD; freshness governance enforced; change management integration live
p2,CBOM,"Turn your inventory into a living, queryable Cryptographic Bill of Materials (CBOM).",Adopt CycloneDX as your CBOM format and tooling | Populate Layers 1–2 for your key applications | Link the CBOM to your SBOMs | Wire it into CI/CD so it stays fresh,CycloneDX CBOM (Layers 1–2) | SBOM linkage | Freshness governance,4,Advanced,CBOM is a real-time operational asset; auto-updated on deployment; Layer 4 gaps systematically managed through vendor governance; CBOM drives automated compliance reporting
p3,Risk Scoring,Decide what to migrate first — score and sequence by real quantum risk.,Build a risk-scoring model and score your Tier-1 CBOM entries | Produce a prioritized migration backlog | Generate a Quantum Risk Assessment (QRA) | Factor in feasibility and legal/data-retention — not just severity,"Scored/tiered CBOM | QRA (heatmap, backlog, gap analysis) | Sequencing plan",0,Unaware,No quantum risk assessment exists
p3,Risk Scoring,Decide what to migrate first — score and sequence by real quantum risk.,Build a risk-scoring model and score your Tier-1 CBOM entries | Produce a prioritized migration backlog | Generate a Quantum Risk Assessment (QRA) | Factor in feasibility and legal/data-retention — not just severity,"Scored/tiered CBOM | QRA (heatmap, backlog, gap analysis) | Sequencing plan",1,Aware,"Informal awareness of which systems are ""probably vulnerable""; no structured scoring"
p3,Risk Scoring,Decide what to migrate first — score and sequence by real quantum risk.,Build a risk-scoring model and score your Tier-1 CBOM entries | Produce a prioritized migration backlog | Generate a Quantum Risk Assessment (QRA) | Factor in feasibility and legal/data-retention — not just severity,"Scored/tiered CBOM | QRA (heatmap, backlog, gap analysis) | Sequencing plan",2,Initiated,Formal risk scoring model applied to Tier-1 CBOM entries; prioritized migration backlog exists; QRA document produced
p3,Risk Scoring,Decide what to migrate first — score and sequence by real quantum risk.,Build a risk-scoring model and score your Tier-1 CBOM entries | Produce a prioritized migration backlog | Generate a Quantum Risk Assessment (QRA) | Factor in feasibility and legal/data-retention — not just severity,"Scored/tiered CBOM | QRA (heatmap, backlog, gap analysis) | Sequencing plan",3,Progressing,QRA updated quarterly; all CBOM entries scored and tiered; migration sequencing drives Phase 5 execution; legal risk dimension assessed
p3,Risk Scoring,Decide what to migrate first — score and sequence by real quantum risk.,Build a risk-scoring model and score your Tier-1 CBOM entries | Produce a prioritized migration backlog | Generate a Quantum Risk Assessment (QRA) | Factor in feasibility and legal/data-retention — not just severity,"Scored/tiered CBOM | QRA (heatmap, backlog, gap analysis) | Sequencing plan",4,Advanced,Continuous risk posture management; automated re-scoring when CBOM changes or regulatory deadlines shift; QRA integrated into enterprise risk register and audit cycle
p4,Roadmap & Governance,"Turn the backlog into a funded, multi-year execution plan.",Draft a multi-year roadmap and a resourced Year-1 plan | Stand up the PMO and a SteerCo cadence | Set KPI baselines | Align with refresh cycles and define milestone gates,Multi-year roadmap | Year-1 plan | PMO operating model | KPI dashboard,0,Unaware,No migration plan exists
p4,Roadmap & Governance,"Turn the backlog into a funded, multi-year execution plan.",Draft a multi-year roadmap and a resourced Year-1 plan | Stand up the PMO and a SteerCo cadence | Set KPI baselines | Align with refresh cycles and define milestone gates,Multi-year roadmap | Year-1 plan | PMO operating model | KPI dashboard,1,Aware,"Informal plan exists (spreadsheet, no governance); single-year horizon"
p4,Roadmap & Governance,"Turn the backlog into a funded, multi-year execution plan.",Draft a multi-year roadmap and a resourced Year-1 plan | Stand up the PMO and a SteerCo cadence | Set KPI baselines | Align with refresh cycles and define milestone gates,Multi-year roadmap | Year-1 plan | PMO operating model | KPI dashboard,2,Initiated,Multi-year roadmap approved; Year 1 plan resourced; SteerCo operational; KPI baseline set
p4,Roadmap & Governance,"Turn the backlog into a funded, multi-year execution plan.",Draft a multi-year roadmap and a resourced Year-1 plan | Stand up the PMO and a SteerCo cadence | Set KPI baselines | Align with refresh cycles and define milestone gates,Multi-year roadmap | Year-1 plan | PMO operating model | KPI dashboard,3,Progressing,Quarterly roadmap reviews operational; dependency mapping maintained; refresh cycle alignment documented; vendor engagement tracked on dashboard
p4,Roadmap & Governance,"Turn the backlog into a funded, multi-year execution plan.",Draft a multi-year roadmap and a resourced Year-1 plan | Stand up the PMO and a SteerCo cadence | Set KPI baselines | Align with refresh cycles and define milestone gates,Multi-year roadmap | Year-1 plan | PMO operating model | KPI dashboard,4,Advanced,Roadmap is a living instrument with quarterly updates; contingency triggers defined and tested; leading indicators monitored; program transitioning from migration execution to ongoing posture management
p5,Pilots & Migration,"Prove it in production — pilot, validate, then roll out in waves.",Pick important (not just easy) pilot targets | Deploy hybrid (classical + PQC) and test rollback | Document validated patterns (TLS / VPN / mTLS / code-signing) | Plan the waves + defense-in-depth for what can't migrate yet,Pilot results | Validated patterns | Wave plan | Rollback procedures,0,Unaware,No PQC pilots planned or underway
p5,Pilots & Migration,"Prove it in production — pilot, validate, then roll out in waves.",Pick important (not just easy) pilot targets | Deploy hybrid (classical + PQC) and test rollback | Document validated patterns (TLS / VPN / mTLS / code-signing) | Plan the waves + defense-in-depth for what can't migrate yet,Pilot results | Validated patterns | Wave plan | Rollback procedures,1,Aware,Lab testing only; no production exposure
p5,Pilots & Migration,"Prove it in production — pilot, validate, then roll out in waves.",Pick important (not just easy) pilot targets | Deploy hybrid (classical + PQC) and test rollback | Document validated patterns (TLS / VPN / mTLS / code-signing) | Plan the waves + defense-in-depth for what can't migrate yet,Pilot results | Validated patterns | Wave plan | Rollback procedures,2,Initiated,2+ production pilots running with measured results; rollback procedures tested; validated patterns documented
p5,Pilots & Migration,"Prove it in production — pilot, validate, then roll out in waves.",Pick important (not just easy) pilot targets | Deploy hybrid (classical + PQC) and test rollback | Document validated patterns (TLS / VPN / mTLS / code-signing) | Plan the waves + defense-in-depth for what can't migrate yet,Pilot results | Validated patterns | Wave plan | Rollback procedures,3,Progressing,"Tier-1 internet-facing systems on hybrid/PQC; wave rollout underway for Tier-2; defense-in-depth measures (tokenization, AES-256, segmentation) deployed"
p5,Pilots & Migration,"Prove it in production — pilot, validate, then roll out in waves.",Pick important (not just easy) pilot targets | Deploy hybrid (classical + PQC) and test rollback | Document validated patterns (TLS / VPN / mTLS / code-signing) | Plan the waves + defense-in-depth for what can't migrate yet,Pilot results | Validated patterns | Wave plan | Rollback procedures,4,Advanced,Estate-wide hybrid/PQC deployment substantially complete; transitioning selected systems from hybrid to PQC-only; crypto-agility demonstrated via algorithm-swap drill
p6,Infrastructure & Performance,"Modernize the plumbing — PKI, HSM/KMS and network — to carry PQC.",Inventory your HSMs with their PQC status | Draft a PKI modernization plan | Test middleboxes for PQC compatibility | Baseline performance and plan capacity,PKI modernization plan | HSM/KMS upgrade schedule | Network compatibility report | Performance baseline,0,Unaware,No awareness of PQC infrastructure impact; no testing
p6,Infrastructure & Performance,"Modernize the plumbing — PKI, HSM/KMS and network — to carry PQC.",Inventory your HSMs with their PQC status | Draft a PKI modernization plan | Test middleboxes for PQC compatibility | Baseline performance and plan capacity,PKI modernization plan | HSM/KMS upgrade schedule | Network compatibility report | Performance baseline,1,Aware,Awareness of PKI/HSM/network challenges; no concrete plans
p6,Infrastructure & Performance,"Modernize the plumbing — PKI, HSM/KMS and network — to carry PQC.",Inventory your HSMs with their PQC status | Draft a PKI modernization plan | Test middleboxes for PQC compatibility | Baseline performance and plan capacity,PKI modernization plan | HSM/KMS upgrade schedule | Network compatibility report | Performance baseline,2,Initiated,HSMs inventoried with PQC status; PKI modernization plan drafted; initial middlebox testing underway
p6,Infrastructure & Performance,"Modernize the plumbing — PKI, HSM/KMS and network — to carry PQC.",Inventory your HSMs with their PQC status | Draft a PKI modernization plan | Test middleboxes for PQC compatibility | Baseline performance and plan capacity,PKI modernization plan | HSM/KMS upgrade schedule | Network compatibility report | Performance baseline,3,Progressing,HSM upgrades in progress; PKI dual-stack operational; all production middleboxes tested; performance baselines established for Tier-1 systems
p6,Infrastructure & Performance,"Modernize the plumbing — PKI, HSM/KMS and network — to carry PQC.",Inventory your HSMs with their PQC status | Draft a PKI modernization plan | Test middleboxes for PQC compatibility | Baseline performance and plan capacity,PKI modernization plan | HSM/KMS upgrade schedule | Network compatibility report | Performance baseline,4,Advanced,Infrastructure fully PQC-capable across IT estate; capacity planning validated at production scale; PKI automated with shortened lifetimes; middlebox monitoring integrated into continuous discovery
p7,Vendor & Supply Chain,Get your vendors on a PQC timeline — they're your biggest external constraint.,Classify vendors by criticality | Engage your top-10 with questionnaires | Put PQC into procurement language and contracts | Deploy bridging patterns where a vendor blocks you,Vendor readiness register | Procurement requirements | Questionnaire responses | Bridging deployments,0,Unaware,"No vendor engagement on PQC; assumption that ""vendors will sort it out"""
p7,Vendor & Supply Chain,Get your vendors on a PQC timeline — they're your biggest external constraint.,Classify vendors by criticality | Engage your top-10 with questionnaires | Put PQC into procurement language and contracts | Deploy bridging patterns where a vendor blocks you,Vendor readiness register | Procurement requirements | Questionnaire responses | Bridging deployments,1,Aware,Ad-hoc inquiries to a few vendors; no structured tracking
p7,Vendor & Supply Chain,Get your vendors on a PQC timeline — they're your biggest external constraint.,Classify vendors by criticality | Engage your top-10 with questionnaires | Put PQC into procurement language and contracts | Deploy bridging patterns where a vendor blocks you,Vendor readiness register | Procurement requirements | Questionnaire responses | Bridging deployments,2,Initiated,Top 10 vendors formally engaged; questionnaires sent; responses tracked; vendor criticality classification complete
p7,Vendor & Supply Chain,Get your vendors on a PQC timeline — they're your biggest external constraint.,Classify vendors by criticality | Engage your top-10 with questionnaires | Put PQC into procurement language and contracts | Deploy bridging patterns where a vendor blocks you,Vendor readiness register | Procurement requirements | Questionnaire responses | Bridging deployments,3,Progressing,PQC in standard procurement language; contracts include dated commitments and remedies; bridging patterns deployed for blocked systems; vendor scorecard reported to SteerCo
p7,Vendor & Supply Chain,Get your vendors on a PQC timeline — they're your biggest external constraint.,Classify vendors by criticality | Engage your top-10 with questionnaires | Put PQC into procurement language and contracts | Deploy bridging patterns where a vendor blocks you,Vendor readiness register | Procurement requirements | Questionnaire responses | Bridging deployments,4,Advanced,All strategic vendors PQC-committed with verified delivery; bridging patterns eliminated as vendor support matures; open-source dependency tracking operational; vendor governance is permanent BAU function
