software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
Amazon Web Services (AWS),,,,,not_found,,2026-04-01,2026-07-11,not in regen,amazon-web-services-aws,cpe_not_found_pending_nvd,'Amazon Web Services (AWS)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,2026-04-01,2026-07-11,not in regen,amd-sev-snp-secure-encrypted-virtualization,cpe_not_found_pending_nvd,'AMD SEV-SNP (Secure Encrypted Virtualization)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AMD Versal Adaptive SoC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,amd-versal-adaptive-soc,cpe_not_found_pending_nvd,'AMD Versal Adaptive SoC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
American Binary Ambit Client,,,,,not_found,,2026-04-01,2026-07-11,not in regen,american-binary-ambit-client,cpe_not_found_pending_nvd,'American Binary Ambit Client' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Anchorage Digital,,,,,not_found,,2026-04-01,2026-07-11,not in regen,anchorage-digital,cpe_not_found_pending_nvd,'Anchorage Digital' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Android 16,,,,,not_found,,2026-04-01,2026-07-11,not in regen,android-16,cpe_not_found_pending_nvd,'Android 16' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Android 17 PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,android-17-pqc,cpe_not_found_pending_nvd,'Android 17 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
ANKATech ANKASecure,,,,,not_found,,2026-04-01,2026-07-11,not in regen,ankatech-ankasecure,cpe_not_found_pending_nvd,'ANKATech ANKASecure' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Apache Guacamole,cpe:2.3:a:apache:guacamole:0.8.3:*:*:*:*:*:*:*,apache,guacamole,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20guacamole,2026-04-01,2026-07-11,not in regen,apache-guacamole,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Apache HTTP Server,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,apache,http_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20http_server,2026-04-01,2026-07-11,not in regen,apache-http-server,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Apache Tomcat,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,apache,tomcat,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20tomcat,2026-04-01,2026-07-11,not in regen,apache-tomcat,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Apache Traffic Server,cpe:2.3:a:apache:traffic_server:2.0.0:*:*:*:*:*:*:*,apache,traffic_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20traffic%20server,2026-04-01,2026-07-11,not in regen,apache-traffic-server,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Apple codesign,,,,,not_found,,2026-04-01,2026-07-11,not in regen,apple-codesign,cpe_not_found_pending_nvd,'Apple codesign' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Apple PQ3 / CoreCrypto,,,,,not_found,,2026-07-14,2026-07-14,not in regen,,,
Apple Safari,cpe:2.3:a:apple:safari:-:*:*:*:*:*:*:*,apple,safari,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apple%20safari,2026-04-01,2026-07-11,not in regen,apple-safari,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Applivery UEM PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,applivery-uem-pqc,cpe_not_found_pending_nvd,'Applivery UEM PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AppViewX CERT+,,,,,not_found,,2026-04-01,2026-07-11,not in regen,appviewx-cert,cpe_not_found_pending_nvd,'AppViewX CERT+' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AppViewX Spring 2026,,,,,not_found,,2026-04-01,2026-07-11,not in regen,appviewx-spring-2026,cpe_not_found_pending_nvd,'AppViewX Spring 2026' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Aptos,cpe:2.3:a:aptosfoundation:aptos:1.4.3:*:*:*:*:*:*:*,aptosfoundation,aptos,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=aptos%20aptos,2026-04-01,2026-07-11,not in regen,aptos,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Arch Linux,,,,,not_found,,2026-04-01,2026-07-11,not in regen,arch-linux,cpe_not_found_pending_nvd,'Arch Linux' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Arista EOS (Extensible Operating System),,,,,not_found,,2026-04-01,2026-07-11,not in regen,arista-eos-extensible-operating-system,cpe_not_found_pending_nvd,'Arista EOS (Extensible Operating System)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
ARM Confidential Compute Architecture (CCA),,,,,not_found,,2026-04-01,2026-07-11,not in regen,arm-confidential-compute-architecture-cca,cpe_not_found_pending_nvd,'ARM Confidential Compute Architecture (CCA)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
ARM Trusted Firmware (TF-A),cpe:2.3:a:arm:trusted_firmware-a:-:*:*:*:*:*:*:*,arm,trusted_firmware-a,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29,2026-04-01,2026-07-11,not in regen,arm-trusted-firmware-tf-a,cpe_partial_match,Partial CPE match for 'ARM Trusted Firmware (TF-A)'; version qualifier absent. Verify against NVD: https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=arm%20trusted%20firmware%20%28tf-a%29.
ARM TrustZone,,,,,not_found,,2026-04-01,2026-07-11,not in regen,arm-trustzone,cpe_not_found_pending_nvd,'ARM TrustZone' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Arqit 6WIND Telco PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,arqit-6wind-telco-pqc,cpe_not_found_pending_nvd,'Arqit 6WIND Telco PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Arqit Encryption Intelligence,,,,,not_found,,2026-04-01,2026-07-11,not in regen,arqit-encryption-intelligence,cpe_not_found_pending_nvd,'Arqit Encryption Intelligence' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Arqit QuantumCloud,,,,,not_found,,2026-04-01,2026-07-11,not in regen,arqit-quantumcloud,cpe_not_found_pending_nvd,'Arqit QuantumCloud' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Ascertia ADSS PKI Server,,,,,not_found,,2026-04-01,2026-07-11,not in regen,ascertia-adss-pki-server,cpe_not_found_pending_nvd,'Ascertia ADSS PKI Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Ascertia ADSS Server/SAM,,,,,not_found,,2026-04-01,2026-07-11,not in regen,ascertia-adss-server-sam,cpe_not_found_pending_nvd,'Ascertia ADSS Server/SAM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Ascertia ADSS Signing Server,,,,,not_found,,2026-04-01,2026-07-11,not in regen,ascertia-adss-signing-server,cpe_not_found_pending_nvd,'Ascertia ADSS Signing Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
ASUSTOR ADM 5.1 PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,asustor-adm-5-1-pqc,cpe_not_found_pending_nvd,'ASUSTOR ADM 5.1 PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AsyncSSH,,,,,not_found,,2026-04-01,2026-07-11,not in regen,asyncssh,cpe_not_found_pending_nvd,'AsyncSSH' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Auth0 (Okta Customer Identity),,,,,not_found,,2026-04-01,2026-07-11,not in regen,auth0-okta-customer-identity,cpe_not_found_pending_nvd,'Auth0 (Okta Customer Identity)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AUTOCRYPT PKI-Vehicles,,,,,not_found,,2026-04-01,2026-07-11,not in regen,autocrypt-pki-vehicles,cpe_not_found_pending_nvd,'AUTOCRYPT PKI-Vehicles' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Avalanche,,,,,not_found,,2026-04-01,2026-07-11,not in regen,avalanche,cpe_not_found_pending_nvd,'Avalanche' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS API Gateway PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-api-gateway-pqc,cpe_not_found_pending_nvd,'AWS API Gateway PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS Application Load Balancer (ALB),,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-application-load-balancer-alb,cpe_not_found_pending_nvd,'AWS Application Load Balancer (ALB)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS CloudHSM,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-cloudhsm,cpe_not_found_pending_nvd,'AWS CloudHSM' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS Identity and Access Management (IAM),,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-identity-and-access-management-iam,cpe_not_found_pending_nvd,'AWS Identity and Access Management (IAM)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS KMS,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-kms,cpe_not_found_pending_nvd,'AWS KMS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS KMS (Cloud Gateway),,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-kms-cloud-gateway,cpe_not_found_pending_nvd,'AWS KMS (Cloud Gateway)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS Payments Cryptography PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-payments-cryptography-pqc,cpe_not_found_pending_nvd,'AWS Payments Cryptography PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS Private CA PQC,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-private-ca-pqc,cpe_not_found_pending_nvd,'AWS Private CA PQC' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS s2n-tls,,,,,not_found,,2026-07-14,2026-07-14,not in regen,,,
AWS Transfer Family,,,,,not_found,,2026-04-01,2026-07-11,not in regen,aws-transfer-family,cpe_not_found_pending_nvd,'AWS Transfer Family' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
AWS-LC,cpe:2.3:a:amazon:aws-lc-sys:-:*:*:*:*:rust:*:*,amazon,aws-lc-sys,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20aws-lc,2026-07-14,2026-07-14,not in regen,,,
Azure AKS,,,,,not_found,,2026-04-01,2026-07-11,not in regen,azure-aks,cpe_not_found_pending_nvd,'Azure AKS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,not_found,,2026-04-01,2026-07-11,not in regen,azure-dedicated-hsm-marvell-liquidsecurity,cpe_not_found_pending_nvd,'Azure Dedicated HSM (Marvell LiquidSecurity)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Azure DevOps,,,,,not_found,,2026-04-01,2026-07-11,not in regen,azure-devops,cpe_not_found_pending_nvd,'Azure DevOps' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Azure Key Vault,,,,,not_found,,2026-04-01,2026-07-11,not in regen,azure-key-vault,cpe_not_found_pending_nvd,'Azure Key Vault' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Barracuda Email Protection,,,,,not_found,,2026-04-01,2026-07-11,not in regen,barracuda-email-protection,cpe_not_found_pending_nvd,'Barracuda Email Protection' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
BERTEN MLDS-B235,,,,,not_found,,2026-04-01,2026-07-11,not in regen,berten-mlds-b235,cpe_not_found_pending_nvd,'BERTEN MLDS-B235' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
BERTEN MLKE-B135,,,,,not_found,,2026-04-01,2026-07-11,not in regen,berten-mlke-b135,cpe_not_found_pending_nvd,'BERTEN MLKE-B135' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Bitcoin Core,cpe:2.3:a:bitcoincore:bitcoin_core:0.16.2:*:*:*:*:*:*:*,bitcoincore,bitcoin_core,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitcoin%20core,2026-04-01,2026-07-11,not in regen,bitcoin-core,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
BitGo,,,,,not_found,,2026-04-01,2026-07-11,not in regen,bitgo,cpe_not_found_pending_nvd,'BitGo' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
BitLocker (Windows),,,,,not_found,,2026-04-01,2026-07-11,not in regen,bitlocker-windows,cpe_not_found_pending_nvd,'BitLocker (Windows)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Bitvise SSH Server,,,,,not_found,,2026-04-01,2026-07-11,not in regen,bitvise-ssh-server,cpe_not_found_pending_nvd,'Bitvise SSH Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Bitwarden,cpe:2.3:a:bitwarden:server:1.0.0:*:*:*:*:*:*:*,bitwarden,server,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitwarden%20bitwarden,2026-04-01,2026-07-11,not in regen,bitwarden,cpe_partial_match,Partial CPE match for 'Bitwarden'; version qualifier absent. Verify against NVD: https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitwarden%20bitwarden.
BoringSSL,cpe:2.3:a:google:chrome:0.2.149.29:*:*:*:*:*:*:*,google,chrome,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20chrome,2026-07-14,2026-07-14,not in regen,,,
Botan,cpe:2.3:a:botan_project:botan:1.10.0:*:*:*:*:*:*:*,botan_project,botan,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=botan%20botan,2026-07-14,2026-07-14,not in regen,,,
Bouncy Castle C# .NET,,,,,not_found,,2026-07-14,2026-07-14,not in regen,,,
Bouncy Castle C\# / Java,,,,,not_found,,2026-04-01,2026-07-11,not in regen,bouncy-castle-c-java,cpe_not_found_pending_nvd,'Bouncy Castle C\# / Java' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Bouncy Castle Java,cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.36:*:*:*:*:*:*:*,bouncycastle,legion-of-the-bouncy-castle-java-crytography-api,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bouncy%20castle%20java,2026-07-14,2026-07-14,not in regen,,,
Bouncy Castle Java LTS,,,,,not_found,,2026-07-14,2026-07-14,not in regen,,,
Bradesco IBM Quantum Safe,,,,,not_found,,2026-04-01,2026-07-11,not in regen,bradesco-ibm-quantum-safe,cpe_not_found_pending_nvd,'Bradesco IBM Quantum Safe' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Brave Browser,cpe:2.3:a:brave:browser:1.9.56:*:*:*:*:android:*:*,brave,browser,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=brave%20browser,2026-04-01,2026-07-11,not in regen,brave-browser,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
