industry,use_case_id,use_case_label,use_case_icon,protocols,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs
Critical Infrastructure / Energy,energy-nuclear,Nuclear I&C and safeguards data,ShieldAlert,,RSA;ECDSA,,none,Nuclear safety-system digital I&C and safeguards data encryption fall under NRC 10 CFR 73.54 cybersecurity requirements; the cryptography is classical and long-lived.,,NRC Cybersecurity Requirements (10 CFR 73.54),https://www.ecfr.gov/current/title-10/chapter-I/part-73/section-73.54,nrc,threats/ENERGY-002.html,no,,0.85,2026-08-13,active,,,energy-utilities-pqc,,arXiv-2602-21524-Quantum-Attacks-Nuclear
Critical Infrastructure / Energy,energy-ami,Smart metering / AMI PKI,Gauge,x509,RSA;ECDSA;ECDH,,none,"Advanced metering infrastructure meshes, smart-meter PKI, and PMU authentication use device certificates that must survive multi-decade field deployments.",,University of Toronto Smart Grid Security Research,https://www.utoronto.ca/news/u-t-researcher-leads-effort-protect-power-utilities-quantum-attacks,gri,threats/ENERGY-003.html,no,,0.85,2026-07-29,active,,,energy-utilities-pqc,pki-workshop;pki-enrollment;cert-capacity,RFC 5280;RFC 9881;draft-ietf-lamps-pq-composite-kem-16
Critical Infrastructure / Energy,energy-pipeline,Pipeline & OT remote-access VPNs,Cable,ike-ipsec,RSA;ECDH,ML-KEM,pilot,Pipeline monitoring and OT remote access ride IPsec/IKEv2 VPNs where post-quantum key mixing (RFC 8784) and multiple key exchanges (RFC 9370) are already standardized.,,IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,iec,threats/ENERGY-004.html,no,,0.85,2026-07-29,active,,,energy-utilities-pqc,vpn-sim;sbx-vpn,IETF RFC 7296;RFC 8784;draft-wang-ipsecme-kem-auth-ikev2-03
Cross-Industry,cross-web-tls,Web & API TLS everywhere,Globe,tls-1-3;tls-1-2,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"TLS is the universal transport protection for web and API traffic in every sector; hybrid X25519+ML-KEM key establishment is deployed at internet scale, and NIST IR 8547 sets the classical deprecation trajectory.",RFC-8446;FIPS-203;NIST-IR-8547,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,tls-simulator;sbx-tls;sbx-browser-tls;sbx-ab-handshake-bench,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Cross-Industry,cross-pki,Enterprise PKI & X.509 certificates,KeyRound,x509;est-cmp,RSA;ECDSA,ML-DSA;SLH-DSA,draft,"X.509 certificate hierarchies (roots, intermediates, issuance protocols) run on RSA/ECDSA; ML-DSA and SLH-DSA certificate profiles are advancing through IETF LAMPS.",RFC-5280;FIPS-204;FIPS-205,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,pki-workshop;pki-enrollment;hybrid-certs;sbx-pki,RFC 5280;RFC 9881;RFC-9909
Cross-Industry,cross-email,Email security (S/MIME),Mail,smime,RSA;ECDSA;ECDH,ML-KEM;ML-DSA,draft,S/MIME signing and encryption use RSA/ECC via CMS; KEM-based CMS (RFC 9629) and composite ML-KEM/ML-DSA drafts define the migration path.,RFC-8551,"NIST IR 8547 (IPD, Nov 2024)",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CROSS-002.pdf,yes,NIST,0.85,2026-07-29,active,,,,email-signing;sbx-smime,RFC 8551;RFC-9936;RFC 9882
Cross-Industry,cross-code-signing,Software & code signing,FileSignature,sigstore,RSA;ECDSA,ML-DSA;SLH-DSA;LMS,pilot,"Code-signing roots, transparency logs, and firmware signing use RSA/ECDSA; hash-based signatures (LMS/SLH-DSA) and ML-DSA are the standardized replacements, with supply-chain frameworks (SLSA) raising the integrity bar.",FIPS-204;FIPS-205,SLSA Supply Chain Security Framework (OpenSSF),https://slsa.dev/spec/v1.0/levels,openssf,threats/IT-004.html,no,,0.85,2026-07-29,active,,,,firmware-signing;slh-dsa;lms-hss;sbx-osslsigncode,RFC 9882;NIST SP 800-208
Cross-Industry,cross-vpn,Remote-access & site-to-site VPN,Shield,ike-ipsec;wireguard,RSA;ECDH;X25519,ML-KEM,pilot,"Enterprise VPNs (IPsec/IKEv2, WireGuard) depend on classical key exchange; NIST SP 800-227 sets KEM usage recommendations and IKEv2 already has standardized post-quantum extensions.",NIST-SP-800-227;RFC-9370,NIST SP 800-227 Recommendations for KEMs,https://csrc.nist.gov/pubs/sp/800/227/final,nist-csrc,threats/CROSS-008.html,yes,NIST,0.85,2026-07-29,active,,,,vpn-sim;sbx-vpn,IETF RFC 7296;RFC 8784;RFC 9370;Rosenpass-Protocol
Cryptocurrency / Blockchain,crypto-tx-signing,Transaction signing (secp256k1),Bitcoin,,ECDSA,,none,Bitcoin and most chains sign transactions with secp256k1 ECDSA; P2PK outputs and any address whose public key is revealed on first spend are directly quantum-exposed.,,Federal Reserve HNDL Paper,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/CRYPTO-001.html,no,,0.85,2026-07-29,active,,,digital-assets,bitcoin-flow;hybrid-sigs,SEC2-v2
Cryptocurrency / Blockchain,crypto-custody,Exchange & custody key management,Wallet,pkcs11;kmip,ECDSA;RSA;ECDH,ML-KEM,none,Institutional custody stacks keep secp256k1 keys in HSMs with RSA/ECDH key wrapping; the Federal Reserve's HNDL analysis covers the RSA/ECDSA/ECDH exposure across blockchain infrastructure.,,Federal Reserve Board FEDS Paper September 2025,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/CRYPTO-003.html,no,,0.85,2026-07-29,active,,,digital-assets,hd-wallet;hsm-capacity;cacp-kmip,PKCS11-V32-OS-OASIS
Cryptocurrency / Blockchain,crypto-consensus,Validator & consensus signatures,Network,,ECDSA,ML-DSA,none,"Proof-of-stake consensus and account abstraction roadmaps (Ethereum) contemplate post-quantum signature migration, but BLS/ECDSA remain in production today.",,Ethereum Foundation roadmap (account abstraction track),https://ethereum.org/roadmap/account-abstraction/,eth-foundation,threats/CRYPTO-002.html,no,,0.85,2026-08-13,active,,,digital-assets,solana-flow;hybrid-sigs,BIP-340;FIPS 204
Education / Research,edu-sis,Student information systems & LMS,BookOpen,tls-1-3,RSA;ECDSA;ECDH,ML-KEM,production,Student records protected under FERPA ride TLS between SIS/LMS platforms and browsers; hybrid key establishment is available wherever the platform's TLS stack is current.,,FERPA / US Department of Education,https://studentprivacy.ed.gov/ferpa,us-doe-ed,threats/EDU-001.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,tls-simulator;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Education / Research,edu-federation,Identity federation (SAML/eduroam),Fingerprint,eap-radius;x509,RSA;ECDSA,,none,Research-and-education federations sign SAML metadata with RSA-4096 and authenticate eduroam via certificate-based EAP; no PQC profile is deployed in the federation trust fabric yet.,,Internet2 InCommon Federation / Jisc Trust and Identity,https://incommon.org/about,internet2,threats/EDU-002.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,cert-capacity;pki-workshop,RFC 5280;RFC 9881
Education / Research,edu-credentials,Digital diplomas & verifiable credentials,Award,jose;cose,ECDSA;RSA,ML-DSA,draft,W3C Verifiable Credentials envelope academic credentials in JOSE/COSE signatures (ECDSA/EdDSA/RSA-PSS); PQ/T composite signature drafts for JOSE/COSE define the upgrade path.,OpenID4VCI,W3C Verifiable Credentials Data Model 2.0,https://www.w3.org/TR/vc-data-model-2.0/,w3c,threats/EDU-003.html,no,,0.85,2026-07-29,active,,,research-quantum-impact,api-security-jwt;digital-id,RFC 7515;draft-ietf-jose-pqc-kem
Education / Research,edu-research-data,Research data protection (CUI),FlaskConical,tls-1-3;ssh,RSA;ECDSA;ECDH,ML-KEM,pilot,"Controlled unclassified research data falls under NIST SP 800-171 Rev. 3; repositories and HPC access paths (TLS, SSH) already have hybrid PQC options.",,NIST SP 800-171 Rev. 3 — Protecting Controlled Unclassified Information,https://csrc.nist.gov/pubs/sp/800/171/r3/final,nist-csrc,threats/EDU-004.pdf,yes,NIST,0.85,2026-07-29,active,,,research-quantum-impact,pqc-ssh-sim;sbx-ssh;tls-simulator,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Financial Services / Banking,fin-interbank,Interbank payments & settlement (SWIFT/RTGS),Banknote,x509;tls-1-2,RSA;ECDSA,ML-DSA,pilot,"SWIFTNet PKI, Fedwire, and Eurosystem T2 settlement authenticate with RSA certificates; BIS Project Leap has demonstrated quantum-safe interbank messaging end to end.",,Bank for International Settlements Project Leap Phase 2,https://www.bis.org/publ/othp107.htm,bis,threats/FIN-001.html,no,,0.85,2026-07-29,active,,,emv-payment-pqc,pki-workshop;tls-simulator;hybrid-certs,RFC 5280;RFC 9881
Financial Services / Banking,fin-customer,Digital banking channels,Smartphone,tls-1-3,RSA;ECDSA;ECDH;X25519,ML-KEM,production,Customer-facing banking apps and portals ride TLS where hybrid ML-KEM is production-ready; FS-ISAC urges coordinated migration timelines across the sector.,,FS-ISAC — The Timeline for Post Quantum Cryptographic Migration,https://www.fsisac.com/newsroom/fs-isac-urges-global-coordination-for-migration-to-post-quantum-cryptography-in-financial-services,fs-isac,threats/FIN-005.html,no,,0.85,2026-07-29,active,,,emv-payment-pqc,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Financial Services / Banking,fin-hsm,HSM key management & wrapping,KeyRound,pkcs11;kmip,RSA;ECDH,ML-KEM,draft,Payment and banking HSAM estates wrap working keys under RSA/ECDH; PCI DSS v4 key-management requirements meet PQC through PKCS#11 v3.2 mechanism support.,,PCI DSS v4.0.1,https://www.middlebury.edu/sites/default/files/2025-01/PCI-DSS-v4_0_1.pdf,pci-ssc,threats/FIN-004.pdf,yes,PCI Security Standards Council,0.85,2026-08-13,active,,,emv-payment-pqc,envelope-encrypt;hsm-capacity;cacp-kmip;sbx-hsm-perf-bench,PKCS11-V32-OS-OASIS;KMIP-V2-1-OASIS
Financial Services / Banking,fin-archives,Long-term records & HNDL exposure,Archive,tls-1-2,RSA;ECDH,ML-KEM,none,Archived financial records and recorded transport sessions are harvest-now-decrypt-later targets; the Federal Reserve's HNDL analysis quantifies the exposure window for the sector.,NIST-IR-8547,Federal Reserve Board FEDS Paper September 2025,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,federal-reserve,threats/FIN-002.html,no,,0.85,2026-08-13,active,,,emv-payment-pqc,envelope-encrypt;sbx-migration-impact,RFC 9151;FIPS 203
Government / Defense,gov-nss,National security systems (CNSA 2.0),Shield,tls-1-3;ike-ipsec;ssh,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;LMS;XMSS,pilot,"NSA CNSA 2.0 mandates ML-KEM-1024, ML-DSA-87, and hash-based firmware signing across national security systems, with non-compliant equipment phased out by the early 2030s.",CNSA-2.0;RFC-8603,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/GOV-001.pdf,yes,ISO,0.85,2026-07-29,active,,,government-defense-pqc,tls-simulator;vpn-sim;pqc-ssh-sim;lms-hss,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05;draft-ietf-tls-mldsa-04;draft-ietf-ipsecme-ikev2-pqc-auth-08;draft-ietf-tls-hybrid-design-16
Government / Defense,gov-fpki,Federal PKI & document signing,Landmark,x509;est-cmp,RSA;ECDSA,ML-DSA,draft,The US Federal PKI issues RSA-2048/4096 and ECDSA P-256/P-384 certificates government-wide; ML-DSA certificate profiles from IETF LAMPS are the designated successors.,RFC-5280;FIPS-204,Federal PKI Policy Authority,https://www.idmanagement.gov/fpki/,fpki,threats/GOV-004.html,no,,0.85,2026-07-29,active,,,government-defense-pqc,pki-workshop;pki-enrollment;sbx-pki,RFC 5280;RFC 9881
Government / Defense,gov-classified,Classified communications & NC3,Lock,ike-ipsec,ECDH;RSA,ML-KEM,pilot,Strategic and classified communication systems depend on public-key key establishment whose compromise horizon is measured in decades — the driving case for CNSA 2.0's timeline.,CNSA-2.0,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/GOV-005.pdf,yes,ISO,0.85,2026-08-13,active,,,government-defense-pqc,vpn-sim;sbx-vpn,RFC 8784;IETF RFC 7296;FIPS 203
Government / Defense,gov-procurement,COTS procurement & supply chain,Package,,,,draft,"CISA's product-category guidance tells agencies which COTS categories must land PQC support first, making procurement the enforcement point for federal migration.",,CISA Product Categories for PQC Technologies,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,cisa,threats/GOV-003.html,no,CISA,0.85,2026-07-29,active,,,government-defense-pqc,sbx-cbom-compliance;sbx-supply-chain-signing;sbx-migration-impact,
Healthcare / Pharmaceutical,hlth-ehr,EHR & health-information exchange,Stethoscope,tls-1-3;tls-1-2,RSA;ECDSA;ECDH,ML-KEM,pilot,Electronic health records and HIE transport are protected under the HIPAA Security Rule's encryption specifications; patient data's decades-long sensitivity makes HNDL a first-order risk.,,HHS HIPAA Security Rule,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/subpart-C,hhs,threats/HLTH-001.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,tls-simulator;sbx-tls;sbx-database-postgres,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05
Healthcare / Pharmaceutical,hlth-devices,Medical-device firmware & authentication,Activity,x509;cose,RSA;ECDSA,ML-DSA;LMS,draft,FDA premarket cybersecurity guidance requires secure update mechanisms for devices whose field lives exceed classical-crypto safety margins; hash-based and ML-DSA signing are the migration path.,,FDA Premarket Cybersecurity Guidance 2023,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-system-considerations-and-content-premarket-submissions,fda,threats/HLTH-003.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,firmware-signing;lms-hss;cert-capacity,RFC 5280;RFC 9881;RFC 9053
Healthcare / Pharmaceutical,hlth-implants,Implantable & wearable devices (BLE),Bluetooth,,ECDH,,none,Implantables and wearables use embedded ECC over Bluetooth LE with severe compute and battery constraints — among the hardest PQC retrofit cases in any sector.,,"FDA — DSCSA Standards for the Interoperable Exchange of Information for Tracing (Guidance for Industry, Sept 2023)",https://www.fda.gov/media/171796/download,fda,threats/HLTH-004.pdf,no,FDA,0.85,2026-07-29,active,,,healthcare-pqc,cert-capacity,BLE-Key-Negotiation-Downgrade-2020;BLE-Low-Entropy-Key-Negotiation-2019
Healthcare / Pharmaceutical,hlth-supply,Pharma supply chain (DSCSA/EPCIS),Pill,x509,RSA;ECDSA,,none,US DSCSA interoperability rests on EPCIS event signatures and manufacturer PKI for product verification; signatures anchoring provenance must remain verifiable for years.,,FDA Drug Supply Chain Security Act (DSCSA),https://www.fda.gov/drugs/drug-supply-chain-integrity/drug-supply-chain-security-act-dscsa,csa-cloud,threats/HLTH-005.html,no,,0.85,2026-07-29,active,,,healthcare-pqc,pki-workshop;sbx-supply-chain-signing,RFC 5280;RFC 9881
Hardware Security Modules,hsm-keygen,PQC key generation & side-channel hardening,Cpu,pkcs11,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;FN-DSA,pilot,HSMs generating ML-KEM/FN-DSA keys need fault and side-channel countermeasures that FIPS 140-3 physical-security requirements were not originally written for.,FIPS-206,NIST FIPS 140-3 Physical Security Requirements / IACR PQC fault attack research,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,nist-csrc,threats/HSM-001.pdf,yes,NIST,0.85,2026-08-13,active,,,hsm-pqc,hsm-capacity;entropy-test;sbx-hsm-perf-bench,FIPS 206;PKCS11-V32-OS-OASIS
Hardware Security Modules,hsm-api,PKCS#11 / KMIP interface migration,Plug,pkcs11;kmip,RSA;ECDSA;ECDH,ML-KEM;ML-DSA;SLH-DSA;LMS;XMSS,production,"PKCS#11 v3.2 (OASIS Standard) defines mechanisms for ML-KEM, ML-DSA, SLH-DSA, and stateful hash-based signatures — the API layer of the HSM migration is standardized.",PKCS11-3.2;KMIP-2.1,PKCS#11 v3.2 Specification / NIST SP 800-227,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/cs01/pkcs11-spec-v3.2-cs01.html,oasis,threats/HSM-002.html,yes,OASIS PKCS#11 Technical Committee,0.85,2026-08-13,active,,,hsm-pqc,cacp-kmip;token-migration;sbx-pqctoday-kmip,PKCS11-V32-OS-OASIS;KMIP-V2-1-OASIS
Hardware Security Modules,hsm-roots,Root-of-trust & firmware signing,ShieldCheck,tpm;uefi,RSA;ECDSA,ML-DSA;LMS,draft,"Device roots of trust (TPM, UEFI Secure Boot) verify firmware with RSA/ECDSA; hash-based signatures are the recommended first PQC step for firmware because of their conservative security case.",,NIST FIPS 140-3 Physical Security Requirements / IACR PQC fault attack research,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,nist-csrc,threats/HSM-001.pdf,yes,NIST,0.85,2026-08-13,active,,,hsm-pqc,tpm-playground;firmware-signing;lms-hss;sbx-tpm-pqc-migration,TCG-TPM-V185-Part1;UEFI-SPEC-2.10-SecureBoot;NIST SP 800-208
Internet of Things (IoT),iot-provisioning,Device identity & provisioning,QrCode,x509;tls-1-2,ECDSA;RSA,ML-DSA,none,IoT device identity rests on factory-provisioned ECDSA/RSA certificates in devices that often cannot be re-keyed after deployment; NIST SP 800-213 and NISTIR 8259A define the device cybersecurity capability baseline this migration runs through.,,NIST SP 800-213 + NISTIR 8259A,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-232.pdf,nist-csrc,threats/IOT-005.pdf,yes,NIST,0.85,2026-07-29,active,,,iot-ot-pqc,pki-enrollment;cert-capacity;sbx-stepca,RFC 9881;RFC 5280
Internet of Things (IoT),iot-industrial,Industrial IoT (OPC UA / IEC 62443),Factory,tls-1-2,RSA;ECDSA,,none,OPC UA security policies and IEC 62443 conformance anchor industrial device authentication on RSA/ECDSA with multi-decade plant lifecycles.,,IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,iec,threats/IOT-002.html,no,,0.85,2026-08-13,active,,,iot-ot-pqc,tls-simulator;sbx-iot-mqtt,RFC 9151
Internet of Things (IoT),iot-firmware,Firmware update signing (SUIT/COSE),Download,cose,ECDSA,ML-DSA;LMS,draft,IETF SUIT (RFC 9019/9124) defines the firmware-update architecture whose COSE signatures must move from ECDSA/EdDSA to PQC for constrained devices.,,IETF SUIT RFC 9019 + RFC 9124,https://www.rfc-editor.org/rfc/rfc9019.txt,ietf,threats/IOT-003.html,no,,0.85,2026-07-29,active,,,iot-ot-pqc,firmware-signing;lms-hss;sbx-firmware-hss,RFC 9052;draft-ietf-cose-falcon-04;RFC 9053
