id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
HIPAA,HIPAA,US health data privacy and security rule,62,US,no,No explicit PQC timeline yet,Healthcare data has long sensitivity periods — HNDL risk is significant.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa,compliance/HIPAA.html,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,,
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,51,PQC-REGION-GLOBAL,yes,2026-2028,"Mobile network operator PQC guidance from GSMA. Covers 5G and beyond. | 2026-07-13: original website URL (guessed slug /ng116/) was a real 404 (Yoast SEO confirmed ""Page not found""); GSMA NG.116/FS.40 are internal doc numbers, not a URL path. Corrected to GSMA's live PQC-documents index page, which covers PQ.03 (the library_refs target) and related docs.",GSMA,GSMA PQ.03 PQC Guidelines,International:GSMA,compliance_framework,https://www.gsma.com/solutions-and-impact/technologies/security/post-quantum-cryptography-documents/,compliance/GSMA-NG116.html,gsma,yes,GSMA,url_authoritative,85,cswp39:governance,51,active,,,gsma-pq-01; gsma-pq-02; gsma-pq-03; NIST,
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,51,PQC-REGION-EU,yes,Ongoing,ETSI specification for quantum-safe algorithms in telecom protocols.,ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,technical_standard,https://www.etsi.org/committee/cyber,compliance/ETSI-TS103744.html,etsi-cyber,yes,ETSI,url_authoritative,85,cswp39:governance,51,active,,,,
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,52,PQC-REGION-EU,expected,2025 (effective),Operational resilience requirements for EU financial entities (effective Jan 2025). DORA imposes no explicit PQC mandate; PQC is read into the Article 9 ICT-protection obligations (integrity/confidentiality) by interpretation.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en,compliance/DORA.html,eiopa,yes,EBA/ESMA/EIOPA,url_authoritative,85,cswp39:governance,52,active,,,,2026-07-16
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,52,PQC-REGION-GLOBAL,no,Annual,Annual security attestation required for SWIFT network participants.,SWIFT,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.swift.com/myswift/customer-security-programme,compliance/SWIFT-CSP.html,swift,yes,SWIFT,url_authoritative,85,cswp39:assurance;cswp39:governance,52,active,,,,
ISO-27001,ISO 27001,International information security management standard,52;54;62;51;22;92,PQC-REGION-GLOBAL,no,Ongoing,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,FIPS 203;FIPS 204;FIPS 205,International:ISO/IEC,technical_standard,https://www.iso.org/standard/27001,compliance/ISO-27001.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,cswp39:governance,52;54;62;51;22;92,active,,,,
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,54;52;62,US;CA,no,Ongoing,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,compliance/SOC-2.html,aicpa,yes,AICPA,url_authoritative,85,cswp39:assurance,54;52;62,active,,,,
GDPR,GDPR,EU General Data Protection Regulation,62;54;52;44;61,PQC-REGION-EU,no,Ongoing,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://eur-lex.europa.eu/eli/reg/2016/679/oj,compliance/GDPR.html,enisa,yes,EU DPAs,url_authoritative,85,cswp39:governance,62;54;52;44;61,active,,,,
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,62,US,no,Ongoing,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/special-topics/hitech-act-enforcement-interim-final-rule/index.html,compliance/HITECH.html,hhs,yes,HHS OCR,url_authoritative,85,cswp39:governance,62,active,,,HIPAA,
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,62,US,no,Ongoing,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application,compliance/FDA-21CFR11.html,fda,yes,FDA,url_authoritative,85,cswp39:assurance;cswp39:governance,62,active,,,,
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,92,US,expected,Ongoing (Rev 5 — PQC guidance expected),No direct FedRAMP PQC mandate today. Dependency chain: FIPS 203/204/205 (Aug 2024) → CMVP must validate PQC modules under FIPS 140-3 (no earlier than 2026-2027) → SP 800-53 updated with PQC controls → FedRAMP baselines incorporate. OMB post-FIPS guidance (statutorily due Aug 2025) not yet published. Realistic enforcement: 2027+. Mandate mechanism: indirect via NIST FIPS 140-3 / SP 800-53 chain.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026;EO-14306;GSA-PQC-Buyers-Guide-2025;NIST CSWP 39,United States:NIST,certification_body,https://www.fedramp.gov,compliance/FEDRAMP.html,cisa,yes,GSA/FedRAMP PMO,url_authoritative,85,cswp39:assurance;cswp39:governance,92,active,,,,
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,92,US,yes,Ongoing,Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.,DISA,NSA CNSA 2.0;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://public.cyber.mil/stigs/,,disa,yes,DISA,url_authoritative,85,cswp39:governance,92,active,,,,
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,92,US;PQC-REGION-EU;CA;CZ;AU,yes,Ongoing,Coalition partner interoperability requirements. PQC transition affects classified data exchange.,NATO,FIPS 203;FIPS 204;FIPS 205,NATO:NATO,compliance_framework,https://www.nato.int/cps/en/natohq/topics_78170.htm,compliance/NATO-4774.html,nato,yes,NATO,url_authoritative,85,cswp39:governance,92,active,,,,
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,48,PQC-REGION-GLOBAL,yes,Ongoing,Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.,ISO/SAE,IEEE 1609.2 Amendment,,technical_standard,https://www.iso.org/standard/70918.html,compliance/ISO-SAE-21434.html,iso-iec-sc27,yes,ISO/SAE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,UN-ECE-WP29; UNECE-WP29-R155; ISO-27001,
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,48,PQC-REGION-EU,yes,Ongoing,Type approval requires cybersecurity management systems and secure OTA update processes.,UNECE,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://unece.org/transport/vehicle-regulations,,unece,yes,UNECE,url_authoritative,85,cswp39:governance;cswp39:lifecycle,48,active,,,,
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,22,US;CA,yes,Ongoing,Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.,NERC,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,compliance_framework,https://www.nerc.com/globalassets/standards/reliability-standards/cip/cip-005-7.pdf,compliance/NERC-CIP.pdf,nerc,yes,NERC,url_authoritative,85,cswp39:assurance;cswp39:governance,22,active,,,,
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,22;48;48,PQC-REGION-GLOBAL,yes,Ongoing,Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.,IEC,IEC 62443;FIPS 203;FIPS 204,,technical_standard,https://www.iec.ch/iecnorex/,,iec,yes,IEC,url_authoritative,85,,22;48;48,deprecated,2026-07-16,"No valid evidence obtainable (iec.ch blocks automated fetching, HTTP 403) and no cswp39_tags — dropped per policy: keep only PQC-related rows with valid local_file evidence.",,
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,48,PQC-REGION-GLOBAL,yes,Ongoing,Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.,RTCA/EUROCAE,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org/products/do-326a-electronic/,compliance/DO-326A.html,rtca,yes,RTCA/EUROCAE,url_authoritative,85,cswp39:assurance,48,active,,,,
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,48,PQC-REGION-GLOBAL,yes,Ongoing,Supplement to DO-326A for operational phase. Covers cryptographic controls in service.,RTCA,FIPS 203;FIPS 204;FIPS 205,,technical_standard,https://www.rtca.org/products/do-355a-electronic/,compliance/RTCA-DO-355A.html,rtca,yes,RTCA,url_authoritative,85,cswp39:assurance,48,active,,,,
FERPA,FERPA,Family Educational Rights and Privacy Act,61,US,no,Ongoing,Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.,US Dept of Education,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://studentprivacy.ed.gov/ferpa,compliance/FERPA.html,omb,yes,US Dept of Education,url_authoritative,85,cswp39:governance,61,active,,,,
NIS2,NIS2 Directive,EU network and information security directive for essential and important entities,54;52;62;22;51;48,PQC-REGION-EU,expected,October 2024 (transposition passed — enforcement underway),"EU-wide cybersecurity baseline for essential and important entities; transposition due Oct 2024. NIS2 mandates 'state-of-the-art' cryptography but contains no explicit PQC mandate. The Commission's Jan 2026 proposal COM(2026) 13 would add an explicit PQC-transition policy requirement (not yet in force). Corrected 2026-07-22: an earlier deprecation-sweep pass flagged this row based on a bot-blocked fetch (HTTP 403 anti-bot page), not an actual dead resource -- NIS2 (EU Directive 2022/2555) is unambiguously still in force; reverted to active.",ENISA/EU Member States,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.enisa.europa.eu/topics/cybersecurity-policy/nis2-directive,,enisa,yes,ENISA/EU Member States,url_authoritative,85,cswp39:governance,54;52;62;22;51;48,active,,,,
COPPA,COPPA,US Children's Online Privacy Protection Act,61;54,US,no,Ongoing,Protects children under 13 online. PQC relevant for long-lived minor data and parental consent records.,FTC,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,compliance/COPPA.html,ftc,yes,FTC,url_authoritative,85,cswp39:governance,61;54,active,,,,
TISAX,TISAX,Trusted Information Security Assessment Exchange for automotive supply chain,48,PQC-REGION-EU,no,Ongoing,VDA-managed assessment for automotive suppliers. Covers information security including cryptographic controls.,VDA/ENX,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://portal.enx.com/en-US/TISAX/,compliance/TISAX.html,iso-iec-sc27,yes,VDA/ENX,url_authoritative,85,cswp39:assurance;cswp39:governance,48,active,,,,
MICA,MiCA,EU Markets in Crypto-Assets Regulation,52,PQC-REGION-EU,no,2024 (phased; fully effective Dec 30 2024),"EU regulation for crypto-asset service providers (cryptocurrencies and digital tokens). MiCA itself is not a cryptography standard, but security requirements for digital wallets and custody systems are indirectly affected by PQC migration. Stablecoin titles applied from June 30 2024; full regulation from December 30 2024.",ESMA/EBA,FIPS 203;FIPS 204;FIPS 205,European Union:EC;European Union:ECCG,compliance_framework,https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica,compliance/MICA.html,bis,yes,ESMA/EBA,url_authoritative,85,,52,deprecated,2026-07-16,"Own notes state ""MiCA itself is not a cryptography standard"" — PQC relevance is indirect/speculative (wallet/custody security), not a direct PQC framework.",,
TSA-PIPELINE,TSA Pipeline Security Directive,US TSA cybersecurity requirements for pipeline operators,22,US,yes,Ongoing,Mandatory cybersecurity measures for critical pipeline infrastructure. Covers encryption for SCADA/OT. As of May 2025 the in-force directive is SD Pipeline-2021-02F (supersedes SD02C); see TSA SD index for the current version.,TSA,FIPS 203;FIPS 204;FIPS 205,,compliance_framework,https://www.tsa.gov/sd-and-ea,compliance/TSA-PIPELINE.html,cisa,yes,TSA,url_authoritative,85,cswp39:governance,22,active,,,,
NIST-IR-8547,NIST IR 8547,NIST transition to post-quantum cryptography standards guidance,92;52;54;62;22;51;48,US;CA;AU,yes,"2030 (deprecate), 2035 (disallow)",Transition guidance recommending deprecation of 112-bit classical asymmetric algorithms by 2030 and disallowance by 2035. Initial Public Draft (Nov 2024); not yet finalized as of 2026.,NIST,NIST IR 8547;NIST CSWP 39,United States:NIST,technical_standard,https://csrc.nist.gov/pubs/ir/8547/ipd,compliance/NIST-IR-8547.html,nist-csrc,yes,NIST,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;52;54;62;22;51;48,active,,,,2026-07-16
ASD-ISM,ASD ISM,Australian Signals Directorate Information Security Manual,92;52;54,AU,yes,2030 (ISM-1917 effective — traditional crypto prohibited),"ISM control ISM-1917 requiring ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256. Full PQC transition by 2030.",ASD,AU-ASD-ISM-Crypto-2024,Australia:ASD,compliance_framework,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism,compliance/ASD-ISM.html,acsc,yes,ASD,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;52;54,active,,,,
CCCS-ITSM,CCCS ITSM.40.001,Canadian Centre for Cyber Security roadmap for PQC migration,92;52;54;22,CA,yes,2025 (effective June 23 2025),Roadmap for migration to PQC for Canadian government systems. CCCS guidance applies to all Canadian organizations including financial sector and critical infrastructure operators.,CCCS,Canada CSE PQC Guidance,Canada:CCCS,compliance_framework,https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017,compliance/CCCS-ITSM.html,cccs,yes,CCCS,url_authoritative,85,cswp39:governance;cswp39:inventory;cswp39:lifecycle,92;52;54;22,active,,,NIST; IETF; CCCS-ITSAP40018,
EU-REC-2024-1101,EU Recommendation 2024/1101,European Commission coordinated PQC implementation roadmap,92;54;52,PQC-REGION-EU,yes,2030 (critical systems),Coordinated implementation roadmap for PQC transition across EU member states. NIS Cooperation Group Roadmap v1.1 (June 2025) provides harmonized timelines and cross-border coordination.,European Commission,EU PQC Recommendation;ENISA PQC Guidelines;EU-NIS-CG-Roadmap-v1.1;EC-Recommendation-2024-1101,European Union:EC,compliance_framework,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024H1101,compliance/EU-REC-2024-1101.html,ec,yes,European Commission,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;54;52,active,,,ENISA; NIS2,
BSI-TR-02102,BSI TR-02102,"German BSI technical guideline for cryptographic mechanisms, TLS, IPsec, SSH",92;54,DE,yes,Ongoing (v2026-01 update),BSI technical guideline series covering PQC recommendations including ML-KEM and ML-DSA. v2026-01 recommends hybrid PQC now; classical-only Diffie-Hellman key agreement recommended only until end of 2031.,BSI,BSI TR-02102-1;BSI TR-02102-2;BSI TR-02102-3;BSI TR-02102-4,Germany:BSI,technical_standard,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-sortiert/tr02102/tr02102_node.html,compliance/BSI-TR-02102.html,bsi,yes,BSI,url_authoritative,85,cswp39:governance;cswp39:lifecycle,92;54,active,,,,
UK-NCSC,UK NCSC PQC Guidance,UK National Cyber Security Centre quantum-safe cryptography guidance,92;54;52,GB,yes,2028 (Phase 1: migration plans due); 2031 (Phase 2: high-priority systems); 2035 (Phase 3: full migration),Three-phase roadmap: Phase 1 (now-2028): identify cryptographic services and have migration plans approved — NOT a migration cutover deadline; Phase 2 (2028-2031) execute high-priority upgrades; Phase 3 (2031-2035) complete full migration to PQC across all systems.,NCSC,UK NCSC PQC Guidance;UK-NCSC-PQC-Whitepaper-2024;UK-NCSC-Migration-Timelines-2025,United Kingdom:NCSC,compliance_framework,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,compliance/UK-NCSC.html,ncsc-uk,yes,NCSC,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory;cswp39:lifecycle;cswp39:observability,92;54;52,active,,,FIPS-203; FIPS-204; FIPS-205; NIST-SP800-208; ACVP; IETF; RFC 9794,
CRYPTREC,CRYPTREC,Japan Cryptography Research and Evaluation Committees PQC guidelines,92;54,JP,yes,Ongoing (GL-2007-2024),"Current PQC guideline: CRYPTREC GL-2007-2024 (FY2024 edition, supersedes GL-2004-2022 from FY2022). PDF: cryptrec.go.jp/report/cryptrec-gl-2007-2024.pdf. ML-KEM added to Recommended Ciphers List on 2026-03-30.",CRYPTREC,Japan CRYPTREC Report 2024,Japan:CRYPTREC,compliance_framework,https://www.cryptrec.go.jp/en/,compliance/CRYPTREC.html,cryptrec,yes,CRYPTREC,url_authoritative,85,cswp39:governance,92;54,active,,,,
MAS-CIRCULAR,MAS Circular,Monetary Authority of Singapore financial services PQC advisory,52,SG,yes,Ongoing (February 2024),"MAS Circular No. MAS/TCRS/2024/01 (Feb 2024) — Advisory on Addressing the Cybersecurity Risks Associated with Quantum. Recommends inventory, vendor coordination, considering both PQC and QKD. Called an advisory by MAS; no hard migration dates set.",MAS,Singapore-CSA-Quantum-Safe-Handbook,Singapore:MAS,compliance_framework,https://www.mas.gov.sg/regulation/circulars/advisory-on-addressing-the-cybersecurity-risks-associated-with-quantum,compliance/MAS-CIRCULAR.html,csa-singapore,yes,MAS,url_authoritative,85,cswp39:governance;cswp39:inventory,52,active,,,,
KPQC-STD,KpqC Standardization,Korea Post-Quantum Cryptography standardization program with national PQC transition roadmap,92;51;52;54,KR,guidance,No regulatory migration deadline issued,"KpqC is a Korean PQC competition (winners HAETAE / AIMer / SMAUG-T / NTRU+ announced Jan 2025), not a migration mandate. MSIT 2030 target is PQC algorithm self-reliance (development capacity); MSIT 2035 target is broader quantum-industry leadership; neither sets enterprise migration deadlines.",KISA/NIS/MSIT,FIPS 203;FIPS 204;FIPS 205,South Korea:NIS/KISA;South Korea:MSIT,standardization_body,https://kpqc.or.kr,compliance/KPQC-STD.html,kisa,yes,KISA/NIS/MSIT,url_authoritative,85,cswp39:governance,92;51;52;54,active,,,,
KCMVP,KCMVP,Korean Cryptographic Module Validation Program for government systems,92;52;54,KR,no,Ongoing,Mandatory module validation for Korean government. PQC algorithm integration expected after KpqC standardization completes (~2027-2028).,NIS,FIPS 203;FIPS 204;FIPS 205,South Korea:NIS/KISA,certification_body,https://www.nis.go.kr,,nist-csrc,yes,NIS,url_authoritative,85,cswp39:assurance,92;52;54,active,,,,
NZISM,NZISM,New Zealand Information Security Manual with PQC preparation requirements,92;54,NZ,yes,2026-2030 (phased transition),NZISM v3.9 (Nov 2025) Section 2.4 on PQC preparation. 19 agencies implementing. Aligned with Five Eyes.,GCSB/NCSC,FIPS 203;FIPS 204;FIPS 205,New Zealand:GCSB/NCSC,compliance_framework,https://www.gcsb.govt.nz/our-work/ncsc/nzism/,,ncsc-uk,yes,GCSB/NCSC,url_authoritative,85,cswp39:governance,92;54,active,,,,
