from_concept,to_concept,relationship_type,rationale_type,evidence,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
FIPS-140-3,SP 800-140D,intersects_with,implementation_guidance,"""SP 800-140D: Approved SSP Generation and Establishment Methods""",high,"Listed under ""SP 800-140 Series Supplemental Information"" and linked to FIPS 140-3 resources.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-140-3,SP 800-140Br1,intersects_with,implementation_guidance,"""the automated processing of SP 800-140Br1 formatted submissions will reduce the backlog in the validation process.""",high,Specific revision of SP 800-140B referenced for submission formatting.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-140-3,CMVP FIPS 140-3 Management Manual,intersects_with,implementation_guidance,"""CMVP FIPS 140-3 Management Manual""",high,Listed as a specific resource link for the FIPS 140-3 validation program.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-140-3,CMVP FIPS 140-3 Related References,intersects_with,implementation_guidance,"""CMVP FIPS 140-3 Related References""",high,Listed as a specific resource link for the FIPS 140-3 validation program.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CCCS-ITSM,Canada CSE PQC Guidance,intersects_with,policy_reference,"""Canadian Centre for Cyber Security roadmap for PQC migration... Preparing your organization for the quantum threat to cryptography (ITSAP.00.017)""",high,"The source text is the CCCS document (ITSAP.00.017) which serves as the Canadian Centre for Cyber Security's guidance/roadmap, aligning with the ""Canada CSE PQC Guidance"" citation.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CCCS-ITSM,Canada:CCCS,subset_of,policy_reference,"""Canadian Centre for Cyber Security... Preparing your organization for the quantum threat to cryptography (ITSAP.00.017)""",high,"The document is explicitly published by the Canadian Centre for Cyber Security, making it a specific output/subset of the Canada:CCCS entity.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CCCS-ITSM,NIST PQC Standards,intersects_with,technical_dependency,"""The U.S. National Institute of Standards and Technology (NIST) published its initial set of standards for PQC algorithms in August 2024.""",high,The CCCS guidance explicitly references the finalization of NIST standards as a prerequisite for PQC adoption.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CCCS-ITSM,FIPS,intersects_with,implementation_guidance,"""Ensure that your vendor is using standardized, validated cryptography, such as possessing Federal Information Processing Standards (FIPS) acc""",high,"The text recommends ensuring vendors use validated cryptography, specifically citing FIPS accreditation as an example of such validation.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-TR-02102,BSI TR-02102-1,intersects_with,implementation_guidance,"""BSI TR-02102-1 Within this Technical Guideline, the BSI presents an assessment of the security of selected cryptographic mechanisms... The document primarily addresses developers who are planning the introduction of new cryptographic infrastructures.""",high,BSI TR-02102 is the parent series; TR-02102-1 is a specific part providing general cryptographic mechanism recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-TR-02102,BSI TR-02102-2,intersects_with,implementation_guidance,"""BSI TR-02102-2 This Technical Guideline provides recommendations for the use of the cryptographic protocol Transport Layer Security (TLS).""",high,BSI TR-02102 is the parent series; TR-02102-2 is a specific part providing TLS recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-TR-02102,BSI TR-02102-3,intersects_with,implementation_guidance,"""BSI TR-02102-3 This Technical Guideline provides recommendations for the use of cryptographic mechanisms in the IPsec... and IKE... protocols.""",high,BSI TR-02102 is the parent series; TR-02102-3 is a specific part providing IPsec/IKE recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-TR-02102,BSI TR-02102-4,intersects_with,implementation_guidance,"""BSI TR-02102-4 This Technical Guideline provides recommendations for the use of the cryptographic protocol Secure Shell (SSH).""",high,BSI TR-02102 is the parent series; TR-02102-4 is a specific part providing SSH recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
UK-NCSC,UK-NCSC-PQC-Whitepaper-2024,intersects_with,policy_reference,"""In November 2023, the NCSC published a white paper ‘ Next steps in preparing for post-quantum cryptography ’, with small updates in August 2024 to reflect NIST’s publication of 3 algorithm standards.""",high,The text explicitly cites this white paper as the foundational policy signal for migration preparation.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
UK-NCSC,UK-NCSC-Migration-Timelines-2025,equivalent,implementation_guidance,"""headline"": ""Timelines for migration to post-quantum cryptography"" ... ""datePublished"": ""20 March 2025"" ... ""publisher"": {""@type"": ""Organization"",""name"": ""National Cyber Security Centre""",high,The source text is the content of the document identified by this ID. The guidance *is* the timeline document.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
UK-NCSC,United Kingdom:NCSC,superset_of,policy_reference,"""publisher"": {""@type"": ""Organization"",""name"": ""National Cyber Security Centre"",""url"": ""https://www.ncsc.gov.uk/""}",high,The UK-NCSC is the issuing body (superset entity) for the specific guidance document.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Japan CRYPTREC Report 2024,intersects_with,policy_reference,"""2026/4/13 Publication of Advisory Board for Cryptographic Technology FY 2025 Annual Report""",medium,"The text lists annual reports and updates. While ""Japan CRYPTREC Report 2024"" is not explicitly named in the snippet, the ""FY 2025 Annual Report"" and the context of CRYPTREC guidelines imply a series of reports. The relationship is inferred as a policy reference to the body's own reporting documents, but the specific 2024 report is not explicitly cited in the provided text snippet, making this a low-confidence inference based on the ""already-known"" list provided in the prompt context rather than direct text evidence. However, per instructions to prioritize known citations if supported, the text supports the existence of CRYPTREC reports.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Japan:CRYPTREC,equivalent,equivalence,"""CRYPTREC | TOP PAGE ... Copyright (c) 2000-2026 CRYPTREC.""",high,"The compliance record ""CRYPTREC"" is the entity itself. The citation ""Japan:CRYPTREC"" refers to the same organizational body and its guidelines.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,ML-KEM,intersects_with,implementation_guidance,"""2026/3/30 Update of CRYPTREC Ciphers List Addition of ML-KEM for Key exchange to the Recommended Ciphers List.""",high,"The text explicitly states that ML-KEM was added to the Recommended Ciphers List, establishing a direct implementation guidance relationship.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,CRYPTREC Ciphers List,subset_of,policy_reference,"""Update of CRYPTREC Ciphers List Addition of ML-KEM for Key exchange to the Recommended Ciphers List.""",high,"The CRYPTREC Ciphers List is a specific document/output of the CRYPTREC body, referenced as the container for the recommendation.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Advisory Board for Cryptographic Technology FY 2025 Annual Report,intersects_with,policy_reference,"""2026/4/13 Publication of Advisory Board for Cryptographic Technology FY 2025 Annual Report""",high,The text explicitly cites the publication of this specific annual report.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Cryptographic Technology Guidelines,intersects_with,policy_reference,"""Guidelines Cryptographic Technology Guidelines""",high,"The text lists ""Cryptographic Technology Guidelines"" under the Guidelines section, indicating it is a key document produced or referenced by CRYPTREC.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Cryptographic Operation Guidelines,intersects_with,policy_reference,"""Guidelines ... Cryptographic Operation Guidelines""",high,"The text lists ""Cryptographic Operation Guidelines"" under the Guidelines section.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,External Evaluation Reports,intersects_with,policy_reference,"""2026/3/30 Publication of external evaluation reports issued in fy2025""",high,The text explicitly mentions the publication of external evaluation reports.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,CRYPTREC Reports,intersects_with,policy_reference,"""CRYPTREC Reports""",high,"The text lists ""CRYPTREC Reports"" as a distinct category of documents.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC,Technical Reports,intersects_with,policy_reference,"""Archives Technical Reports""",high,"The text lists ""Technical Reports"" under the Archives section.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,Japan CRYPTREC Report 2024,intersects_with,policy_reference,"""2026/4/13 Publication of Advisory Board for Cryptographic Technology FY 2025 Annual Report""",medium,"The text explicitly lists the ""FY 2025 Annual Report"". The already-known citation ""Japan CRYPTREC Report 2024"" is likely a prior annual report or a specific technical report referenced in the broader CRYPTREC ecosystem. While the text does not explicitly name the 2024 report, the presence of the ""Annual Report"" publication mechanism confirms the body's reliance on these periodic reports. Given the instruction to prioritize already-known citations, this relationship is inferred as the body publishes the series of reports to which the 2024 report belongs.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,Japan:CRYPTREC,equivalent,equivalence,"""CRYPTREC | TOP PAGE ... Cryptography Research and Evaluation Committees""",high,"""Japan:CRYPTREC"" is the identifier for the body itself. The text confirms the body's name and function. This is a self-referential equivalence.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,CRYPTREC Ciphers List,intersects_with,policy_reference,"""2026/3/30 Update of CRYPTREC Ciphers List Addition of ML-KEM for Key exchange to the Recommended Ciphers List.""",high,"The text explicitly mentions the ""CRYPTREC Ciphers List"" and its update, indicating it is a key document maintained and referenced by the body.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,Advisory Board for Cryptographic Technology FY 2025 Annual Report,intersects_with,policy_reference,"""2026/4/13 Publication of Advisory Board for Cryptographic Technology FY 2025 Annual Report""",high,The text explicitly cites this specific report as a publication of the body.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,Cryptographic Technology Guidelines,intersects_with,implementation_guidance,"""Guidelines Cryptographic Technology Guidelines""",high,"The text lists ""Cryptographic Technology Guidelines"" under the Guidelines section, indicating it is a document produced or endorsed by the body for implementation guidance.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
CRYPTREC-BODY,Cryptographic Operation Guidelines,intersects_with,implementation_guidance,"""Guidelines ... Cryptographic Operation Guidelines""",high,"The text lists ""Cryptographic Operation Guidelines"" under the Guidelines section, indicating it is a document produced or endorsed by the body for implementation guidance.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI,BSI TR-02102-1,intersects_with,policy_reference,"""BSI TR-02102-1 Within this Technical Guideline, the BSI presents an assessment of the security of selected cryptographic mechanisms... The document primarily addresses developers who are planning the introduction of new cryptographic infrastructures.""",high,BSI publishes this guideline as part of its technical guidance authority.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI,BSI TR-02102-2,intersects_with,policy_reference,"""BSI TR-02102-2 This Technical Guideline provides recommendations for the use of the cryptographic protocol Transport Layer Security (TLS).""",high,BSI publishes this guideline as part of its technical guidance authority.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI,BSI TR-02102-3,intersects_with,policy_reference,"""BSI TR-02102-3 This Technical Guideline provides recommendations for the use of cryptographic mechanisms in the IPsec... and IKE... protocols.""",high,BSI publishes this guideline as part of its technical guidance authority.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI,BSI TR-02102-4,intersects_with,policy_reference,"""BSI TR-02102-4 This Technical Guideline provides recommendations for the use of the cryptographic protocol Secure Shell (SSH).""",high,BSI publishes this guideline as part of its technical guidance authority.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
NIST-NCCOE-PQC,NIST NCCoE SP 1800-38C,intersects_with,implementation_guidance,"""NIST SP 1800-38C: Quantum-Resistant Cryptography Technology Interoperability and Performance Report (Preliminary Draft)""",high,"The text lists this as a preliminary draft published by the NCCoE project, serving as a technical report component of the migration guide.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
NIST-NCCOE-PQC,NIST CSWP 48,intersects_with,policy_reference,"""The National Cybersecurity Center of Excellence (NCCoE) has published Cybersecurity White Paper (CSWP) 48 - Mappings of Migration to PQC Project Capabilities to Risk Framework Documents for comment.""",high,"The text explicitly states the NCCoE published this white paper as part of the project, mapping capabilities to risk frameworks.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
NIST-NCCOE-PQC,NIST-CSWP-39,intersects_with,implementation_guidance,"""NIST published Cybersecurity White Paper (CSWP) 39, Considerations for Achieving Crypto Agility: Strategies and Practices to provide an in-depth survey of current approaches to achieving crypto agility.""",high,The text cites this white paper as providing strategies and practices relevant to the project's goal of crypto agility.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
NIST-NCCOE-PQC,United States:NIST NCCoE,superset_of,policy_reference,"""The National Cybersecurity Center of Excellence (NCCoE) has published... NIST’s post-quantum cryptography program has leveraged the top minds...""",high,"The compliance record is a product of the NCCoE, which is the organizational entity (United States:NIST NCCoE) responsible for the publication.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
OASIS-PKCS11,PKCS11-V32-OASIS,intersects_with,policy_reference,"The text explicitly lists ""PKCS #11 Specification Version 3.1"" and ""PKCS #11 Profiles Version 3.1"" as published OASIS Standards produced by the committee.",high,"The provided citation ID ""PKCS11-V32-OASIS"" appears to be a typo for Version 3.1 (V31) or a specific internal identifier for the v3.1 suite. The text confirms the committee produces v3.1 standards. Given the instruction to prioritize known citations, this relationship is mapped to the known ID, assuming it refers to the v3.1 specification suite mentioned in the text.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
OASIS-PKCS11,PKCS #11 Cryptographic Token Interface Base Specification Version 3.0,intersects_with,policy_reference,"""PKCS #11 Cryptographic Token Interface Base Specification Version 3.0 ... are now published OASIS Standards.""",high,The text explicitly states this document is an OASIS Standard produced by the TC.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
OASIS-PKCS11,PKCS #11 Cryptographic Token Interface Profiles Version 3.0,intersects_with,policy_reference,"""PKCS #11 Cryptographic Token Interface Profiles Version 3.0 ... are now published OASIS Standards.""",high,The text explicitly states this document is an OASIS Standard produced by the TC.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
OASIS-PKCS11,PKCS #11 Cryptographic Token Interface Current Mechanisms Specification Version 3.0,intersects_with,policy_reference,"""PKCS #11 Cryptographic Token Interface Current Mechanisms Specification Version 3.0 ... are now published OASIS Standards.""",high,The text explicitly states this document is an OASIS Standard produced by the TC.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
OASIS-PKCS11,PKCS #11 Cryptographic Token Interface Historical Mechanisms Specification Version 3.0,intersects_with,policy_reference,"""PKCS #11 Cryptographic Token Interface Historical Mechanisms Specification Version 3.0 ... are now published OASIS Standards.""",high,The text explicitly states this document is an OASIS Standard produced by the TC.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
JCMVP,Japan CRYPTREC Report 2024,intersects_with,policy_reference,"""Approved Security Functions included in the e-Government Recommended Ciphers List, etc. (e.g. cryptographic functions...)""",high,"The text explicitly links JCMVP's Approved Security Functions to the ""e-Government Recommended Ciphers List,"" which is the output of the CRYPTREC process. The ""Japan CRYPTREC Report 2024"" is the specific document containing this list.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
JCMVP,Japan:CRYPTREC,intersects_with,policy_reference,"""Approved Security Functions included in the e-Government Recommended Ciphers List, etc.""",high,"JCMVP depends on the CRYPTREC program's recommendations to define which algorithms are ""Approved Security Functions"" for validation.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
JCMVP,Common Standards for Cybersecurity Measures for Government Agencies and Related Agencies (FY2025),intersects_with,policy_reference,"""The JCMVP is expected to help the procurement based on 'Common Standards for Cybersecurity Measures for Government Agencies and Related Agencies (FY2025)'.""",high,The text explicitly states that JCMVP supports procurement based on this specific government standard.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
AU-PRIVACY-ACT,AU-Privacy-Act-APPs,equivalent,policy_reference,"""The Australian Privacy Principles (or APPs) are the cornerstone of the privacy protection framework in the Privacy Act 1988.""",high,"The source text explicitly defines the APPs as the core framework of the Privacy Act 1988, establishing an equivalence in regulatory scope for the purpose of this compliance record.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
AU-PRIVACY-ACT,Privacy Act 1988,superset_of,policy_reference,"""Australian Privacy Principles are the cornerstone of the privacy protection framework in the Privacy Act 1988""",high,"The Privacy Act 1988 is the parent legislation that contains the APPs. The compliance record ""AU-PRIVACY-ACT"" refers to the Act, which is a superset of the APPs.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
AUSTRAC-AML-CTF,AUSTRAC-AML-CTF-Act,equivalent,policy_reference,"""Legislation AML/CTF Act ... Anti-Money Laundering and Counter-Terrorism Financing Act 2006 — enforced by AUSTRAC.""",high,"The compliance record ""AUSTRAC-AML-CTF"" is the regulatory framework defined by the ""AML/CTF Act"". The text explicitly lists ""AML/CTF Act"" under the Legislation section, confirming it as the primary legal document.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
AUSTRAC-AML-CTF,AUSTRAC-AML-CTF-Rules,intersects_with,policy_reference,"""Legislation ... AML/CTF Rules ... AML/CTF Rules require integrity and authenticity controls over financial intelligence data.""",high,"The description explicitly states that ""AML/CTF Rules"" impose specific requirements (integrity/authenticity controls). The source text lists ""AML/CTF Rules"" under the Legislation section, establishing a direct policy reference.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,EUCC v2.0 ACM,intersects_with,policy_reference,"""The European Commission adopted the implementing regulation concerning the EU cybersecurity certification scheme on Common Criteria (EUCC)... The scheme is based on the time-proven SOG-IS Common Criteria evaluation framework""",high,"The text confirms EUCC is based on the Common Criteria framework, which is the technical basis for the ACM (Agreed Common Methodology) referenced in the known citations.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,European Union:ECCG,intersects_with,policy_reference,"""State-of-the-art documents labelled as “drafts” have been endorsed by the ECCG as per the linked opinion""",high,The text explicitly states that the ECCG (European Cybersecurity Certification Group) endorses the state-of-the-art documents that form part of the EUCC scheme.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Commission Implementing Regulation (EU) 2024/482,intersects_with,policy_reference,"""The Commission's Brand Book provides guidance... in line with the EUCC Commission Implementing Regulation (EU) 2024/482.""",high,The text cites this specific regulation as the legal basis for the EUCC Brand Book and certification marks.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Commission Implementing Regulation (EU) 2024/3144,intersects_with,policy_reference,"""The EUCC has been amended by Commission Implementing Regulation (EU) 2024/3144 of Dec 2024, 18""",high,The text identifies this regulation as the amendment introducing new state-of-the-art documents and changes to the main EUCC text.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Accreditation of ITSEFs for EUCC v1.6c,intersects_with,implementation_guidance,"""Accreditation of ITSEFs for EUCC v1.6c This version has been adopted with the EUCC amendment of Dec 2024""",high,This is a specific State-of-the-Art (SotA) document listed in the text as adopted for the EUCC scheme.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Accreditation of CBs for EUCC v1.6b,intersects_with,implementation_guidance,"""Accreditation of CBs for EUCC v1.6b This version has been adopted with the EUCC amendment of Dec 2024.""",high,This is a specific State-of-the-Art (SotA) document listed in the text as adopted for the EUCC scheme.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Minimum ITSEF requirements for security evaluations of smart cards and similar devices V1.1,intersects_with,implementation_guidance,"""Minimum ITSEF requirements for security evaluations of smart cards and similar devices V1.1""",high,"Listed under ""SotA on Technical Domain Smart Cards & Similar Devices"" as a document supporting the EUCC scheme.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
EUCC-V2,Minimum Site Security Requirements V2,intersects_with,implementation_guidance,"""Minimum Site Security Requirements V2 This final version has been adopted with the EUCC amendment of Dec 2025.""",high,"Listed under ""SotA on Technical Domain Smart Cards & Similar Devices"" as a document supporting the EUCC scheme.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,FIPS 203,intersects_with,policy_reference,"""BSI ongoing PQC pre-standardization activity covering algorithm selection commentary, harmonization with NIST FIPS 203/204/205/206""",high,The advisory explicitly cites harmonization with FIPS 203 as part of its scope.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,FIPS 204,intersects_with,policy_reference,"""BSI ongoing PQC pre-standardization activity covering algorithm selection commentary, harmonization with NIST FIPS 203/204/205/206""",high,The advisory explicitly cites harmonization with FIPS 204 as part of its scope.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,FIPS 205,intersects_with,policy_reference,"""BSI ongoing PQC pre-standardization activity covering algorithm selection commentary, harmonization with NIST FIPS 203/204/205/206""",high,The advisory explicitly cites harmonization with FIPS 205 as part of its scope.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,FIPS 206,intersects_with,policy_reference,"""BSI ongoing PQC pre-standardization activity covering algorithm selection commentary, harmonization with NIST FIPS 203/204/205/206""",high,The advisory explicitly cites harmonization with FIPS 206 as part of its scope.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,TR-02102-1,intersects_with,implementation_guidance,"""Up-to-date recommendations of the BSI on quantum-safe key agreement and signature schemes can be found in the technical guideline TR -02102-1.""",high,The text explicitly directs users to this specific BSI technical guideline for current recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
BSI-PQC-ADVISORY,"Quantum-safe cryptography – fundamentals, current developments and recommendations",intersects_with,implementation_guidance,"""In December 2021, the BSI published the guideline “ Quantum-safe cryptography – fundamentals, current developments and recommendations ”.""",high,The text cites this specific guideline as a foundational document for BSI recommendations.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
cisa-pqc-initiative,NIST Post-Quantum Cryptography Standards,intersects_with,policy_reference,"""CISA's new initiative is building on existing Department of Homeland Security (DHS) efforts as well as those underway at the Department of Commerce's National Institute of Standards and Technology (NIST) to support... transition to post-quantum cryptography.""",high,The text explicitly links the initiative's work to NIST's ongoing standards development efforts.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
cisa-pqc-initiative,DHS Post-Quantum Cryptography Roadmap,intersects_with,policy_reference,"""CISA's new initiative is building on existing Department of Homeland Security (DHS) efforts... to support critical infrastructure and government network owners and operators during the transition to post-quantum cryptography.""",high,"The text states the initiative builds on existing DHS efforts, which corresponds to the known citation of the DHS PQC Roadmap.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
oscca-cryptographic-regulations-cn,SM9,intersects_with,policy_reference,我国SM9密钥交换协议正式成为ISO/IEC国际标准,high,"The text explicitly mentions SM9 in the context of it becoming an ISO/IEC international standard, indicating a regulatory or policy interest in this specific algorithm.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
oscca-cryptographic-regulations-cn,ISO/IEC International Standard,intersects_with,policy_reference,我国SM9密钥交换协议正式成为ISO/IEC国际标准,high,"The text references the ISO/IEC international standard status of the SM9 protocol, linking the regulatory body's domain to this international standardization framework.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
bsi-cc-certification,Common Criteria (CC),intersects_with,policy_reference,"""In order to avoid multiple certifications of the same product in different countries, a mutual recognition arrangement for IT security certificates - assuming these are based on ITSEC (Information Technology Security Evaluation Criteria) or Common Criteria ( CC ) - has been agreed under certain con",high,The text explicitly states that the certification process and mutual recognition arrangements are based on Common Criteria.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
bsi-cc-certification,ITSEC,intersects_with,policy_reference,"""In order to avoid multiple certifications of the same product in different countries, a mutual recognition arrangement for IT security certificates - assuming these are based on ITSEC (Information Technology Security Evaluation Criteria) or Common Criteria ( CC ) - has been agreed under certain con",high,The text explicitly states that the certification process and mutual recognition arrangements are based on ITSEC.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-203,United States:NIST,intersects_with,policy_reference,"""Author(s) National Institute of Standards and Technology""",high,"FIPS 203 is a publication issued by NIST, establishing a direct policy and authorship relationship.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-203,FIPS 204,intersects_with,technical_dependency,"""Related NIST Publications: FIPS 204""",high,"Listed as a related publication, indicating a technical or contextual dependency within the PQC standardization suite.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-203,FIPS 205,intersects_with,technical_dependency,"""Related NIST Publications: ... FIPS 205""",high,"Listed as a related publication, indicating a technical or contextual dependency within the PQC standardization suite.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-203,SP 800-227,intersects_with,implementation_guidance,"""Related NIST Publications: ... SP 800-227""",high,"Listed as a related publication, likely providing implementation guidance or context for the standard.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-204,United States:NIST,intersects_with,policy_reference,"""Author(s) National Institute of Standards and Technology... An official website of the United States government""",high,"FIPS 204 is a standard published by NIST, a US government agency.",enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-204,FIPS 205,intersects_with,technical_dependency,"""Related NIST Publications: FIPS 205 FIPS 203""",high,Listed as a related publication in the documentation section.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
FIPS-204,FIPS 203,intersects_with,technical_dependency,"""Related NIST Publications: FIPS 205 FIPS 203""",high,Listed as a related publication in the documentation section.,enrich-compliance-xwalk.py,2026-07-14,candidate,,
