industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,applicable_industries_normalized,status,deprecated_at,deprecated_reason,related_standards
Government / Defense,GOV-003,"Federal PQC procurement guidance: CISA January 2026 federal buying guidance pursuant to Executive Order 14306 (June 2025) recommends agencies procure quantum-resistant technology across designated product categories including cloud services, collaboration tools, web browsers/servers, and endpoint security. Note: EO 14306 removed the original procurement mandate but CISA's product categories list strongly encourages PQC-capable acquisitions.",High,"COTS products, federal IT infrastructure, defense systems","NIST FIPS 203/204/205 compliance, ACVP testing, vendor PQC roadmaps",CISA Product Categories for PQC Technologies,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,85,compliance-strategy|vendor-risk|pqc-governance,cisa,public/threats/GOV-003.html,no,CISA,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,
Government / Defense,GOV-004,"Federal PKI signature forgery risk: Quantum-enabled impersonation of federal systems and fraudulent certificate issuance affecting government-wide trust infrastructure. The Federal PKI serves as the root of trust for digital identity across federal agencies, and quantum forgery of CA certificates would compromise the entire federal trust hierarchy.",High,"RSA-2048/4096 in Federal PKI, ECDSA P-256/P-384 intermediate certificates","ML-DSA-87, SLH-DSA, hybrid X.509 certificates",Federal PKI Policy Authority,https://www.idmanagement.gov/fpki/,75,pki-workshop|hybrid-crypto|compliance-strategy,fpki,public/threats/GOV-004.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: source_url replaced (Was CISA generic guidance. FPKI documentation lives at idmanagement.gov.). Salvage 2026-05-21: deep-link substituted (idmanagement.gov FPKI overview (current canonical landing).).,60,,active,,,
Government / Defense,GOV-005,"NSS operator PQC compliance timeline: NSA CNSA 2.0 establishes technology-category migration timelines for National Security System operators: software/firmware signing (prefer 2025, exclusive 2030); web browsers/servers/cloud services (prefer 2025, exclusive 2033); traditional networking/VPNs (prefer 2026, exclusive 2030); operating systems (prefer 2027, exclusive 2033); niche/constrained devices (prefer 2030, exclusive 2033). The updated CNSA 2.0 FAQ (December 2024) sets December 31, 2030 for phasing out non-compliant equipment, December 31, 2031 for mandatory CNSA 2.0 use, and 2035 for full NSS quantum resistance. Correction (audit 2026-05-18, verdict=inaccurate): Replace the binary hardware/software split with the actual technology-category timeline from the CNSA 2.0 advisory and Dec 2024 FAQ update.",Critical,"All public-key cryptography in NC3 systems, strategic communications encryption","CNSA 2.0 full suite, AES-256, ML-KEM-1024, ML-DSA-87",NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,70,pki-workshop|kms-pqc|hsm-pqc|iot-ot-pqc,iso-iec-sc27,public/threats/GOV-005.pdf,yes,ISO,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21: headless-browser snapshot via Playwright (586858 bytes).,75,,active,,,CNSA-2.0
Government / Defense,AUS-GOV-001,"Harvest-now-decrypt-later attacks targeting Australian classified data: Foreign state actors actively intercepting and storing encrypted Australian government communications. ASD's Annual Cyber Threat Report 2023-2024 identifies nation-state actors targeting Australian government networks. Classified data encrypted with current RSA/ECDSA is at full Shor's-algorithm risk when CRQCs become available; AES-128 retains 64-bit effective security against Grover's algorithm (weakened, not broken) — AES-256 is the symmetric mitigation. Correction (audit 2026-05-18, verdict=inaccurate): Distinguish Grover (symmetric weakening: AES-128→64-bit effective security) from Shor (complete break of RSA/ECDSA). AES-256 is the symmetric mitigation. Remove AES-128 from 'crypto_at_risk' or annotate differently.",Critical,"Australian government classified communications, AUSTEO/AGAO data, ASD-protected networks, DSPF-covered systems (RSA/ECDSA primary risk; AES-128 secondary weakening)","ML-KEM-1024 for key encapsulation, ML-DSA-87 for digital signatures per ISM-1917; transition plan required by end of 2026",ASD ACSC Annual Cyber Threat Report 2024–25,https://www.cyber.gov.au/about-us/view-all-content/reports-and-statistics/annual-cyber-threat-report-2024-2025,80,kms-pqc|hsm-pqc|hybrid-crypto|vpn-ssh-pqc|pqc-governance,acsc,public/threats/AUS-GOV-001.html,yes,ASD,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21 via Wayback Machine snapshot (20260315142629, 479545B from http://web.archive.org/web/20260315142629/https://www.cyber.gov.au/about-us/view-all-content/reports-and-statistics/annual-cyber-threat-report-2024-2025).",75,,active,,,
Government / Defense,AUS-GOV-002,"ASD ISM quantum cryptography requirements: Australian Signals Directorate Information Security Manual mandates specific cryptographic controls. ISM-1490 mandates AES-256 for data at rest at SECRET and above. Separate ISM controls require RSA-2048 minimum for digital signatures and ECDH P-384 for key exchange (ECDSA P-384 for signatures — not key exchange). ISM has not yet mandated PQC algorithm deployment timelines for Australian government systems. Correction (audit 2026-05-18, verdict=inaccurate): ISM-1490: AES-256 for data at rest. Separate controls govern asymmetric minimums. ECDSA P-384 is a signature algorithm; ECDH P-384 is used for key exchange — these are different.",High,"Government ICT systems, GovPass digital identity, myGov infrastructure, agency PKI","ML-KEM-1024, ML-DSA-87 per ISM control ISM-1917; LATICE framework (Locate, Assess, Transition, Implement, Communicate, Educate)",ASD Information Security Manual — ISM-1917,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism/cyber-security-guidelines/guidelines-for-cryptography,85,kms-pqc|hsm-pqc|pqc-governance|hybrid-crypto,acsc,,yes,ASD,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate.,75,,deprecated,2026-05-21,no downloadable proof — source URL bot-blocked or unreachable,
Healthcare / Pharmaceutical,HLTH-001,HNDL on patient records: Healthcare data has lifetime sensitivity; genomic data and mental health records remain sensitive indefinitely. HIPAA mandates 6+ year retention but records persist 25+ years.,Critical,"RSA, ECDH, ECDSA, TLS","ML-KEM-768/1024, ML-DSA, AES-256",HHS HIPAA Security Rule,https://www.hhs.gov/hipaa/for-professionals/security/index.html,90,quantum-threats|pqc-risk-management|healthcare-pqc|data-asset-sensitivity,hhs,,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate.,60,,deprecated,2026-05-21,no downloadable proof — source URL bot-blocked or unreachable,
Healthcare / Pharmaceutical,HLTH-002,"Healthcare data breach quantum risk: Major Thales reports indicate roughly one-third of healthcare organizations experience a data breach in any given year. Healthcare records have multi-decade sensitivity lifetimes — a child's health record collected today remains medically relevant through 2100. HIPAA itself requires 6 years of compliance documentation retention; state laws govern medical record retention (typically 7-10 years for adults, longer for minors). PHI encrypted today will be vulnerable to quantum decryption before its full sensitivity lifetime expires. Correction (audit 2026-05-18, verdict=misleading): HIPAA retention for compliance documentation: 6 years. Medical records: state law (7-10 years typically). 75 years is a sensitivity-lifetime estimate, not a retention mandate — distinguish these.",Critical,"EHR databases, medical imaging, patient portals, health information exchanges, cloud encryption","ML-KEM-768/1024, ML-DSA, AES-256-GCM, quantum-safe TLS",Thales 2025 Data Threat Report Healthcare Edition,https://cpl.thalesgroup.com/data-threat-report,70,tls-basics|kms-pqc|hsm-pqc|compliance-strategy|healthcare-pqc|database-encryption-pqc|data-asset-sensitivity,thales-research,public/threats/HLTH-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended; source_url replaced (Was FDA cybersecurity guidance. Thales Data Threat Report (healthcare) is at cpl.thalesgroup.com.).,50,,active,,,
Healthcare / Pharmaceutical,HLTH-003,FDA premarket cybersecurity guidance: FDA finalized guidance (September 2023) under Section 524B of FD&C Act (Consolidated Appropriations Act 2023). Requires cryptographic risk assessment and Software Bill of Materials for new device submissions. Medical devices with 10-20 year lifecycles deploying now will operate into the CRQC era.,High,"RSA-2048, ECDSA in device firmware, TLS in medical devices, PKI for device authentication","ML-KEM-768, ML-DSA, crypto-agile firmware update mechanisms",FDA Premarket Cybersecurity Guidance 2023,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-system-considerations-and-content-premarket-submissions,80,iot-ot-pqc|code-signing|crypto-agility|healthcare-pqc,fda,public/threats/HLTH-003.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,
Healthcare / Pharmaceutical,HLTH-004,"FDA DSCSA pharmaceutical supply chain quantum gap: Drug Supply Chain Security Act (DSCSA) requires electronic product identifier verification for prescription drugs. DSCSA systems use PKI certificates for trading partner authentication. FDA issued compliance policy guidance in August 2023 (and subsequent extensions) deferring enforcement of full electronic interoperability requirements beyond the original November 27, 2023 deadline. RSA/ECDSA certificates will continue to underpin DSCSA trading partner authentication as enforcement phases in. Correction (audit 2026-05-18, verdict=inaccurate): FDA issued compliance policy guidance deferring DSCSA electronic interoperability enforcement beyond November 2023. Update the enforcement start date to reflect FDA's actual enforcement discretion extensions.",Critical,"BLE cryptography, TLS in medical IoT, embedded ECC in implantable devices","Crypto-agile device design, hybrid firmware updates, ML-DSA for device authentication",FDA Cybersecurity for Medical Devices,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,70,iot-ot-pqc|code-signing|kms-pqc|hsm-pqc|healthcare-pqc,fda,public/threats/HLTH-004.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended.,50,,active,,,
Healthcare / Pharmaceutical,HLTH-005,Drug supply chain authentication quantum risk: Drug Supply Chain Security Act (DSCSA) mandates product serialization and verification to prevent counterfeit drug infiltration. EPCIS (Electronic Product Code Information Services) and verification systems rely on digital signatures and TLS. Quantum forgery of verification responses enables counterfeit drug injection into the legitimate supply chain.,High,"EPCIS digital signatures, TLS authentication for verification systems, manufacturer PKI","ML-DSA for supply chain signing, hybrid verification certificates, PQC-enabled EPCIS",FDA Drug Supply Chain Security Act (DSCSA),https://www.fda.gov/drugs/drug-supply-chain-integrity/drug-supply-chain-security-act-dscsa,75,code-signing|pki-workshop|healthcare-pqc,csa-cloud,public/threats/HLTH-005.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,
Insurance,INS-001,"Cyber insurance quantum risk modeling gap: Actuarial models for cyber insurance do not yet incorporate quantum computing threat scenarios. Lloyd's of London and major reinsurers rely on probabilistic models using current threat data. Quantum computing events could trigger systemic, correlated losses across all RSA/ECDSA-dependent policyholders. The Geneva Association has published research papers on systemic risk from emerging technology including quantum computing. Correction (audit 2026-05-18, verdict=misleading): Cite specific Geneva Association publication by title and year, or reframe as industry observation.",High,"RSA/ECDSA protecting policyholder data, TLS for claims processing, database encryption","ML-KEM for key exchange, AES-256-GCM, ML-DSA for document signing",NAIC Insurance Data Security Model Law (MDL-668),https://content.naic.org/sites/default/files/model-law-668.pdf,65,pqc-risk-management|compliance-strategy|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc,cisa,public/threats/INS-001.pdf,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Insurance,INS-002,"Long-term insurance contract quantum exposure: Life insurance, annuity, and pension contracts have 20-70 year durations; data encrypted under long-lived keys without rotation has multi-decade HNDL exposure. NAIC Insurance Data Security Model Law (#668) addresses cybersecurity programs broadly but does not mandate specific cryptographic algorithms. IAIS Insurance Core Principles set supervisory frameworks; they do not mandate cryptographic algorithm choices for member jurisdictions. Correction (audit 2026-05-18, verdict=misleading): Cite specific NAIC Model Law #668. Clarify IAIS ICPs set supervisory principles, not algorithm mandates. Qualify duration claim with key rotation practices.",High,"Database encryption, policyholder data TLS, claims management systems","PQC-enabled encryption, hybrid TLS 1.3, ML-KEM key management",NAIC Model Law #668 + IAIS Insurance Core Principles,https://www.dfs.ny.gov/industry_guidance/cybersecurity,65,compliance-strategy|tls-basics|kms-pqc|hsm-pqc|data-asset-sensitivity|database-encryption-pqc,nydfs,public/threats/INS-002.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Insurance,INS-003,"Reinsurance treaty quantum vulnerability: International reinsurance treaties involve highly confidential financial data exchanged between parties globally. The Geneva Association has identified quantum computing as an emerging systemic risk for financial institutions. Reinsurance pricing and exposure data has 10-30 year sensitivity windows. Correction (audit 2026-05-18, verdict=misleading): Cite specific Geneva Association publication by title and year.",High,"Actuarial model encryption, reinsurance platform crypto, policyholder PII protection","AES-256 with ML-KEM key exchange, ML-DSA for contract signing, crypto-agile platforms",Geneva Association Systemic Cyber Risk Research,https://www.genevaassociation.org/research-topics/cyber,65,pqc-risk-management|pqc-business-case|data-asset-sensitivity,geneva-association,public/threats/INS-003.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Internet of Things (IoT),IOT-001,"IoT device risk escalation: Forescout 2025 research reports overall average device risk scores increased 15% year-over-year, with significant country-level risk score increases. Billions of constrained devices using ECDSA P-256 and RSA-2048 with limited crypto-agility and no practical firmware update path for PQC migration.",Critical,"ECDSA P-256, RSA-2048, TLS 1.2 in IoT devices, device provisioning certificates","Lightweight PQC (FN-DSA, SLH-DSA), hybrid schemes for constrained devices",Forescout Device Risk Research,https://www.forescout.com/research-labs/,75,iot-ot-pqc|hybrid-crypto|stateful-signatures|crypto-agility,forescout,public/threats/IOT-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,
Internet of Things (IoT),IOT-002,"Industrial IoT SCADA quantum vulnerability: IEC 62443 governs industrial automation security. OPC UA protocol uses RSA/ECDSA for authentication across manufacturing, energy, and critical infrastructure. IIoT environments with 15-25 year equipment lifecycles and air-gapped networks face complex PQC migration.",Critical,"OPC UA RSA/ECDSA, IEC 62443 authentication, industrial protocol encryption","OPC UA PQC implementation, IEC 62443 quantum update, hybrid industrial protocols",IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,75,iot-ot-pqc|vpn-ssh-pqc|network-security-pqc,iec,public/threats/IOT-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,IEC-62443
Internet of Things (IoT),IOT-003,"IoT firmware update SUIT protocol quantum gap: IETF SUIT (Software Updates for IoT) is specified across multiple RFCs — RFC 9019 (architecture), RFC 9124 (information model), and RFC 9644 (manifest wire format, published August 2024). SUIT manifests use COSE (RFC 9052) with ECDSA or EdDSA signatures. None of the SUIT RFCs prescribe specific post-quantum algorithms. Correction (audit 2026-05-18, verdict=inaccurate): Correct: RFC 9019 = SUIT Architecture; RFC 9124 = SUIT Information Model; RFC 9644 = SUIT Manifest wire format. Rewrite as: 'IETF SUIT (RFC 9019 architecture, RFC 9644 manifest) uses COSE (RFC 9052) with ECDSA signatures.'",High,"COSE signatures (ECDSA/EdDSA), CoAP DTLS, firmware signing keys","Lightweight ML-DSA, SLH-DSA for stateless constrained devices or XMSS where state management is feasible, hybrid COSE signatures",IETF SUIT RFC 9019 + RFC 9644,https://www.rfc-editor.org/rfc/rfc9019.txt,70,iot-ot-pqc|code-signing|stateful-signatures|secure-boot-pqc,ietf,public/threats/IOT-003.txt,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Salvage 2026-05-21: deep-link substituted (RFC 9019 (SUIT Architecture) — actual RFC text, not the IETF WG portal.).",50,,active,,,RFC-9019;RFC-9052
Internet of Things (IoT),IOT-004,"Smart city infrastructure quantum vulnerability: Traffic management, public safety cameras, environmental sensors, and municipal IoT systems form interconnected networks with diverse device types and long deployment cycles. ISO/IEC 30182 defines smart community infrastructure framework. City-wide mesh networks and cloud gateways aggregate sensitive data from thousands of endpoints.",High,"City-wide IoT mesh networking, cloud gateway TLS, sensor authentication, municipal PKI","Quantum-safe smart city architecture, hybrid mesh protocols, PQC-enabled gateways",ISO/IEC 30182 Smart City Concept Model,https://www.iso.org/standard/53302.html,75,iot-ot-pqc|kms-pqc|hsm-pqc|network-security-pqc,iso-iec-sc27,public/threats/IOT-004.html,yes,ISO,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,,ISO/IEC-30182;IEC-30182
IT Industry / Software,IT-001,"Linux kernel LTS quantum readiness: Linux kernel 6.6 LTS (released October 2023) and 6.12 LTS (November 2024) are the current long-term support versions. The primary PQC exposure vector for Linux systems is the userspace crypto library ecosystem (OpenSSL 3.5+ with native ML-KEM/ML-DSA from April 2025, GnuTLS) rather than the in-kernel crypto API. Distributions pinning older kernel LTS versions need userspace library upgrades for PQC, not necessarily kernel changes. Correction (audit 2026-05-18, verdict=inaccurate): Do not claim ML-KEM in kernel 6.11 without verification. The primary PQC migration path for Linux is OpenSSL 3.5+ (April 2025, native ML-KEM/ML-DSA support) and GnuTLS, not the in-kernel crypto API.",Critical,"Legacy RSA/ECDSA in crypto libraries, OpenSSL pre-3.5, libsodium, BoringSSL","OpenSSL 3.5+ with PQC, OQS provider, liboqs integration",OpenSSL PQC Integration,https://openssl-library.org/post/2025-04-08-openssl-35-final-release/,75,crypto-agility|tls-basics|crypto-dev-apis|os-pqc,openssl-project,public/threats/IT-001.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended.,50,,active,,,
IT Industry / Software,IT-002,"CA/Browser Forum PQC timeline: The CA/Browser Forum Server Certificate Working Group is actively discussing PQC certificate requirements but has not yet adopted binding ballot language mandating specific PQC algorithms or timelines. Browser trust stores controlled by Apple, Google, Microsoft, and Mozilla will drive PQC certificate adoption timelines. Certificate Transparency logs provide visibility into CA PQC migration progress as it begins. Correction (audit 2026-05-18, verdict=inaccurate): Remove SC-74 reference entirely. Correct to: 'The CA/Browser Forum Server Certificate Working Group is actively discussing PQC timeline requirements but has not yet adopted binding ballot language mandating specific PQC algorithms or timelines.'",Critical,"CA root keys (RSA-4096/ECDSA), intermediate certificates, TLS server certificates, S/MIME","Hybrid X.509 certificates, ML-DSA CA hierarchy, composite certificate standards",CA/Browser Forum PKI Standards,https://cabforum.org/working-groups/server/baseline-requirements/documents/,70,pki-workshop|tls-basics|hybrid-crypto|web-gateway-pqc|os-pqc,cabf,public/threats/IT-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended.,50,,active,,,
IT Industry / Software,IT-003,"NIST FIPS 203/204/205 standardization milestone: First official PQC standards published August 2024. FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) provide the foundation for all PQC migration. CMVP validation of implementations is ongoing with first validated modules expected 2025-2026.",Critical,All RSA/ECDSA/ECDH implementations requiring FIPS compliance,"FIPS 203 (ML-KEM-512/768/1024), FIPS 204 (ML-DSA-44/65/87), FIPS 205 (SLH-DSA)",NIST FIPS 203/204/205 Post-Quantum Cryptography Standards,https://csrc.nist.gov/projects/post-quantum-cryptography,90,pqc-101|compliance-strategy|migration-program,nist-csrc,public/threats/IT-003.html,yes,NIST,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,,FIPS-203;FIPS-204;FIPS-205
IT Industry / Software,IT-004,"SLSA supply chain security quantum gap: SLSA (Supply Levels for Software Artifacts) v1.0 defines provenance requirements for software builds. SLSA Level 3 requires isolated, ephemeral build environments and platform-generated provenance (the HSM-backed-keys requirement from deprecated SLSA v0.1 Level 4 is not part of v1.0 Level 3). Sigstore/Cosign primarily uses keyless signing — ephemeral ECDSA keys bound to OIDC identity tokens via Fulcio CA. The long-term Fulcio CA root and Rekor transparency log signing keys are the main persistent quantum-vulnerable surface. Correction (audit 2026-05-18, verdict=inaccurate): SLSA v1.0 Level 3: isolated build environments + platform-generated provenance. No HSM mandate. Cosign primary mode: keyless signing with ephemeral ECDSA keys bound to OIDC identity tokens via Fulcio CA. Quantum exposure is in the long-term Fulcio CA root, not persistent signing keys.",Critical,"Fulcio CA long-term ECDSA root, Rekor transparency log signing, ephemeral ECDSA signing certificates, container image attestations","ML-DSA code signing, SLH-DSA for long-term artifacts, SLSA PQC integration",SLSA Supply Chain Security Framework (OpenSSF),https://slsa.dev/spec/v1.0/levels,70,code-signing|vendor-risk|platform-eng-pqc,openssf,public/threats/IT-004.html,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Salvage 2026-05-21: deep-link substituted (SLSA v1.0 levels spec — the substantive doc, not the OpenSSF landing.).",50,,active,,,
IT Industry / Software,IT-005,"Authentication infrastructure quantum vulnerability: Enterprise authentication systems including X.509 digital certificates, SAML assertions, OAuth/OIDC tokens, and FIDO2 attestation rely on quantum-vulnerable PKI. FIDO Alliance has published a PQC roadmap for WebAuthn migration. Migration to PQC-compatible credential systems requires coordinated ecosystem updates.",High,"X.509 certificates, SAML assertions, OAuth/OIDC tokens, FIDO2 attestation keys","Hybrid certificate chains, ML-DSA certificates, PQC-enabled FIDO2 per FIDO Alliance roadmap",FIDO Alliance PQC Roadmap,https://media.fidoalliance.org/wp-content/uploads/2025/01/FIDO_Alliance_White_Paper_Post-Quantum_Cryptography_Migration.pdf,75,pki-workshop|api-security-jwt|iam-pqc,fido-alliance,,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (FIDO Alliance PQC migration whitepaper PDF.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate.,60,,deprecated,2026-05-21,no downloadable proof — source URL bot-blocked or unreachable,
Legal / Notary / eSignature,LEG-001,"eIDAS Qualified Electronic Signature quantum gap: eIDAS Regulation (EU 910/2014) defines the legal framework for Qualified Electronic Signatures (QES); cryptographic algorithm requirements are specified in ETSI TS 119 312 (referenced via Commission implementing decisions). Current ETSI guidance designates RSA and ECDSA as suitable algorithms. QES with proper long-term archival validation (AdES-A profiles per ETSI EN 319 102-1, with periodic re-timestamping) are engineered to remain valid as underlying algorithms deprecate; QES WITHOUT long-term augmentation face repudiation risk when RSA/ECDSA are broken. Correction (audit 2026-05-18, verdict=inaccurate): eIDAS defines the legal framework; algorithm requirements are in ETSI TS 119 312. QES with long-term validation (AdES-A archival profiles with periodic re-timestamping) are engineered to remain valid as underlying algorithms deprecate. Only QES WITHOUT long-term augmentation face repudiation risk.",Critical,"RSA-2048/4096, ECDSA P-256/P-384, SHA-256 in AdES formats (XAdES, PAdES, CAdES)","ML-DSA-65/87, SLH-DSA for long-term archival signatures, XMSS",eIDAS Regulation EU 910/2014 + ETSI TS 119 312,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/01.04.03_60/ts_119312v010403p.pdf,75,email-signing|stateful-signatures|pki-workshop|data-asset-sensitivity,ec,public/threats/LEG-001.pdf,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended; source_url replaced (eIDAS regulation does not name algorithms. ETSI TS 119 312 (Cryptographic Suites) does — re-source.). Salvage 2026-05-21: deep-link substituted (ETSI TS 119 312 v1.4.3 actual PDF — names the algorithms eIDAS references.).,50,,active,,,
Legal / Notary / eSignature,LEG-002,"EU eIDAS 2.0 PQC mandate: eIDAS 2.0 (EU 2024/1183, in force May 2024) introduces European Digital Identity Wallets (EUDI). Article 5a defines EUDI wallet functionality and recognition requirements. Cryptographic specifications for EUDI wallets are being developed in the Architecture Reference Framework (ARF) and Commission implementing acts. ETSI TS 119 312 (referenced by eIDAS implementing decisions) is under revision to address PQC algorithm suitability. Correction (audit 2026-05-18, verdict=misleading): Cryptographic requirements for EUDI wallets are in the ARF v1.x and implementing regulations under development, not in Article 5a. State ETSI TS 119 312 PQC update as 'under development'.",High,"ECDSA P-256, RSA-2048, ECDH in wallet authentication, X.509 certificates","ML-DSA-65/87, ML-KEM-768/1024, hybrid signature schemes",EU Regulation 2024/1183 (eIDAS 2.0),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1183,70,digital-id|pki-workshop|iam-pqc,ec,public/threats/LEG-002.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended.,50,,active,,,
Legal / Notary / eSignature,LEG-003,Qualified timestamp quantum forgery risk: ETSI EN 319 422 governs qualified time-stamp authorities under the eIDAS framework using RFC 3161 time-stamp protocol. Timestamps cryptographically prove document existence at specific moments for legal evidence and IP filings. Quantum-capable adversaries could forge timestamps to backdate contracts or fabricate audit trails.,High,"RSA-2048/4096, ECDSA P-256/P-384 in RFC 3161 timestamp tokens, SHA-256","ML-DSA-65/87, SLH-DSA for long-term timestamp integrity",ETSI EN 319 422 Qualified Timestamp Policy,https://www.etsi.org/deliver/etsi_en/319400_319499/319422/01.01.01_60/en_319422v010101p.pdf,75,pki-workshop|stateful-signatures|email-signing,etsi-cyber,public/threats/LEG-003.pdf,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,,RFC-3161
