industry,standard_id,standard_label,standards_body,library_ref,mechanisms_referenced,pqc_readiness,use_case_ids,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason
Telecommunications,RFC-9370,Multiple key exchanges in IKEv2,IETF,RFC 9370,ECDH;ML-KEM,published,telco-transport,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Financial Services / Banking,ANSI-X9.62,ECDSA for financial services (X9.62),ASC X9,ANSI X9.62,ECDSA,none,fin-interbank,ANSI X9.62 — Public Key Cryptography for the Financial Services Industry: ECDSA,https://webstore.ansi.org/standards/ascx9/ansix9622005,ascx9,,yes,ASC X9,0.9,2026-07-29,active,,
Financial Services / Banking,ANSI-X9.63,Key agreement & transport using ECC (X9.63),ASC X9,ANSI X9.63,ECDH,none,fin-hsm,ANSI X9.63 — Public Key Cryptography for the Financial Services Industry: ECDH,https://webstore.ansi.org/standards/ascx9/ansix9632011,ascx9,,yes,ASC X9,0.9,2026-07-29,active,,
Financial Services / Banking,X9-PQC-Readiness,ASC X9 PQC readiness informative report,ASC X9,ASC-X9-PQC-Readiness-2025,RSA;ECDSA;ML-KEM;ML-DSA,published,fin-interbank;fin-archives,ASC X9 Report — Post-Quantum Cryptography Financial Readiness Needs Assessment (2025),https://x9.org/wp-content/uploads/2025/08/New-X9-Report-Supplies-Guidance-on-Migrating-to-Post-quantum-Cryptography-Safely-and-Cost-effectively-FINAL.pdf,ascx9,,yes,ASC X9,0.9,2026-07-29,active,,
Payment Card Industry,PCI-DSS-v4,PCI DSS v4 (quick reference),PCI SSC,PCI-DSS-QRG,RSA;ECDSA;ECDH,none,pci-ecommerce;pci-terminals,PCI DSS Quick Reference Guide v3 (v4.0 overview),https://www.pcisecuritystandards.org/documents/PCIDSS_QRGv3.pdf,pci-ssc,,yes,PCI SSC,0.9,2026-07-29,active,,
Legal / Notary / eSignature,eIDAS-910-2014,eIDAS Regulation (EU) 910/2014,EU,EIDAS-REG-910-2014,RSA;ECDSA,none,leg-qes,eIDAS Regulation — Regulation EU 910/2014 (eIDAS 1.0),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014R0910,ec,,yes,EU,0.9,2026-07-29,active,,
Legal / Notary / eSignature,eIDAS-2.0,eIDAS 2.0 (Regulation (EU) 2024/1183),EU,eIDAS-2-Regulation,RSA;ECDSA,in-progress,leg-wallet,eIDAS 2.0 Regulation (EU 2024/1183),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1183,ec,,yes,EU,0.9,2026-07-29,active,,
Legal / Notary / eSignature,ETSI-TS-119-312,Cryptographic suites for e-signatures,ETSI,ETSI-TS-119-312,RSA;ECDSA,in-progress,leg-qes;leg-timestamp,ETSI TS 119 312 V1.5.1 - Electronic Signatures and Trust Infrastructures (ESI); Cryptographic Suites,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/01.05.01_60/ts_119312v010501p.pdf,etsi,,yes,ETSI,0.9,2026-07-29,active,,
Legal / Notary / eSignature,ETSI-EN-319-411,TSP policy & security requirements,ETSI,ETSI-EN-319-411,RSA;ECDSA,none,leg-qes,ETSI EN 319 411-1 V1.5.1 (2025-04),https://www.etsi.org/deliver/etsi_en/319400_319499/31941101/01.05.01_60/en_31941101v010501p.pdf,etsi,,yes,ETSI,0.9,2026-07-29,active,,
Healthcare / Pharmaceutical,HIPAA-Security-Rule,HIPAA Security Rule (45 CFR 164),HHS,HIPAA-45-CFR-164,,none,hlth-ehr,HIPAA Security Rule — 45 CFR Part 164,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164,hhs,,yes,HHS,0.9,2026-07-29,active,,
Healthcare / Pharmaceutical,NIST-SP-800-66,Implementing the HIPAA Security Rule,NIST,NIST SP 800-66,,none,hlth-ehr,Implementing the Health Insurance Portability and Accountability Act (HIPAA) Security Rule,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-66r2.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Healthcare / Pharmaceutical,FDA-21-CFR-11,Electronic records & signatures (21 CFR 11),FDA,FDA-21-CFR-11,,none,hlth-supply,FDA 21 CFR Part 11 — Electronic Records; Electronic Signatures,https://www.ecfr.gov/current/title-21/chapter-I/subchapter-A/part-11,fda,,yes,FDA,0.9,2026-07-29,active,,
Automotive / Connected Vehicles,IEEE-1609.2-PQC,IEEE 1609.2 PQC amendment for V2X,IEEE,IEEE 1609.2 Amendment,ECDSA;ML-DSA,in-progress,auto-v2x,IEEE 1609.2 Amendment — Post-Quantum Cryptography for V2X Communications Security,https://standards.ieee.org/ieee/1609.2/7389/,ieee-sa,,yes,IEEE,0.9,2026-07-29,active,,
Critical Infrastructure / Energy,IEC-62443,IEC 62443 industrial automation security,IEC,IEC 62443,RSA;ECDSA,none,energy-scada;energy-pipeline,IEC 62443 — Industrial Automation and Control Systems Security Standards Series,https://www.iec.ch/taxonomy/term/778,iec,,yes,IEC,0.9,2026-07-29,active,,
Internet of Things (IoT),RFC-9019,SUIT firmware update architecture,IETF,RFC 9019,ECDSA,in-progress,iot-firmware,A Firmware Update Architecture for Internet of Things (SUIT),https://www.rfc-editor.org/rfc/rfc9019.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Internet of Things (IoT),RFC-9147,DTLS 1.3,IETF,RFC 9147,ECDH;RSA;ECDSA,in-progress,,The Datagram Transport Layer Security (DTLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc9147.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,RFC-4253,SSH transport layer protocol,IETF,RFC 4253,ECDH;RSA;ECDSA,published,it-ssh,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,RFC-9941,Hybrid ML-KEM key exchange in SSH,IETF,RFC 9941,ML-KEM;ECDH;X25519,published,it-ssh,Streamlined NTRU Prime sntrup761 Key Exchange for SSH,https://datatracker.ietf.org/doc/html/rfc9941,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,W3C-WebAuthn,Web Authentication (WebAuthn),W3C,W3C WebAuthn,ECDSA;RSA,in-progress,it-identity,Web Authentication: An API for accessing Public Key Credentials - Level 3,https://www.w3.org/TR/webauthn-3/,w3c,,yes,W3C,0.9,2026-07-29,active,,
Hardware Security Modules,PKCS11-3.2,PKCS #11 v3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,RSA;ECDSA;ECDH;ML-KEM;ML-DSA;SLH-DSA;LMS;XMSS,published,hsm-api,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Hardware Security Modules,KMIP-2.1,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,in-progress,hsm-api,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Hardware Security Modules,FIPS-140-3,FIPS 140-3 security requirements for crypto modules,NIST,FIPS-140-3,,none,hsm-keygen,FIPS 140-3: Security Requirements for Cryptographic Modules,https://csrc.nist.gov/pubs/fips/140-3/final,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Cloud Computing / Data Centers,KMIP-2.1-cloud,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,in-progress,cloud-kms,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Education / Research,FERPA,FERPA (34 CFR Part 99),US ED,FERPA-34-CFR-99,,none,edu-sis,FERPA — 34 CFR Part 99,https://www.ecfr.gov/current/title-34/subtitle-A/part-99,us-doe-ed,,yes,US ED,0.9,2026-07-29,active,,
Education / Research,OpenID4VCI,OpenID for Verifiable Credential Issuance,OIDF,OpenID4VCI-Spec,ECDSA;RSA,in-progress,edu-credentials,OpenID for Verifiable Credential Issuance (OpenID4VCI),https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,openid-foundation,,yes,OIDF,0.9,2026-07-29,active,,
Retail / E-Commerce,PCI-DSS-v4-retail,PCI DSS v4 (quick reference),PCI SSC,PCI-DSS-QRG,RSA;ECDSA;ECDH,none,retail-checkout,PCI DSS Quick Reference Guide v3 (v4.0 overview),https://www.pcisecuritystandards.org/documents/PCIDSS_QRGv3.pdf,pci-ssc,,yes,PCI SSC,0.9,2026-07-29,active,,
Water / Wastewater,IEC-62443-water,IEC 62443 industrial automation security,IEC,IEC 62443,RSA;ECDSA,none,water-scada,IEC 62443 — Industrial Automation and Control Systems Security Standards Series,https://www.iec.ch/taxonomy/term/778,iec,,yes,IEC,0.9,2026-07-29,active,,
