Algorithm,SideChannelAttacks,FaultInjectionAttacks,RNGFailures,SecretHandlingFailures,APIMisuse,date_stamp,iacr_reference,mitigation_notes
Classic McEliece 460896 (BSI Level 1),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/428,Code-based KEM. Very large public keys (261KB for level 1). Constant-time decoding required. Recommended by BSI as conservative alternative. Not recommended where bandwidth is constrained.
Classic McEliece 6688128 (BSI Level 5),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/428,Code-based KEM. Very large public keys (261KB for level 1). Constant-time decoding required. Recommended by BSI as conservative alternative. Not recommended where bandwidth is constrained.
Covercrypt (ETSI TS 104 015),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2022/1440,ETSI TS 104 015 attribute-based encryption. Policy engine exposure risk. Validate attribute delegation logic carefully. Key revocation must be immediate.
UOV (NIST Sig Round 2 — Multivariate),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2022/214,NIST Round 2 multivariate signature. Oil-and-vinegar structure. Private key operations must be constant-time. Large signature/key sizes.
MAYO (NIST Sig Round 2 — Multivariate),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2021/1144,NIST Round 2 multivariate signature. Compact variant of UOV. Constant-time private-map evaluation required. Not yet standardized — avoid production use.
SQIsign (NIST Sig Round 2 — Isogeny),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/1240,NIST Round 2 isogeny-based signature. Very compact (177 bytes at level 1). CRITICAL: Isogeny computation has significant timing side-channel risk. Very slow signing (~20 seconds on modern hardware). Research use only.
CROSS (NIST Sig Round 2 — Code-based),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/567,NIST Round 2 code-based signature. Not yet standardized. Syndrome decoding operations must be constant-time.
LESS (NIST Sig Round 2 — Code-based),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2020/1158,NIST Round 2 code-based signature. Linear equivalence problem. Random seed expansion must use FIPS 140-3 DRBG. Not yet standardized.
FAEST (NIST Sig Round 2 — Hash-based),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/690,NIST Round 2 hash-based signature (VOLE-based). Security on AES. AES implementation must be constant-time (AES-NI recommended). Not yet standardized.
HAWK (NIST Sig Round 2 — Lattice),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2022/1155,NIST Round 2 lattice signature. NTRU-based. Similar FP Gaussian sampling risk as FN-DSA. Not yet standardized.
SNOVA (NIST Sig Round 2 — Multivariate),Unknown,Unknown,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/744,NIST Round 2 multivariate. S-NOV-A structure. Private map computation must be constant-time. Not yet standardized.
ML-DSA-44-RSA2048-PSS (IETF Composite Sig),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
ML-DSA-44-ECDSA-P256 (IETF Composite Sig),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
ML-DSA-44-Ed25519 (IETF Composite Sig),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2017/633,Use hedged (randomized) signing mode for fault-injection resistance. Protect NTT polynomial operations against timing. Validate public key before verification. Signing key must never be reused across different applications.
ML-KEM-768-ECDH-P256 (IETF Composite KEM),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
ML-KEM-768-RSA-OAEP-2048 (IETF Composite KEM),Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
SLH-DSA-SHA2-256s (Level 5),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
SLH-DSA-SHAKE-128s (Level 1),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
SLH-DSA-SHAKE-192s (Level 3),Unknown,Yes,Yes,Yes,Yes,2026-05-06,https://eprint.iacr.org/2016/098,Hash-based — no known quantum side-channel attacks. CRITICAL: Secret seed exposure = total key compromise (all keys derived from seed). Seed must be generated and stored in HSM/secure enclave. Stateless design eliminates state-management vulnerabilities of LMS/XMSS.
"HPKE-PQ (ML-KEM-768 + X25519, IETF)",Yes,Yes,Yes,Unknown,Yes,2026-05-06,https://eprint.iacr.org/2023/1295,"Constant-time decapsulation mandatory (timing leak in NTT/rejection sampling). Validate ciphertext length before processing. Use FIPS 140-3 DRBG for key generation. Zeroize secret key post-use. Validated libs: liboqs, AWS-LC, BouncyCastle PQC."
