patent_number,title,inventors,assignee,priority_date,issue_date,filing_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status,pqc_migration_score,pqc_migration_reason,citation_graph_flag,pqc_migration_score_flag,dates_verified_iso8601,date_stamp
12580726,Using a single AES key to encrypt PKCS #7 files,Chengalroyen; Jarryd et al.,"DigiCert, Inc.",2023-10-12,2026-03-17,2023-10-12,H04L9/006;H04L9/0891;H04L9/0825;H04L9/0861;H04L9/14;H04L9/3268,A method for encrypting multiple digital certificates and private keys in PKCS #7 files using a single AES key to reduce HSM calls during batch device provisioning.,The invention utilizes a single Advanced Encryption Standard (AES) key to encrypt a plurality of digital certificates and their respective private keys within separate PKCS #7 files. This allows a client to decrypt the single AES key one time to enable the decryption of each encrypted digital certificate in the batch.,classical_only,none,none,none,PKCS#7; PKI,AES,,none,generation; distribution; storage,HSM; IoT,,PKCS #7,,,symmetric-cipher,IoT; PKI,server; non-transitory computer-readable medium,latency,root-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""server for generating key pairs and encrypting certificates with a single AES key""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""creating PKCS #7 files decryptable by the single AES key""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""decrypting the single AES key one time for batch decryption""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""using a trust manager to generate key pairs""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""using a certificate management system to generate and encrypt certificates""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""requesting certificates for electronic devices""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""applying certificates during manufacturing""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""utilizing a Certificate Signing Request (CSR)""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium for generating key pairs and encrypting certificates""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""creating PKCS #7 files decryptable by the single AES key""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""decrypting the single AES key one time for batch decryption""}, {""claim"": 12, ""depends_on"": [9], ""subject"": ""using a trust manager and certificate management system""}, {""claim"": 13, ""depends_on"": [9], ""subject"": ""requesting certificates for electronic devices applied during manufacturing""}]",[],1,Focuses on classical AES encryption for PKCS#7 with no mention of PQC algorithms or migration strategies.,no_citations_recorded,low_pqc_relevance,yes,2026-06-08
20260074898,BROADCAST-FREE THRESHOLD POST-QUANTUM KEY GENERATION AND VERIFICATION OVER UNENCRYPTED CHANNELS FROM HARDWARE-BASED CORRELATED RANDOMNESS,,"CIRCLE INTERNET GROUP, INC.",2025-11-14,2026-03-12,2025-11-14,H04L9/0825;H04L9/0866;H04L9/0869;H04L9/3278,A system for broadcast-free threshold post-quantum key generation using physically unclonable functions to create correlated randomness for Learning Parity with Noise instances over unencrypted channels.,"The invention provides a method for generating encryption keys without broadcast channels by using physically unclonable functions (PUFs) to generate correlated randomness. Devices process random challenges via PUFs to create error matrices for Learning Parity with Noise (LPN) instances, which are sent to a combiner to recover partial keys and generate a final encryption key.",pqc_only,none,none,"The patent describes a 'post-quantum' scheme based on the Learning Parity with Noise (LPN) problem, which is a classical computational problem believed to be hard for quantum computers. However, the invention does not utilize quantum technology (such as QKD, QRNG, or quantum entanglement) in its implementation. The term 'quantum' appears only in the context of security guarantees against quantum attacks, not as a component of the system.",,,LPN,none,generation; distribution,PUF,,,quantum-attack; insider; MITM,TRNG,KEM,blockchain,system for generating an encryption key; non-transitory computer-readable storage medium for generating an encryption key,latency,root-keys,,,"[{""claim"": 21, ""depends_on"": [], ""subject"": ""system for generating an encryption key using LPN and PUFs""}, {""claim"": 22, ""depends_on"": [21], ""subject"": ""offline devices""}, {""claim"": 23, ""depends_on"": [21], ""subject"": ""unencrypted channel controlled by messenger""}, {""claim"": 24, ""depends_on"": [21], ""subject"": ""computing first error matrix using prime numbers""}, {""claim"": 25, ""depends_on"": [21], ""subject"": ""generating LPN instance by multiplying public matrix and adding error""}, {""claim"": 26, ""depends_on"": [21], ""subject"": ""generating partial encryption key using prime numbers""}, {""claim"": 27, ""depends_on"": [21], ""subject"": ""computing estimated combined error using regression models""}, {""claim"": 28, ""depends_on"": [21], ""subject"": ""recovering summation using trapdoor inversion algorithm""}, {""claim"": 29, ""depends_on"": [21], ""subject"": ""sharing encryption key with another device""}, {""claim"": 30, ""depends_on"": [21], ""subject"": ""using PUF or PRG for challenges and meta-stable challenges""}, {""claim"": 31, ""depends_on"": [21], ""subject"": ""strong implicit PUFs""}, {""claim"": 32, ""depends_on"": [], ""subject"": ""non-transitory computer-readable storage medium for generating an encryption key""}, {""claim"": 33, ""depends_on"": [32], ""subject"": ""offline devices""}, {""claim"": 34, ""depends_on"": [32], ""subject"": ""unencrypted channel controlled by messenger""}, {""claim"": 35, ""depends_on"": [32], ""subject"": ""computing first error matrix using prime numbers""}, {""claim"": 36, ""depends_on"": [32], ""subject"": ""generating LPN instance by multiplying public matrix and adding error""}, {""claim"": 37, ""depends_on"": [32], ""subject"": ""generating partial encryption key using prime numbers""}, {""claim"": 38, ""depends_on"": [32], ""subject"": ""computing estimated combined error using regression models""}, {""claim"": 39, ""depends_on"": [32], ""subject"": ""recovering summation using trapdoor inversion algorithm""}, {""claim"": 40, ""depends_on"": [32], ""subject"": ""sharing encryption key with another device""}]",[],9.0,"Directly addresses PQC key generation and verification, critical for migration infrastructure.",no_citations_recorded,high_pqc_relevance,yes,2026-05-06
12572937,Method and system for single purpose public keys for public ledgers,Brown; Daniel Richard L.,Malikie Innovations Limited,2022-01-25,2026-03-10,2022-01-25,G06Q20/065;G06Q20/10;G06Q20/223;G06Q20/3821;G06Q20/3825;G06Q20/3827;G06Q20/3829;G06Q20/4014;G06Q20/40145;G06Q20/405;H04L63/0861;H04L63/123;H04L9/006;H04L9/0861;H04L9/0866;H04L9/321;H04L9/3231;H04L9/3239;H04L9/3247;H04L9/3263;H04L9/50,"A method for generating public ledger keys bound to a purpose string containing transaction parameters, enabling recipients to verify transaction compliance and prevent fraud.","The invention generates a private and public key pair uniquely bound to a purpose string message containing transaction parameters. This binding allows recipients to verify that a transaction complies with the defined parameters, such as value limits or geography, before accepting funds.",classical_only,none,none,none,PKI,ECDSA; SHA-1,,none,generation; storage,HSM; mobile,inherence/biometric; location,SEC 4,insider,OS,signature; hash,blockchain; banking,method for single purpose public keys; first computing device; non-transitory computer readable medium,,financial; biometric; transactions,,US9240884,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for creating purpose-bound keys""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""purpose string parameters""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""purpose string identifier""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""biometric identifier""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""name identifier""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""document image identifier""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""sending based on account creation""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""network element association""}, {""claim"": 9, ""depends_on"": [], ""subject"": ""first computing device""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""purpose string parameters""}, {""claim"": 11, ""depends_on"": [9], ""subject"": ""purpose string identifier""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""biometric identifier""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""name identifier""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""document image identifier""}, {""claim"": 15, ""depends_on"": [9], ""subject"": ""sending based on account creation""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""network element association""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""non-transitory computer readable medium""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""purpose string parameters""}, {""claim"": 19, ""depends_on"": [9], ""subject"": ""digital wallet""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""wallet storing private key""}]",[],1,Focuses on classical public key usage in ledgers with no mention of PQC algorithms or migration.,citations_present:1,low_pqc_relevance,yes,2026-06-08
20260067060,Method for encrypting data streams,Richard D'Souza,Richard D'Souza,2024-09-04,2026-03-05,2024-09-04,H04L9/006,"A method for encrypting data streams by encoding data into torus knots, generating keys from geometric properties, adding noise knots, and shuffling the arrangement based on a session key.","The invention encodes data streams into three-dimensional torus knots defined by geometric parameters like major radius and coprime integers. It generates public and private keys from these properties, intersperses randomly generated noise knots, and employs a session-key-based shuffling process to reorder the knots for encryption.",unclear,none,background_only,"Quantum computing is mentioned in the background as a threat to traditional algorithms and in claim 16 as a context for the 'torus knot post quantum encryption algorithm'. The primary invention relies on geometric torus knots and shuffling, not quantum mechanics or quantum hardware. The term 'post quantum' in claim 16 refers to resistance against quantum attacks, not the use of quantum technology.",,,,quantum_computing,generation; distribution; rotation; revocation; reassignment,,inherence/biometric,,quantum-attack,deterministic-PRNG,symmetric-cipher,finance; healthcare; IoT,method for encrypting a data stream; non-transitory computer-readable storage medium,,data streams,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for encrypting a data stream""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""decoding process for unshuffling""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""geometric parameters R, p, q""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""resolution determined by number of points""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""evenly spaced arrays""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""computing rotations and translations""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""XOR operation with session key""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""generating shuffle key and indices""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""unshuffling using session key""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""random unique decoding threshold""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""adjusting density based on threat level""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""machine learning optimization""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""session key validity period""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""biometric unique identifier""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""periodic update of geometric properties""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""torus knot-PQEA with AI key management""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""non-transitory computer-readable storage medium""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-06-08
12567962,Method for post-quantum secure in-the-field trust provisioning,,NXP B.V.,2023-03-14,2026-03-03,2023-03-14,H04L9/0894;H04L63/062;H04L9/0891;H04L9/0897;H04L9/3263;H04L9/50;H04W12/35,"A method for post-quantum secure in-the-field trust provisioning using a dedicated device to update cryptographic assets on integrated circuits, reserving space for future algorithm changes.","The invention provides a method for provisioning a plurality of IC devices where one device acts as a provisioning unit to distribute cryptographic assets to others. It specifically reserves space in the target devices for future reprovisioning with updated post-quantum cryptography assets, enabling secure in-field updates without over-the-air transmission.",hybrid,crypto_agility,core_invention,"The invention is explicitly titled and described as a method for 'post-quantum secure' provisioning. Independent claims 1 and 13 describe the general provisioning/reprovisioning method. Dependent claims 9, 12, and 18 specify that the updated cryptographic assets are 'post quantum cryptography assets'. The background and summary emphasize that the primary purpose is to mitigate threats from quantum computers breaking RSA/ECC. While the independent claims do not strictly mandate PQC assets (allowing for general cryptographic agility), the core inventive concept and primary application described are centered on post-quantum migration.",PKI,RSA; ECC; AES,XMSS; LMS,quantum_computing,generation; distribution; storage; rotation,HSM; IoT; IC,possession,NIST,quantum-attack; insider; tampering,,symmetric-cipher; signature; MAC,IoT; Industrial IoT,method for provisioning a plurality of IC devices; method for reprovisioning a plurality of integrated circuit (IC) devices,,root-keys; cryptographic code,,US17587903; US17587868; US17445742,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for provisioning a plurality of IC devices""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""receiving encrypted assets from a second entity""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""reprovisioning key is a symmetric key""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""reprovisioning key is a private key with secret public key""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""reprovisioning key uses XMSS or LMS""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""provisioning an additional device""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""additional device protection mechanisms""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""provisioning device functionally same as remaining IC devices""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""updated cryptographic assets are post quantum cryptography assets""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""provisioning device operates as intermediary certificate authority""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""reprovisioning process with encryption and space determination""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""updated cryptographic assets are post quantum cryptography assets""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""method for reprovisioning a plurality of integrated circuit (IC) devices""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""clearing user-space""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""authenticating received updated cryptographic assets""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""updated cryptographic assets include key generation code""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""generating secret key based on key generation code""}, {""claim"": 18, ""depends_on"": [13], ""subject"": ""updated cryptographic assets are post quantum cryptography assets""}, {""claim"": 19, ""depends_on"": [13], ""subject"": ""disabling previously provisioned cryptographic assets""}, {""claim"": 20, ""depends_on"": [13], ""subject"": ""provisioning device functionally same as remaining IC devices""}]","[{""algorithm"": ""XMSS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""LMS"", ""status"": ""stateful_hash_standard""}, {""algorithm"": ""RSA"", ""status"": ""classical""}, {""algorithm"": ""ECC"", ""status"": ""classical""}, {""algorithm"": ""AES"", ""status"": ""classical""}]",9.0,"Title explicitly targets post-quantum trust provisioning, aligning with PKI migration and HNDL mitigation.",citations_present:3,high_pqc_relevance,yes,2026-05-06
12567981,Systems and methods for data authentication using composite keys and signatures,Massimiliano Pala,"Cable Television Laboratories, Inc.",2022-01-07,2026-03-03,2022-01-07,H04L9/006,Systems and methods for enhanced PKI using composite or combined digital signatures with multiple keys and algorithms to support algorithm agility and hybrid authentication.,"The invention provides a system for enhanced public key infrastructure that utilizes composite or combined signatures within a single digital certificate field. These signatures are generated using multiple distinct keys and cryptographic algorithms, allowing for independent validation of each signature to ensure trust even if one algorithm is compromised or unsupported.",hybrid,crypto_agility,background_only,"Quantum-based computing devices are mentioned in the background as a motivation for algorithm agility and hybrid PKI (supporting 'quantum resistant' cryptography), but no quantum algorithms or technologies are claimed or implemented in the invention.",PKI; OCSP; X.509,RSA; ECDSA; SHA-256; SHA-512,,none,generation; storage,,,RFC 5280; RFC 3279,cryptanalysis,,signature,PKI,system for enhanced public key infrastructure; system for enhanced public key infrastructure; computing device for enhanced public key infrastructure,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system for enhanced PKI with combined signatures""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""decrypting nested combined signatures""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""determining first cryptographic algorithm""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""validating first cryptographic algorithm""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""validating algorithm via OCSP/CRL""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""checking device capability for algorithm""}, {""claim"": 7, ""depends_on"": [3], ""subject"": ""determining second cryptographic algorithm""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""validating certificate if all signatures valid""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""innermost signature content""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""including revoked algorithm""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""system for enhanced PKI with nested signatures and threshold""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""validating until threshold met""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""updating threshold via revocation message""}, {""claim"": 14, ""depends_on"": [], ""subject"": ""computing device for enhanced PKI""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""decrypting nested combined signatures""}, {""claim"": 16, ""depends_on"": [14], ""subject"": ""determining first cryptographic algorithm""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""validating first cryptographic algorithm""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""validating algorithm via OCSP/CRL""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""checking device capability for algorithm""}, {""claim"": 20, ""depends_on"": [16], ""subject"": ""determining second cryptographic algorithm""}]",[],2,Title and CPCs suggest classical digital signatures; no explicit PQC or NIST standard references found.,no_citations_recorded,low_pqc_relevance,yes,2026-06-08
12567296,Electronic access control system,Lloyd MILEWSKI,Visual Data Pty Ltd,2022-10-07,2026-03-03,2022-10-07,H04L9/006,"An electronic access control system using optical codes and facial recognition for offline, check-in-less entry without requiring internet connectivity.","The system generates booking-specific optical computer readable media encoding access parameters, which are decoded by an electronic door lock apparatus without internet connectivity. Simultaneously, the apparatus captures facial image data to create a profile, enabling subsequent keyless entry via facial recognition alone.",classical_only,none,none,none,,RSA,,none,generation; storage,IoT; mobile,possession; inherence/biometric,,,,symmetric-cipher,IoT,electronic access control system,,biometric,,US10360747,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""electronic access control system""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""code generator interfaces reservation system""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""downloading optical media to client terminal""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""other access control parameters""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""venue specific control parameters""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""check-in and checkout times""}, {""claim"": 7, ""depends_on"": [4], ""subject"": ""booking specific control parameters""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""peripheral electronic device control parameters""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""peripheral electronic device interface""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""sleep state and motion detection""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""2D code""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""audio output for facial detection""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""multiple facial profiles""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""encrypted access parameters""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""public key encryption""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""unique public keys for lock controllers""}, {""claim"": 17, ""depends_on"": [1], ""subject"": ""authorised user facial profiles""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""training mode for authorised users""}, {""claim"": 19, ""depends_on"": [1], ""subject"": ""audio profile verification""}, {""claim"": 20, ""depends_on"": [1], ""subject"": ""updating access parameters via booking ID""}, {""claim"": 21, ""depends_on"": [1], ""subject"": ""plurality of electronic door lock apparatus""}, {""claim"": 22, ""depends_on"": [21], ""subject"": ""lock controller identifiers in media""}]",[],,,citations_present:1,score_pending_review,yes,2026-06-08
20260058797,SERIAL NUMBER GENERATION FOR STATELESS CLOUD CERTIFICATE AUTHORITY,RAHN; Marc et al.,SAP SE,2024-08-21,2026-02-26,2024-08-21,H04L9/0825;H04L9/006;H04L9/3268;H04L9/3297,"A stateless cloud certificate authority generates unique X.509 serial numbers deterministically by concatenating instance index, deployment time, timestamp, and counter, eliminating database dependency.","The invention provides a deterministic algorithm for generating unique certificate serial numbers in a stateless cloud environment without relying on a database to check for collisions. It concatenates a leading zero, instance index, deployment time, generation timestamp, and a mutex-controlled counter to ensure uniqueness across multiple instances and concurrent requests.",unclear,none,none,none,PKI; X.509; TLS; SSL; HTTPS,,,none,generation,cloud,,RFC 5280,collision,deterministic-PRNG,,cloud; PKI,system associated with a public key infrastructure certificate framework; computer-implemented method associated with a public key infrastructure certificate framework; one or more non-transitory computer-readable media storing computer-executable instructions,latency; throughput,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""system associated with a public key infrastructure certificate framework""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""certificate identifier generation timestamp is monotonically increasing""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""determine a certificate identifier generation counter""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""counter created via a counter mutex""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""instance index is a one-byte value""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""instance deployment time is an eight-byte value""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""certificate identifier generation timestamp is an eight-byte value""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""certificate identifier generation counter is a two-byte value""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""certificate identifier is a twenty-byte RFC 5280 value""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""deterministic creation algorithm comprises concatenating specific fields""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""certificate authority server associated with cloud-based PKI service""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""certification service part of integration suite""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""computer-implemented method associated with a public key infrastructure certificate framework""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""instance index is one-byte and deployment time is eight-byte""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""timestamp is eight-byte and counter is two-byte""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""certificate identifier is a twenty-byte RFC 5280 value""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""deterministic creation algorithm comprises concatenating specific fields""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""non-transitory computer-readable media storing instructions for PKI framework""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""certificate authority server associated with cloud-based PKI service""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""certification service part of integration suite""}]",[],,,no_citations_recorded,score_pending_review,yes,2026-05-06
20260058799,PUBLIC KEY INFRASTRUCTURE BASED SESSION AUTHENTICATION,"Schumann, III; Robert Walter et al.","Juniper Networks, Inc.",2025-10-29,2026-02-26,2025-10-29,H04L9/0825;H04L63/0823;H04L9/006;H04L9/0861;H04L9/14;H04L9/3247;H04L9/3263;H04L63/0227;H04L63/126;H04L63/164;H04L63/20,A network device authenticates sessions by verifying PKI-signed metadata containing identity context information within packet headers to apply policy rules without external queries.,The invention embeds PKI information and identity context information as metadata distinct from the packet header. A network device verifies the metadata using the PKI information and applies policy rules based on the verified identity context.,classical_only,none,none,none,TLS; PKI; TCP; UDP; ICMP; ESP; SVR,AES; RC4; RC5; RC6; DES; IDEA; Blowfish,,none,generation; exchange; distribution; rotation,smart-card,possession,,MITM; replay,,symmetric-cipher; signature; hash,telecom; cloud; PKI; government,network device; method; client device,,session-keys,,US9729439,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""network device""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""PKI info comprises public key and signature verification""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""symmetric encryption key generation and exchange""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""symmetric encryption key identifier""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""table mapping key identifier to key and policy rules""}, {""claim"": 6, ""depends_on"": [3], ""subject"": ""interval to generate new symmetric key""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""PKI info from digital certificate""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""identity context information types""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""symmetric encryption of payload""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""method""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""sending packet with metadata""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""PKI info comprises public key and signature verification""}, {""claim"": 13, ""depends_on"": [10], ""subject"": ""establishing connection and exchanging symmetric key""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""TLS handshake with certificate validation""}, {""claim"": 15, ""depends_on"": [13], ""subject"": ""symmetric encryption key identifier""}, {""claim"": 16, ""depends_on"": [13], ""subject"": ""interval to generate new symmetric key""}, {""claim"": 17, ""depends_on"": [10], ""subject"": ""modifying packet to include session identifier""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""client device""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""establishing connection and receiving symmetric key""}, {""claim"": 20, ""depends_on"": [18], ""subject"": ""identity context and PKI info details""}]",[],2,CPC codes indicate classical PKI and session auth; no explicit PQC algorithms or migration signals found.,citations_present:1,low_pqc_relevance,yes,2026-06-08
20260050672,CUSTOM SOFTWARE INSTALLATION BUNDLES FOR A HYPERVISOR,Ramamurthy; Arjun et al.,VMware LLC,2024-08-14,2026-02-19,2024-08-14,G06F21/57;G06F21/572;G06F8/61;G06F8/63;G06F9/45558;H04L9/006;H04L9/3247;H04L9/3263,A method for installing custom software bundles in a hypervisor by using vendor-signed certificate bundles to establish trust for user-generated digital signatures.,"The invention enables a hypervisor to install custom software installation bundles (SIBs) signed by a user by first installing a separate SIB containing the user's certificate, which is signed by a trusted vendor. This process adds the user's certificate to the hypervisor's key store, allowing subsequent verification of the user's custom SIB signatures.",classical_only,none,none,none,PKI,RSA; ECDSA; SHA-256,,none,generation; storage,,,,tampering,,signature; hash,cloud; PKI,method of installing a first software installation bundle; non-transitory computer readable medium; computer,,,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of installing a first software installation bundle""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""vendor creates second SIB with user certificate""}, {""claim"": 4, ""depends_on"": [2], ""subject"": ""vendor creates first SIB with unique key pair""}, {""claim"": 5, ""depends_on"": [2], ""subject"": ""user creates first SIB using vendor tool""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""receiving SIBs from disk image""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""user creates disk image using vendor tool""}, {""claim"": 8, ""depends_on"": [], ""subject"": ""non-transitory computer readable medium""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""vendor creates second SIB with user certificate""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""vendor creates first SIB with unique key pair""}, {""claim"": 12, ""depends_on"": [10], ""subject"": ""user creates first SIB using vendor tool""}, {""claim"": 13, ""depends_on"": [8], ""subject"": ""receiving SIBs from disk image""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""user creates disk image using vendor tool""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""computer comprising hardware and software""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""key pair generation by user and vendor""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""vendor creates second SIB with user certificate""}, {""claim"": 18, ""depends_on"": [16], ""subject"": ""vendor creates first SIB with unique key pair""}, {""claim"": 19, ""depends_on"": [16], ""subject"": ""user creates first SIB using vendor tool""}, {""claim"": 20, ""depends_on"": [15], ""subject"": ""receiving SIBs from disk image""}]",[],2.0,Focuses on hypervisor software installation bundles with no explicit PQC algorithm or migration signals.,no_citations_recorded,low_pqc_relevance,yes,2026-05-06
