category_id,category_name,pqc_priority,total_software_products,pqc_ready_products,readiness_percentage,related_threats,timeline_pressure,urgency_score,recommended_action_timeline,industries_affected,recommended_action_timeline_original,timeline_status,date_stamp,last_reviewed_date,last_reviewed_by
CSC-006,Disk and File Encryption Software,High,8,2,25.0,12,6,60.8,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-007,Database Encryption Software,High,12,1,8.3,12,5,59.3,2026-Q3,"Finance, Healthcare, Retail, Government",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-009,Digital Signature Software,High,13,5,38.5,22,5,68.6,2026-Q3,"Finance, Legal, Government, Healthcare",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-008,Email Encryption Software,High,21,7,33.3,12,5,58.9,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-017,Code Signing and Software Integrity,High,13,4,30.8,10,5,59.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-028,Cloud Encryption Gateways,High,11,8,72.7,15,4,58.1,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-018,Cryptographic Protocol Analyzers,Medium,10,1,10.0,14,13,62.7,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-010,VPN and IPsec Software,High,23,13,56.5,3,5,54.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-030,Quantum Key Distribution Software,Low,13,7,53.8,36,44,80.0,2026-Q3,"Defense, Government, Finance",2026-Q1,PAST_DUE,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-011,Secure Messaging and Communication,High,24,10,41.7,11,2,57.7,2026-Q3,"Defense, Government, Finance, Healthcare",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-014,SSH Implementation Software,High,11,9,81.8,4,15,59.5,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-031,Operating Systems,High,42,19,45.2,18,22,65.8,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-032,Network Operating Systems,High,8,3,37.5,14,18,66.8,2026-Q3,"Enterprise, Telecom, Government",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-033,Network Security Software,High,31,15,48.4,16,16,69.0,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-034,Hardware Security and Semiconductors,High,80,52,65.0,12,14,67.1,2026-Q3,"Government, Defense, Finance, IoT",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-057,Digital Asset Custody,High,17,1,5.9,12,18,72.5,2026-Q3,"Cryptocurrency, Finance, Enterprise",2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-058,Blockchain & DLT Protocols,Critical,37,11,29.7,14,22,71.4,2026-Q3,"Cryptocurrency, DeFi, Web3, Finance, Enterprise",2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-036,Remote Access and VDI Software,High,9,1,11.1,6,12,62.4,2026-Q3,"Enterprise, Finance, Government",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-037,Web Browsers,Critical,5,5,100.0,6,16,58.2,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-049,Cryptographic Discovery Platforms,Critical,31,14,45.2,10,20,65.9,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-038,Application Servers,High,16,4,25.0,12,15,64.3,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-040,CI/CD & Artifact Management,High,13,3,23.1,14,12,65.3,2026-Q3,All industries,2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-041,Certificate Lifecycle Management,Critical,20,12,60.0,25,22,73.5,2026-Q3,All industries,2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-042,Identity & Access Management (IAM),Critical,16,1,6.2,18,18,73.0,2026-Q3,All industries,2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-043,Data Security & Protection,High,32,12,37.5,20,16,72.5,2026-Q3,"Finance, Healthcare, Government",2026-Q2,CURRENT_QUARTER_AT_RISK,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
CSC-044,Customer Identity & Access Management (CIAM),Medium,9,0,0.0,12,10,66.5,2026-Q3,"Retail, Finance, Healthcare",2026-Q3,on_schedule,2026-05-06,2026-08-29,"Best-effort recount 2026-08-29 -- total_software_products recomputed as ALL migrate-catalog rows with this category_id, matching validate:data's own N8 check exactly (regardless of deprecated/active status -- N8's own counting logic applies no status filter). pqc_ready_products recomputed as active rows only with pqc_status_canonical='available'; readiness_percentage = ready/total. No documented scoring formula was found -- the CSV's own prior note pointed at a pqctoday-priv family doc that turned out to be a stale 2026-04-26 audit of an old 241-row version of this file, which itself calls the formula ""UNVERIFIABLE"". pqc_priority, related_threats, timeline_pressure, urgency_score, recommended_action_timeline left UNCHANGED (same reason as the prior pass -- no documented formula to recompute them by)."
