vendor_id,vendor_name,roadmap_url,roadmap_title,roadmap_type,publish_date,last_verified_date,coverage_notes,downloadable,local_file,status,deprecated_at,deprecated_reason
VND-019,IBM Corporation,https://research.ibm.com/blog/quantum-safe-roadmap,IBM Quantum-Safe Roadmap,blog_post,2023-05-10,2026-06-06,"IBM Quantum-Safe Roadmap (page dated 2023-05-10, unchanged) outlines crypto-agility via the IBM Quantum Safe portfolio: Explorer (code scanning / cryptographic artifact discovery), Advisor (posture & compliance analysis, CBOM), and Remediator (test/implement hybrid quantum-safe remediation). Phased path: inventory (2023), adopt NIST standards (2024), CNSA 2.0 preference (2025). Also Guardium, z/OS, OpenSSL integrations. | Milestone: IBM Quantum Safe Explorer/Advisor/Remediator for crypto inventory (CBOM), risk analysis, and hybrid quantum-safe remediation; aligned to NIST 2024 standards and 20",yes,public/vendor-roadmaps/VND-019_IBM_Corporation.html,active,,
VND-021,Infineon Technologies AG,https://www.infineon.com/promo/postquantumcryptography,Infineon Post-Quantum Cryptography,official_doc,2025-10-15,2026-06-06,"Infineon PQC hub: SLC27 security controller (TEGRION family, Integrity Guard 32) launched Oct 2025 with Common Criteria-certified PQC library (ML-KEM, ML-DSA), crypto-agility and in-field updates, hardened against fault/side-channel. PSOC Control C3 Performance Line samples by end-2025, production 2026 adding ML-DSA on-device key gen/signing and ML-KEM for TLS. Automotive MCUs upgraded for PQC; LMS support. | Milestone: SLC27 PQC-certified contactless/dual-interface security controller launched Oct 2025 with CC-certified ML-KEM + ML-DSA crypto library (TEGRION family, Integrity Guard 32); PSOC",yes,public/vendor-roadmaps/VND-021_Infineon_Technologies_AG.html,active,,
VND-024,Keyfactor Inc.,https://www.keyfactor.com/post-quantum-cryptography-lab/,Keyfactor Post-Quantum Cryptography Lab,official_doc,2025-01-01,2026-06-06,"Keyfactor PQC Lab is a resource hub (webinars, sandboxed test envs, toolkits) emphasizing crypto-agility ahead of the 2035 deadline. EJBCA 9.1 and SignServer 7.1 add quantum-safe algorithms (Dilithium/ML-DSA, SPHINCS+/SLH-DSA, Falcon) via Bouncy Castle APIs; Keyfactor Command for certificate lifecycle/IoT PKI; ACME support. Free trials on Azure Marketplace. | Milestone: EJBCA 9.1 and SignServer 7.1 deliver PQC: issuance/signing with ML-DSA (Dilithium), SLH-DSA (SPHINCS+) and Falcon via Bouncy Castle; Command available for crypto-agile PKI/cert lifecycle",yes,public/vendor-roadmaps/VND-024_Keyfactor_Inc..html,active,,
VND-025,The Legion of the Bouncy Castle Inc.,https://www.bouncycastle.org/resources/latest-nist-pqc-standards-and-more-bouncy-castle-java-1-79/,Bouncy Castle: NIST PQC Standards Support (Java 1.79+),blog_post,2024-10-31,2026-06-06,"Bouncy Castle Java 1.79 (released 2024-10-31) adds the finalized NIST PQC algorithms ML-KEM, ML-DSA and SLH-DSA, CMS KEM support (RFC 9269), enhanced OpenPGP (Argon2, v6 sigs), and draft Composite Signatures / Delta-Chameleon support for migration planning. PQC Almanac provides Java and C# (.NET) migration guidance. | Milestone: Bouncy Castle Java 1.79 ships finalized NIST PQC: ML-KEM, ML-DSA, SLH-DSA; CMS KEM support per RFC 9269; draft Composite Signatures and Delta/Chameleon for migration testing",yes,public/vendor-roadmaps/VND-025_The_Legion_of_the_Bouncy_Castle_Inc..html,active,,
VND-027,Microsoft Corporation,https://www.microsoft.com/en-us/security/blog/2025/08/20/quantum-safe-security-progress-towards-next-generation-cryptography/,Microsoft Quantum-Safe Security: Progress Towards Next-Generation Cryptography,official_doc,2025-08-20,2026-06-06,"Microsoft quantum-safe roadmap: SymCrypt foundation with ML-KEM/ML-DSA exposed through Windows CNG and certificate APIs; SymCrypt 1.9.0 adds TLS hybrid key exchange (coming to Windows TLS stack). PQC previewing for Windows Insiders and Linux. Three-phase strategy (foundational libs -> core infra/Entra/key mgmt/signing -> all services Windows/Azure/M365). Early adoption by 2029, full transition by 2033. | Milestone: ML-KEM and ML-DSA available via Windows APIs (CNG/Certificate funcs); SymCrypt 1.9.0 supports TLS hybrid key exchange; early adoption by 2029, full transition by 2033 (ahead of 2035",yes,public/vendor-roadmaps/VND-027_Microsoft_Corporation.html,active,,
VND-028,NXP Semiconductors N.V.,https://www.nxp.com/company/about-nxp/smarter-world-blog/BL-NXP-STANDS-POST-QUANTUM-CRYPTOGRAPHY,NXP Stands at the Forefront of Post-Quantum Cryptography,blog_post,2024-11-01,,,yes,public/vendor-roadmaps/VND-028_NXP_Semiconductors_N.V..html,active,,
VND-029,Oracle Corporation,https://blogs.oracle.com/security/post-quantum-cryptography,Preparing for Post Quantum Cryptography | Oracle Security,blog_post,2025-10-01,,,true,public/vendor-roadmaps/VND-029_Oracle_Corporation.html,active,,
VND-030,PQShield Ltd.,https://pqshield.com/products/pqc-sdk/,PQShield PQCryptoLib-SDK: ML-KEM and ML-DSA,official_doc,2025-09-01,2026-06-06,"PQShield's PQCryptoLib-Core is FIPS 140-3 CMVP-certified (ML-KEM/FIPS 203 + ML-DSA/FIPS 204, hybrid ECDH+ML-KEM) and listed on NIST's Implementation Under Test list. Product family: PQCryptoLib-SDK (OpenSSL 3.x integration), PQMicroLib-Core, hardware IP cores (PQPlatform-CoPro, PQPerform-Flare/Inferno/Flex), PQE2E messaging. FIPS 203/204/205 coverage. | Milestone: PQCryptoLib-Core achieved FIPS 140-3 CMVP certification (incl. ML-KEM FIPS 203 + ML-DSA FIPS 204 and hybrid ECDH+ML-KEM); now progressing on NIST IUT/MIP list toward expanded validation.",yes,public/vendor-roadmaps/VND-030_PQShield_Ltd..html,active,,
VND-031,Palo Alto Networks Inc.,https://docs.paloaltonetworks.com/network-security/quantum-security/administration/quantum-security-concepts/post-quantum-migration-planning-and-preparation,Palo Alto Networks Post-Quantum Migration Planning and Preparation,official_doc,2026-05-26,2026-06-06,"Official PQC migration planning guidance (updated May 2026). Five-step migration framework (resources, responsibilities, crypto inventory, evaluation/testing, monitoring) and Mosca model for urgency. Quantum-resistant IKEv2 VPNs on PAN-OS 11.1+ via RFC 8784, plus RFC 9242/9370 multi/hybrid key exchange; Quantum-Safe Security app for cryptographic inventory. | Milestone: PAN-OS 11.1+ quantum-resistant IKEv2 VPNs via RFC 8784 (immediate priority), with RFC 9242/9370 for multiple/hybrid IKEv2 key exchanges; Quantum-Safe Security app for crypto inventory.",yes,public/vendor-roadmaps/VND-031_Palo_Alto_Networks_Inc..html,active,,
VND-032,Red Hat Inc.,https://www.redhat.com/en/blog/building-levee-why-red-hats-post-quantum-strategy-already-production,Building the levee: Red Hat's post-quantum strategy is already in production,blog_post,2025-05-01,,,yes,public/vendor-roadmaps/VND-032_Red_Hat_Inc..html,active,,
VND-035,Samsung Electronics Co. Ltd.,https://news.samsung.com/global/the-first-step-to-a-quantum-safe-future-with-samsung-knox,The First Step to a Quantum-Safe Future With Samsung Knox,blog_post,2025-01-22,2026-06-06,"Samsung Knox Matrix gains Post-Quantum Enhanced Data Protection (EDP) using ML-KEM (FIPS 203, lattice-based), debuting on Galaxy S25 (first device on One UI 7) — industry-first PQC-based cloud/cross-device data protection. Extends quantum-safe protection across the Knox cross-device trust ecosystem. | Milestone: Galaxy S25 (One UI 7) is first to support PQC-based cloud data protection: ML-KEM (FIPS 203) integrated into Knox Matrix via Post-Quantum Enhanced Data Protection (EDP).",yes,public/vendor-roadmaps/VND-035_Samsung_Electronics_Co._Ltd..html,active,,
VND-037,Securosys SA,https://www.securosys.com/en/hsm/post-quantum-cryptography,Securosys Post-Quantum Cryptography HSM,official_doc,2024-08-20,2026-06-06,"Securosys PQC HSM offering across Primus CyberVault on-prem HSMs and CloudHSM (Economy/Sandbox tiers). Supports the five NIST-standardized PQC algorithms — ML-KEM, ML-DSA, SLH-DSA, HSS-LMS, XMSS — and hybrid classical+PQC operations for gradual migration. Collaborates with HSLU researchers on PQC TLS performance (key agreement + authentication). | Milestone: Primus X CyberVault HSM and CloudHSM support all five NIST PQC algorithms (ML-KEM, ML-DSA, SLH-DSA, HSS-LMS, XMSS) with hybrid RSA/ECC+PQC operations.",yes,public/vendor-roadmaps/VND-037_Securosys_SA.html,active,,
VND-041,Thales Group,https://cpl.thalesgroup.com/encryption/post-quantum-crypto-agility,Post-Quantum Crypto Agility | Thales CPL,official_doc,2025-07-29,,,yes,public/vendor-roadmaps/VND-041_Thales_Group.html,active,,
VND-042,Utimaco IS GmbH,https://utimaco.com/data-protection/gp-hsm/application-package/quantum-protect,Utimaco Quantum Protect — PQC Application Package for GP HSM,official_doc,2025-04-02,2026-06-06,"Utimaco Quantum Protect extends u.trust General Purpose HSM Se-Series with PQC via in-field firmware upgrade (no hardware swap). Supports ML-KEM (FIPS 203), ML-DSA (FIPS 204), and hash-based LMS/HSS/XMSS/XMSS-MT; SLH-DSA (FIPS 205) on the roadmap (in progress). Crypto-agile design plus a free PQC simulator for pre-deployment evaluation. | Milestone: Quantum Protect on u.trust GP HSM Se-Series supports ML-KEM (FIPS 203) + ML-DSA (FIPS 204) and LMS/HSS/XMSS/XMSS-MT today; SLH-DSA (FIPS 205) in progress.",yes,public/vendor-roadmaps/VND-042_Utimaco_IS_GmbH.html,active,,
VND-045,wolfSSL Inc.,https://www.wolfssl.com/support-for-the-official-post-quantum-standards-ml-kem-and-ml-dsa/,wolfSSL Support for NIST PQC Standards (ML-KEM & ML-DSA),blog_post,2024-10-01,2026-06-06,"wolfSSL/wolfCrypt have full production support for ML-KEM (FIPS 203) and ML-DSA (FIPS 204), usable across wolfSSL, wolfBoot and wolfPKCS11 for embedded/IoT/TLS. SLH-DSA (FIPS 205) offered for specialized applications on request. Page revised Sep/Oct 2024. | Milestone: Full ML-KEM (FIPS 203) and ML-DSA (FIPS 204) implementation shipping in wolfSSL/wolfCrypt today; SLH-DSA available on request",yes,public/vendor-roadmaps/VND-045_wolfSSL_Inc..html,active,,
VND-057,Cloudflare Inc.,https://blog.cloudflare.com/post-quantum-roadmap/,Cloudflare Post-Quantum Roadmap,blog_post,2026-04-07,2026-06-06,"Cloudflare's PQC roadmap (refreshed Apr 7, 2026) now targets full post-quantum security including PQ authentication by 2029, accelerated from prior timelines due to advances in attacks on elliptic-curve crypto. Focus shifting from encryption (harvest-now-decrypt-later) to PQ authentication across CDN, Zero Trust, Workers, Gateway and WARP. Intermediate milestones noted but not dated in this post. | Milestone: Target to be fully post-quantum secure (including post-quantum authentication) by 2029",yes,public/vendor-roadmaps/VND-057_Cloudflare_Inc..html,active,,
VND-058,HashiCorp Inc.,https://www.hashicorp.com/en/blog/nist-s-post-quantum-cryptography-standards-our-plans,HashiCorp Post-Quantum Cryptography Plans,blog_post,2024-09-04,2026-06-06,"HashiCorp plans phased PQC adoption beginning with the Vault transit secrets engine, incorporating the three NIST algorithms (ML-KEM first; ML-DSA/SLH-DSA later) and hybrid classical+PQ schemes, expanding to other products as Go and standards bodies converge. No firm version/release dates given. | Milestone: Staged PQC rollout in Vault starting with the transit secrets engine, adopting NIST ML-KEM/ML-DSA/SLH-DSA and hybrid schemes as Go/standards support matures",true,public/vendor-roadmaps/VND-058_HashiCorp_Inc..html,active,,
VND-059,Venafi Inc.,https://docs.venafi.com/Docs/24.3/TopNav/Content/CodeSigning/t-codesigning-pqc.php,"Venafi/CyberArk: Experimental PQC Support (TLS + CodeSign Protect, TPP 24.3)",official_doc,2025-07-01,2026-06-06,"Venafi/CyberArk Trust Protection Platform 24.3 provides experimental PQC support: ML-DSA and SLH-DSA in CodeSign Protect (with libhsm/PKCS#11), and Falcon limited to TLS certificates in TLS Protect. Marked experimental to aid PQC migration planning. Doc topic updated 01 Jul 2025. | Milestone: Experimental PQC support in Trust Protection Platform 24.3 — ML-DSA & SLH-DSA in CodeSign Protect, Falcon for TLS certificates",yes,public/vendor-roadmaps/VND-059_Venafi_Inc..html,active,,
VND-060,Okta Inc.,https://www.okta.com/blog/customers-and-partners/okta-ventures-request-for-builders-five-key-focus-areas-in-identity-and-security/,Okta Ventures: PQC as Strategic Focus Area,blog_post,2025-04-01,2026-06-06,"Okta's only public PQC-related statement is via Okta Ventures' 'Request for Builders' (Apr 1, 2025), naming post-quantum cryptography as one of five identity/security investment focus areas. This is advisory/investment-oriented, not an Okta product roadmap; no concrete Okta product PQC milestones or dates published. | Milestone: No concrete Okta product PQC milestone; PQC named as an Okta Ventures investment focus area only",yes,public/vendor-roadmaps/VND-060_Okta_Inc..html,active,,
VND-106,Hex Trust,,No public PQC roadmap found,,,2026-06-06,"No published post-quantum cryptography roadmap found for Hex Trust. Press releases and insights cover custody (Hex Safe on IBM LinuxONE/HSM), staking, stablecoins and DeFi but make no mention of PQC, quantum-resistant cryptography, or crypto-agility milestones. Industry commentary references quantum custody risk generally but no Hex Trust-specific commitment.",no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-108,Komainu,,No public PQC roadmap found,,,2026-06-06,"No published post-quantum cryptography roadmap found for Komainu. Its expertise/custody-technology pages describe HSM and MPC key management (noting MPC offers cryptographic agility) but contain no explicit PQC, ML-KEM/ML-DSA, or quantum-transition roadmap or target dates.",no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-112,Metaco / Ripple,https://ripple.com/insights/post-quantum-readiness-on-the-xrp-ledger/,Post-Quantum Readiness on the XRP Ledger,blog_post,2026-04-20,2026-06-06,"Ripple's official PQC roadmap (Apr 20, 2026) lays out a four-phase XRPL plan: (1) ongoing Q-Day readiness/contingency planning, (2) proactive planning & experimentation in H1 2026, (3) exploration of post-quantum primitives in H2 2026, (4) full transition to PQ signatures targeting 2028. Includes custody prototype work with Project Eleven and quantum-safe signature research. No Metaco-branded PQC roadmap; Ripple is the parent/relevant source. | Milestone: Full transition to post-quantum signatures on the XRP Ledger targeting 2028; PQ primitive exploration in H2 2026",yes,public/vendor-roadmaps/VND-112_Metaco_Ripple.html,active,,
VND-116,Signal Foundation,https://signal.org/blog/pqxdh/,Signal PQXDH: Post-Quantum Key Agreement,blog_post,2023-09-19,2026-06-06,Signal app PQXDH protocol combines X25519 ECDH with CRYSTALS-Kyber (ML-KEM) for quantum-resistant initial key agreement; implemented in libsignal and live in client apps. Subsequent SPQR (Sparse Post-Quantum Ratchet) work extends PQC beyond the handshake. | Milestone: PQXDH (X25519 + CRYSTALS-Kyber/ML-KEM hybrid) shipped in Signal clients and libsignal; default for new chats with plan to phase out classic X3DH. Follow-on SPQR/Triple Ratchet work extends PQC to the ongoing ratchet.,yes,public/vendor-roadmaps/VND-116_Signal_Foundation.html,active,,
VND-127,Broadcom Inc.,https://blogs.vmware.com/cloud-foundation/2026/04/28/post-quantum-readiness-on-vcf/,VMware Cloud Foundation Post-Quantum Readiness,blog_post,2026-04-28,2026-06-06,VMware Cloud Foundation - vSAN/VM/vMotion AES-256 data-at-rest; Avi (NSX ALB) hybrid PQC TLS key exchange live; CNSA 2.0-aligned rollout with full transition by 2035; FIPS-gated ML-KEM/ML-DSA integration; CBOM/crypto-agility initiative. | Milestone: Broadcom commits VCF to CNSA 2.0 timelines with full quantum-resistant transition by 2035. Today VCF uses AES-256 for vSAN/VM/vMotion encryption; Avi Load Balancer already supports hybrid PQC key exchange in TLS. Broader PQC adoption gated on FIPS-certified libraries (FIPS 206 expected late 2026/early 2027) and TPM 2.0 v185 ML-KEM/ML-DSA support.,yes,public/vendor-roadmaps/VND-127_Broadcom_Inc..html,active,,
VND-136,Descope,,No public roadmap found,,,2026-06-06,No published Descope-specific post-quantum cryptography roadmap found. Descope (authentication/CIAM platform) has no public PQC roadmap or timeline as of June 2026.,no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-138,Stytch,,No public roadmap found,,,2026-06-06,No published Stytch-specific post-quantum cryptography roadmap found. Stytch (authentication/CIAM platform) has no public PQC roadmap or timeline as of June 2026.,no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-146,Robust Intelligence (Cisco AI Defense),https://www.cisco.com/site/us/en/about/trust-center/post-quantum-cryptography.html,Cisco Post-Quantum Cryptography (Trust Center),official_doc,2026-02-01,2026-06-06,Robust Intelligence is now part of Cisco (AI Defense / Foundation AI); it has no separate PQC roadmap and inherits Cisco's program. Cisco Quantum Resilience Framework (quantum-safe communications + quantum-safe products) targets quantum-safe communications across most core products by Dec 2026; IOS XE 26 full-stack PQC; ML-KEM/ML-DSA/SLH-DSA rollout 2026-2027. | Milestone: Cisco commits to quantum-safe communications across most of its core portfolio by December 2026 under its Quantum Resilience Framework. Network examples: FTD 10.5/ASA 9.25 (ML-KEM VPN) targeted late 2026; FTD/ASA 11.0 add ML,yes,public/vendor-roadmaps/VND-146_Robust_Intelligence_Cisco_AI_Defense_.html,active,,
VND-147,Galileo,,No public roadmap found,,,2026-06-06,"No published post-quantum cryptography roadmap found for Galileo (the AI evaluation/observability company, galileo.ai). Search surfaced only unrelated academic work on the EU Galileo GNSS/OSNMA satellite system, which is a different entity. As an AI app-layer vendor, Galileo relies on underlying TLS/cloud providers and has no public PQC roadmap.",no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-149,Arm Ltd.,,No public PQC roadmap with timeline found,,,2026-06-06,"No official Arm PQC roadmap with a published timeline found. Mbed TLS PQC integration planned post-NIST standardization (ML-KEM prioritized; LMS already supported for firmware signing). Arm Cortex-M4 serves as NIST's reference platform for PQC benchmarking (pqm4); TrustZone-based PQ fTPM architectures discussed in research, not as an Arm product roadmap. | Milestone: Arm's Mbed TLS library has PQC on its roadmap (ML-KEM likely first as KEM is more urgent than signatures) but no committed dates; Mbed TLS already ships LMS for quantum-resistant firmware signing. No published Arm architecture-lev",no-url,,active,,
VND-151,Microchip Technology Inc.,https://www.microchip.com/en-us/solutions/technologies/embedded-security/post-quantum-cryptography,Microchip Technology Post-Quantum Cryptography (PQC),official_doc,2026-04-28,2026-06-06,"Trust Shield PQC-ready portfolio: TS1800 Platform Root of Trust, TS500/TS501 secure boot controllers with hybrid PQC + classical firmware authentication (NIST SP 800-193 PFR, rollback protection, crisis recovery); x86 and Arm Cortex compatible; secure provisioning and crypto-agile architectures for CNSA 2.0 compliance. | Milestone: Microchip expanded its PQC-ready Trust Shield root-of-trust family (announced 2026-04-28): TS1800 Platform Root of Trust and TS50x secure boot controllers (TS500 in-line SoC-to-SPI-Flash, TS501 with integrated SPI Flash) using hybrid PQC + classical signature verifi",true,public/vendor-roadmaps/VND-151_Microchip_Technology_Inc..html,active,,
VND-160,BeyondTrust,,No public PQC roadmap found,,,2026-06-06,"No official BeyondTrust-published PQC roadmap. Security/encryption docs (EPM, Remote Support) mention TLS/storage encryption but no quantum-safe migration plan or PQC algorithm commitments. 2023 trend blog references quantum computing generically only.",no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-161,CrowdStrike Holdings Inc.,,No public PQC roadmap found,,,2026-06-06,"CrowdStrike has no self-published PQC roadmap. Falcon for IT advertises 'post-quantum cryptography readiness' use cases, and a Marketplace integration with InfoSec Global AgileSec Analytics provides PQC discovery/monitoring across infrastructure, but these are partner-enabled discovery capabilities, not a CrowdStrike PQC migration roadmap with dated milestones.",no-url,,deprecated,2026-06-06,no published PQC roadmap confirmed 2026-06-06
VND-164,Qualys Inc.,https://docs.qualys.com/en/certview/latest/assets_certificates/pqc_details.htm,Qualys CertView/Platform: PQC Detection Support,official_doc,2026-04-01,2026-06-06,"Qualys provides PQC scanning/detection capability: QID 38994 reports server support for PQC (KEM) key-exchange algorithms; coverage spans VM, Certificate View, WAS, EASM and authenticated VM scans. Doc is current (April 2026 copyright). User documentation for an existing capability rather than a forward-looking roadmap; no specific algorithm names or future milestone dates listed. | Milestone: PQC key-exchange detection across VM, CertView, WAS, EASM and VM_AUTH scans via QID 38994 (reports whether a server supports PQC KEM key exchange).",yes,public/vendor-roadmaps/VND-164_Qualys_Inc..html,active,,
VND-168,Arqit Quantum Inc.,https://arqitgroup.com/company/our-approach,Arqit Quantum-Safe Security Approach,product_page,2025-01-01,2026-06-06,"Arqit's quantum-safe approach centers on the SKA Platform (Symmetric Key Agreement) delivering quantum-safe key agreement with perfect forward secrecy; products: PQC Migration / Encryption Intelligence (crypto discovery), SKA Edge & Central Controllers, NetworkSecure. FIPS 140-3 validated, hybrid/crypto-agile, supports symmetric-only provisioning. Formally verified (Tamarin, Univ. of Surrey). Recent 2024-2025 industry awards. | Milestone: FIPS 140-3 validated Symmetric Key Agreement (SKA) Platform with hybrid crypto-agility; software-only SKA Edge/Central Controllers plus NetworkSecure and PQC",yes,public/vendor-roadmaps/VND-168_Arqit_Quantum_Inc..html,active,,
