category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason
SATELLITE,Satellite link encryption,Long-lived key protection for satellite command and telemetry,Aerospace,10,9,9,,2030-12-31,NSA MCS/CNSA 2.0 guidance. CCSDS 352.0-B space data link security. Long mission lifetimes require hybrid PQC from manufacture.,United States;European Union;Japan,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
PKI-HSPD12,PKI / HSPD-12,Federal identity credentialing and PIV card cryptography,Government & Defense,6,9,9,,2025-12-31,NIST SP 800-73-5 for PIV cards. OMB M-22-09 zero trust requires updated PKI. Federal PQC deadline: 2025.,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
CLASSIFIED,Classified data exchange,Cryptographic protection of classified communications,Government & Defense,10,10,10,,2025-12-31,NSA CNSA 2.0 mandatory for NSS. All classified systems must complete PQC transition by 2025.,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
DNS-DNSSEC,DNS/DNSSEC,DNS resolution integrity and DNSSEC zone signing,Technology;Telecommunications,3,8,8,,2027-12-31,IETF draft-ietf-dnsop-dnssec-pqc. ICANN/IANA DNSSEC root key migration to ML-DSA in planning.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
TIMESTAMPING,Timestamping services,Long-lived cryptographic timestamps for legal and financial evidence,Finance & Banking;Government & Defense,9,7,7,,2030-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
BACKUP-ENC,Backup/archive encryption,Encryption of backup tapes and cloud archives and disaster recovery stores,Healthcare;Finance & Banking;Government & Defense,9,6,6,,2030-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
API-GATEWAY,API gateway / microservices,mTLS and JWT signing for service-to-service communication,Technology;Finance & Banking,5,8,8,,2026-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
SECURE-BOOT,Secure boot (non-automotive),Root-of-trust and firmware verification for servers and devices,Technology;Government & Defense,4,8,8,,2028-12-31,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
under-1y,Less than 1 year,Data that needs to stay confidential for under a year,,,1,1,1,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
1-5y,1-5 years,Data with a short to medium confidentiality window,,,3,5,3,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
5-10y,5-10 years,Data requiring a medium to long-term confidentiality window,,,6,10,7,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
10-25y,10-25 years,Data requiring long-term confidentiality protection,,,8,25,15,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
25-plus,25+ years,Data with very long or archival confidentiality requirements,,,10,30,30,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
indefinite,Indefinite,Data with no defined expiration of confidentiality,,,10,50,0,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
auto-1-3y,1-3 years (telematics),Vehicle telemetry and OBD diagnostic records,Automotive,,3,3,2,,,United States;European Union,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
auto-vehicle-lifetime,10-15 years (vehicle lifetime),"ECU firmware, V2X certificates and vehicle safety-critical software",Automotive,,8,15,12,,,United States;European Union;Japan,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
2y,2 years (CDR / telecom),Call detail records typical retention for mobile operators,Telecommunications,,2,2,2,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
6y,6 years (HIPAA minimum),Minimum retention under HIPAA for protected health information,Healthcare,,6,6,6,,,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
7y,7 years (financial records),Standard regulatory records retention for financial institutions,Finance & Banking,,7,7,7,,,United States;Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
75y-plus,75+ years (government archival),Long-lived government and national security archival records,Government & Defense,,10,75,75,,,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
3y-soc2,3 years (SOC 2 / audit logs),Security audit logs and access records under SOC 2 Trust Service Criteria,Technology,,3,3,3,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
3y-nerc,3 years (NERC CIP-007),Security event logs and cyber compliance records under NERC CIP-007-6 R5,Energy & Utilities,,4,3,3,,,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
7y-ferc,7 years (FERC / billing),Operational and billing records under FERC and IRS retention requirements,Energy & Utilities,,7,7,7,,,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
aircraft-lifetime,Aircraft lifetime (20-40 years),"DO-178C software lifecycle data and FAA airworthiness records per 14 CFR §91.417, maintained for the service life of the aircraft",Aerospace,,10,40,30,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
1y-pci-logs,1 year (PCI DSS audit logs),Payment transaction audit logs with 90 days immediately accessible per PCI DSS v4 Req. 10.7,Retail & E-Commerce,,2,1,1,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
2y-pci,2 years (PCI DSS cardholder data),Maximum cardholder data storage period under PCI DSS requirements,Retail & E-Commerce,,3,2,2,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
6y-ferpa,6 years (FERPA / financial aid),Student financial aid records under FERPA and 34 CFR §668.24,Education,,6,6,6,,,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
permanent-transcripts,Permanent (academic transcripts),Academic transcripts and degrees maintained indefinitely per institutional policy and most state laws,Education,,8,100,0,,,United States;Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
permanent,Permanent (state secrets),Records with no defined expiration date,Government & Defense,,10,100,0,,,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
phi,Protected Health Information (PHI),"Patient records, diagnoses, prescriptions, lab results",Healthcare,15,,8,,2030-12-31,HIPAA Security Rule + NIST SP 1800-38 Healthcare PQC migration guide. HHS enforcement applies to covered entities.,United States;European Union;Canada;Australia,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
genomic-data,Genomic / clinical trial data,"DNA sequencing, biobank records, longitudinal research",Healthcare,25,,7,,2032-12-31,"GDPR special category, HIPAA, Genomics England NHS protocols. Genomic data has permanent sensitivity for individuals.",United States;European Union;United Kingdom,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
admin-health,Administrative health records,"Scheduling, billing codes, facility operations",Healthcare,5,,6,,2032-12-31,HIPAA Administrative Simplification. Billing codes and scheduling data — lower sensitivity but covered by HIPAA.,United States;European Union,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
customer-financial,Customer financial records,"Account balances, transactions, credit scores, PII",Finance & Banking,15,,8,,2030-12-31,"GLBA (FTC Safeguards Rule), DORA (EU), PCI DSS v4. Covered institutions subject to NIST/CISA migration guidance.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
trading-algos,Trading algorithms / proprietary models,"HFT strategies, risk models, pricing engines",Finance & Banking,25,,9,,2028-12-31,"SEC Reg SCI, FINRA cybersecurity rules. HFT source code represents extreme IP risk from HNDL nation-state attacks.",United States;European Union;United Kingdom,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
transaction-logs,Transaction logs,"Audit trails, reconciliation records, batch processing data",Finance & Banking,5,,7,,2030-12-31,PCI DSS v4 (2025 baseline mandate). SOX electronic records integrity. Timestamping systems must use PQC-safe signing.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
classified-info,Classified information (TS/SCI),"National security data, intelligence products",Government & Defense,25,,10,,2025-12-31,NSA CNSA 2.0 mandatory by 2025. All NSS/classified systems must complete PQC transition. CNSSP-15 applies.,United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
cui,Controlled Unclassified Information (CUI),"Export-controlled data, law enforcement sensitive",Government & Defense,15,,9,,2025-12-31,"CMMC 2.0 Level 2/3, NIST SP 800-171 Rev 3. DoD contractors: PQC readiness milestone in CMMC program.",United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
fouo,Internal government data (FOUO),"Pre-decisional documents, internal correspondence",Government & Defense,5,,7,,2028-12-31,"NIST SP 800-171, CUI Registry. FOUO documents with 5-10 year relevance window fall within CRQC threat horizon.",United States,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
network-topology,Network topology / configurations,"Core network architecture, routing tables, SS7 configs",Telecommunications,25,,8,,2028-12-31,"NERC CIP, NIST CSF 2.0. Core network architecture data is long-lived, high-value for nation-state HNDL operations.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
cdr,Call detail records (CDR),"Subscriber communications metadata, location data",Telecommunications,15,,7,,2030-12-31,"GDPR Article 5, CCPA, regional telecom regulations. CDR data retained 2 years on average; HNDL window well within CRQC timeline.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
subscriber-meta,Subscriber metadata,"Account info, service plans, billing data",Telecommunications,5,,6,,2030-12-31,"GDPR, CPRA, national telecom laws. Subscriber data stores should use PQC key wrapping for long-term archive protection.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
crypto-keys,Cryptographic keys / secrets,"Private keys, API secrets, HSM contents",Technology,25,,10,,2025-12-31,HIGHEST PRIORITY — NIST SP 800-57. Cryptographic keys must migrate immediately. Harvest-now-decrypt-later attacks capture key material today for future decryption.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
source-code,Source code / intellectual property,"Proprietary algorithms, trade secrets",Technology,15,,8,,2028-12-31,HNDL risk extreme for proprietary PQC-adjacent algorithms. Encrypt and version-control archives with PQC-safe keys immediately.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
user-analytics,User analytics / telemetry,"Usage patterns, A/B test data, anonymized metrics",Technology,5,,5,,2032-12-31,"GDPR, CCPA. Lower sensitivity but large volume data lakes may still benefit from PQC-safe key wrapping.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
scada-ot,SCADA/OT operational data,"Industrial control commands, safety system configs",Energy & Utilities,25,,9,,2032-12-31,"IEC 62443 series, CISA ICS advisories. OT systems with 20-30 year lifespans need PQC-agile design integrated now.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
grid-topology,Grid topology / infrastructure maps,"Distribution network, substation configurations",Energy & Utilities,15,,9,,2030-12-31,"NERC CIP, NIST SP 800-82 Rev 3. Grid topology data has nation-state HNDL sensitivity.",United States;European Union,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
meter-readings,Meter readings / consumption data,"AMI data, billing usage, demand forecasts",Energy & Utilities,5,,6,,2032-12-31,NIST IR 7628 Vol 3. AMI data confidentiality. Utility data retained for billing and regulatory compliance.,Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
ad-algorithms,Autonomous driving algorithms,"ML models, sensor fusion logic, safety-critical code",Automotive,25,,8,,2030-12-31,"ISO/SAE 21434, SOTIF (ISO 21448). Autonomous driving ML models are long-lived IP assets requiring PQC protection.",Global,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
v2x-data,V2X communication data,"Vehicle-to-infrastructure messages, location data",Automotive,15,,8,,2030-12-31,"C2C-CC, ETSI ITS, SAE J2945 standards. V2X message authentication PKI requires PQC transition plan.",United States;European Union;Japan,"Proposed 2026-05-06: compliance_deadline, compliance_notes, countries, migration_priority, hndl_relevance, retention_years enriched from NIST CNSA 2.0, NSA, CISA, and regulatory PQC guidance.",30,active,,
