from_concept,to_concept,relationship_type,rationale_type,evidence,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
ENISA,NIST SP 800-208,intersects_with,technical_dependency,"""For the stateful schemes, NIST already published SP 800-208 [32] standardizing LMS [87] and XMSS [59] two stateful hash-based signature schemes.""",high,"The ENISA document explicitly cites NIST SP 800-208 as the standard for stateful hash-based signatures (LMS/XMSS), indicating a technical dependency on NIST standards for its guidance.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
ENISA,NIST PQC Competition,intersects_with,policy_reference,"""Only one isogeny-based candidate, SIKE, was submitted to the NIST competition and SIKE is in the third round as an alternate candidate.""",high,"The ENISA document extensively references the NIST PQC competition rounds and candidates (e.g., SIKE, SPHINCS+, Kyber), using the NIST process as the primary framework for its analysis.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
ENISA,ECRYPT-CSA Whitepaper on Post-Quantum Cryptography,intersects_with,policy_reference,"""[47] ECRYPT-CSA. Whitepaper on Post-Quantum Cryptography. https://www.ecrypt.eu.org/csa/documents/PQC-whitepaper.pdf, 2018.""",medium,"The ENISA document cites the ECRYPT-CSA whitepaper in its references, indicating it draws upon or aligns with this European cryptographic community guidance.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
IETF,RFC 9794,intersects_with,timeline_anchor,"""2023-04-30 Apr 2023 WG Adoption of an Informational document that defines terminology for (hybrid) PQC schemes rfc9794 (was draft-ietf-pquip-pqt-hybrid-terminology)""",high,The text explicitly links the IETF PQUIP WG milestone to the adoption of RFC 9794.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
IETF,RFC 9958,intersects_with,timeline_anchor,"""2023-05-31 May 2023 WG Adoption of an Informational document on ‘PQC for engineers’ rfc9958 (was draft-ietf-pquip-pqc-engineers)""",high,The text explicitly links the IETF PQUIP WG milestone to the adoption of RFC 9958.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
IETF,NIST,intersects_with,policy_reference,"""Outside of the IETF, active work is underway to develop and validate Post-Quantum Cryptography (PQC) mechanisms that are expected to be resilient to the cryptanalysis capabilities of future CRQCs (e.g., CFRG, US NIST).""",high,The text identifies US NIST as an external entity performing active work on PQC mechanisms that the IETF protocols rely upon.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,NIST-SP-800-140C,intersects_with,technical_dependency,"""c. specified in NIST SP 800-140C as an Approved security function, or""",high,FIPS 140-3 defines approved security functions by referencing SP 800-140C.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,NIST-SP-800-140D,intersects_with,technical_dependency,"""d. specified in NIST SP 800-140D as an Approved sensitive security parameter establishment method.""",high,FIPS 140-3 defines approved sensitive security parameter establishment methods by referencing SP 800-140D.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,NIST-SP-800-140B,intersects_with,technical_dependency,"""NIST SP 800-140B modifies: ISO/IEC 19790:2012(E) CMVP Security Policy Requirements Annex B""",high,FIPS 140-3 relies on SP 800-140B to modify the security policy requirements of the base ISO standard.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,FIPS 203,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",medium,"FIPS 203 (SHA-3) is a FIPS standard specifying approved cryptographic algorithms required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 203.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,FIPS 204,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",medium,"FIPS 204 (Random Number Generation) is a FIPS standard specifying approved cryptographic techniques required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 204.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
FIPS-140-3,FIPS 205,intersects_with,policy_reference,"""Approved security functions include those that are either: a. specified in a Federal Information Processing Standard (FIPS),""",medium,"FIPS 205 (HMAC) is a FIPS standard specifying approved cryptographic techniques required by FIPS 140-3 modules. The text cites the general category ""FIPS"" which includes FIPS 205.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
COMMON-CRITERIA,ISO/IEC 15408,equivalent,equivalence,"""The ISO version of the CC:2022 is published in five parts as ISO/IEC 15408-1:2022 through 15408-5:2022""",high,The text explicitly states that CC:2022 is published as ISO/IEC 15408:2022.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
COMMON-CRITERIA,ISO/IEC 18045,intersects_with,technical_dependency,"""the ISO version of the CEM:2022 is published in one part as ISO/IEC 18045:2022.""",high,CC:2022 (Part 1) references CEM:2022 (ISO/IEC 18045) as the baseline methodology for evaluation.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
COMMON-CRITERIA,ISO/IEC IEEE 24765,intersects_with,technical_dependency,"""ISO/IEC IEEE 24765, Systems and software engineering — Vocabulary""",high,"Listed in Section 2 ""Normative references"" of the source text.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
COMMON-CRITERIA,FIPS PUB 186-4,intersects_with,implementation_guidance,"""FIPS PUB 186-4, “Digital Signature Standard (DSS)”, Appendix B.3;""",medium,Cited in Annex B as an example of a technical standard that may be referenced in a Protection Profile refinement.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
COMMON-CRITERIA,ANSI X9.31-1998,intersects_with,implementation_guidance,"""ANSI X9.31-1998, Section 4.1""",medium,Cited in Annex B as an example of a technical standard that may be referenced in a Protection Profile refinement.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
ANSSI,ANSSI PQC Position Paper,intersects_with,policy_reference,"""Se référer à l’avis scientifique de l’ANSSI sur la migration vers la cryptographie post-quantique publié en décembre 2023 : https:// cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique.""",high,"The text explicitly references the ""avis scientifique"" (scientific opinion) published in December 2023, which corresponds to the ANSSI PQC Position Paper.",enrich-compliance-xwalk.py,2026-09-17,candidate,,
ANSSI,"Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography",intersects_with,policy_reference,"""Voir la note Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography (Securing Tomorrow, Today: Transitioning to Post-Quantum Cryptography | ANSSI).""",high,This is an additional document clearly cited in the text (footnote 8) as a reference for cooperation with European partners.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,NIST SP 800-208,intersects_with,technical_dependency,"""The algorithms chosen for software- and firmware-signing are those specified in NIST Special Publication 800-208. NSA recommends Leighton-Micali with SHA-256/192, but all NIST SP 800-208 algorithms are approved for this use case.""",high,CNSA 2.0 mandates the use of algorithms defined in NIST SP 800-208 for software/firmware signing.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,FIPS PUB 197,intersects_with,technical_dependency,"""Table II: CNSA 2.0 symmetric-key algorithms ... Algorithm Function Specification Parameters Symmetric block cipher Advanced Encryption Use 256-bit keys for all for information FIPS PUB 197 Standard (AES) classification levels.""",high,CNSA 2.0 includes AES (FIPS 197) as a required symmetric algorithm.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,FIPS PUB 180-4,intersects_with,technical_dependency,"""Table II: CNSA 2.0 symmetric-key algorithms ... Algorithm for computing a Use SHA-384 or SHA- Secure Hash Algorithm condensed FIPS PUB 180-4 512 for all classification (SHA) representation of levels.""",high,CNSA 2.0 includes SHA-384/512 (FIPS 180-4) as required hash algorithms.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,CRYSTALS-Kyber,intersects_with,technical_dependency,"""Table III: CNSA 2.0 quantum-resistant public-key algorithms ... Use Level V Asymmetric algorithm CRYSTALS-Kyber TBD parameters for all for key establishment classification levels.""",high,CNSA 2.0 selects CRYSTALS-Kyber for key establishment.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,CRYSTALS-Dilithium,intersects_with,technical_dependency,"""Table III: CNSA 2.0 quantum-resistant public-key algorithms ... Use Level V Asymmetric algorithm CRYSTALS-Dilithium TBD parameters for all for digital signatures classification levels.""",high,CNSA 2.0 selects CRYSTALS-Dilithium for digital signatures.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,NSM-10,intersects_with,policy_reference,"""NSA expects the transition to QR algorithms for NSS to be complete by 2035 in line with NSM-10. NSA urges vendors and NSS owners and operators to make every effort to meet this deadline.""",high,CNSA 2.0 transition timeline is aligned with the requirements of NSM-10.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,CNSSP 15,intersects_with,policy_reference,"""They are an update to those in the Commercial National Security Algorithm Suite (referred to as CNSA 1.0, the algorithms currently listed in CNSSP 15, Annex B).""",high,CNSA 2.0 is defined as an update to the algorithms listed in CNSSP 15.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,CNSSP 11,intersects_with,policy_reference,"""In accordance with CNSSP 11, software and hardware providing cryptographic services require National Information Assurance Partnership (NIAP) or NSA validation in addition to meeting the requirements of the appropriate version of CNSA.""",high,CNSA 2.0 compliance is enforced through validation requirements specified in CNSSP 11.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,RFC 9151,intersects_with,implementation_guidance,"""The following documents specify how to configure solutions to comply with CNSA requirements. These include: ... RFC 9151 \""Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3\""""",high,"The document lists RFC 9151 as guidance for configuring solutions to comply with CNSA requirements (currently CNSA 1.0, but referenced as the mechanism for CNSA compliance).",enrich-compliance-xwalk.py,2026-09-17,candidate,,
CNSA-2,RFC 8603,intersects_with,implementation_guidance,"""The following documents specify how to configure solutions to comply with CNSA requirements. These include: ... RFC 8603 \""Commercial National Security Algorithm (CNSA) Suite Certificate and Certificate Revocation List (CRL) Profile\""""",high,The document lists RFC 8603 as guidance for configuring solutions to comply with CNSA requirements.,enrich-compliance-xwalk.py,2026-09-17,candidate,,
