lesson_id,playground,playground_label,lesson_key,title,summary,quiz_question_count,source_file,learning_objective,spec_refs,spec_refs_source,last_reviewed,reviewed_by,status,deprecated_at,deprecated_reason
openssl-studio:capstone-tls,openssl-studio,OpenSSL Studio,capstone-tls,Capstone — from workbench to wire,"Every artifact so far has stayed inside the Workbench's virtual filesystem. This lesson generates one final certificate, then hands off to the Studio's TLS Simulator — a separate tool that runs a real TLS 1.3 handshake in WASM — to see a certificate actually used on the wire.",1,src/components/OpenSSLStudio/learn/opensslLessons.ts,Execute a TLS 1.3 handshake using a generated ML-DSA certificate in the TLS Simulator.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:cert-issuance,openssl-studio,OpenSSL Studio,cert-issuance,Requesting and issuing a certificate,req -new produces a CSR for a CA to sign; req -x509 -new skips straight to a self-signed certificate. Both classical and PQC keys go through the identical req command.,2,src/components/OpenSSLStudio/learn/opensslLessons.ts,Self-sign classical and post-quantum certificates using identical OpenSSL req commands to demonstrate algorithm-agnostic certificate issuance workflows.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:config-files,openssl-studio,OpenSSL Studio,config-files,Config files demystified,openssl.cnf quietly supplies defaults every req/x509 call in this curriculum relied on. openssl configutl (new in OpenSSL 3.6) parses and re-dumps a config file so you can see exactly what it resolves to.,1,src/components/OpenSSLStudio/learn/opensslLessons.ts,Parse and linearize OpenSSL configuration files to inspect resolved defaults and stripped comments.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:first-keypair,openssl-studio,OpenSSL Studio,first-keypair,"Your first keypair — classical, then post-quantum",genpkey generates both eras of key with the same command shape — only the -algorithm value changes. Watch what changes (and what stays the same) between an RSA-2048 key and an ML-DSA-65 key.,2,src/components/OpenSSLStudio/learn/opensslLessons.ts,Generate classical RSA and post-quantum ML-DSA private keys using OpenSSL's genpkey command.,FIPS 204; FIPS 203,explicit,,,active,,
openssl-studio:honest-lms,openssl-studio,OpenSSL Studio,honest-lms,An honest LMS — a claim you can check yourself,"This Studio's LMS/HSS panel generates and signs via a separate WASM engine, not openssl itself — because upstream OpenSSL genuinely does not support LMS/HSS key generation or signing. Don't take that on faith: break the rule yourself and read the real error.",2,src/components/OpenSSLStudio/learn/opensslLessons.ts,Verify OpenSSL's refusal to generate LMS/HSS keys and explain the security rationale behind this design decision.,SP 800-208; RFC 8554,explicit,,,active,,
openssl-studio:kdf-choice,openssl-studio,OpenSSL Studio,kdf-choice,"Key derivation, chosen correctly","openssl kdf (new in OpenSSL 3.6) exposes HKDF, PBKDF2, SCRYPT and more behind one command. Each expects different -kdfopt keys — mixing them up is the most common way to get a useless key silently.",1,src/components/OpenSSLStudio/learn/opensslLessons.ts,Select the correct KDF algorithm and input options to derive keys from secrets or passwords without silent security failures.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:key-establishment,openssl-studio,OpenSSL Studio,key-establishment,Key establishment without classical key exchange,ML-KEM has no drop-in classical equivalent in this Studio — it's a genuinely new operation shape (encapsulate/decapsulate) rather than a PQC repaint of an existing one. This lesson runs the full round trip and checks the recovered secret really matches.,2,src/components/OpenSSLStudio/learn/opensslLessons.ts,Execute ML-KEM encapsulation and decapsulation to generate and verify a shared secret without classical key exchange.,FIPS 203,explicit,,,active,,
openssl-studio:pkcs12-packaging,openssl-studio,OpenSSL Studio,pkcs12-packaging,Packaging keys for the real world,pkcs12 bundles a key + certificate (+ chain) into one password-protected file — the format most browsers and app servers actually import. Classical and PQC keys bundle identically.,1,src/components/OpenSSLStudio/learn/opensslLessons.ts,Bundle cryptographic keys and certificates into a password-protected PKCS#12 file for deployment to browsers and application servers.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:randomness,openssl-studio,OpenSSL Studio,randomness,"Randomness, honestly sourced",Every key this Studio has generated so far leaned on openssl rand under the hood. This lesson calls it directly and looks at what it actually promises.,1,src/components/OpenSSLStudio/learn/opensslLessons.ts,Invoke openssl rand to generate random bytes and verify its failure behavior on entropy seeding errors.,,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
openssl-studio:sign-verify,openssl-studio,OpenSSL Studio,sign-verify,"Sign & verify, two ways","Classical keys sign through dgst (hash-then-sign, hash chosen explicitly); ML-DSA and SLH-DSA sign through pkeyutl instead, hashing internally. The Studio's own Workbench already branches on this — this lesson shows why.",2,src/components/OpenSSLStudio/learn/opensslLessons.ts,Execute and contrast classical dgst and post-quantum pkeyutl signing workflows to understand hash selection and signature size differences.,FIPS 204,explicit,,,active,,
openssl-studio:symmetric-myth,openssl-studio,OpenSSL Studio,symmetric-myth,"Symmetric crypto & the myth of ""PQC breaks everything""","AES and SHA-256/SHA3 are NOT what post-quantum migration is about. Grover's algorithm only halves their effective security — a bigger key fixes it. Shor's algorithm breaks RSA/ECC/DH outright, which is why THOSE need new algorithms, not bigger keys.",2,src/components/OpenSSLStudio/learn/opensslLessons.ts,"Distinguish symmetric from asymmetric crypto quantum risks and explain why AES-256 requires only key doubling, not replacement.",,tooling,2026-08-12,claude-opus-5 (content review vs openssl docs + bundled 3.6.3 binary),active,,
pkcs11:agreement-derivation,pkcs11,PKCS#11 foundations,agreement-derivation,Agreement & derivation,ECDH lets two parties who've never met agree on a shared secret over a public channel. HKDF then turns that raw shared secret into a well-formed key.,1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,Derive a shared secret using ECDH and transform it into a usable key with HKDF.,PKCS#11 v3.2,inherited,,,active,,
pkcs11:cryptoki-model,pkcs11,PKCS#11 foundations,cryptoki-model,"The Cryptoki model — slots, tokens, sessions, login","Every PKCS#11 call happens through a session, opened against a token, that lives in a slot. This walkthrough boots the real engine and shows what each layer actually is — then deliberately breaks one to show what an honest failure looks like.",2,src/components/Playground/hsm/learn/pkcs11Lessons.ts,"Distinguish PKCS#11 slots, tokens, and sessions to correctly handle authentication and interpret error codes.",PKCS#11,explicit,,,active,,
pkcs11:digest-random,pkcs11,PKCS#11 foundations,digest-random,Digests & randomness,Two stateless building blocks used everywhere else in this curriculum: hashing and true randomness.,1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,Compute SHA-256 digests and generate cryptographically strong random bytes using the hardware security token.,PKCS#11 v3.2,inherited,,,active,,
pkcs11:key-wrap,pkcs11,PKCS#11 foundations,key-wrap,Key wrap & the extraction question,"Moving a key off a token requires wrapping it under another key — and PKCS#11 refuses to wrap a key that was never marked extractable, no exceptions.",1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,Wrap and unwrap extractable keys while verifying that PKCS#11 blocks wrapping non-extractable keys.,PKCS#11; RFC 5649,explicit,,,active,,
pkcs11:mechanism-discovery,pkcs11,PKCS#11 foundations,mechanism-discovery,Mechanism discovery,"A token doesn't support every algorithm — it advertises exactly which mechanisms it implements, and C_GetMechanismInfo is how you check before you commit to one.",1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,Query token capabilities using C_GetMechanismList and C_GetMechanismInfo to verify supported mechanisms before cryptographic operations.,PKCS#11,explicit,,,active,,
pkcs11:objects-attributes,pkcs11,PKCS#11 foundations,objects-attributes,Objects & attributes,"Every key on a token is an object described by attributes. Two of those attributes — CKA_SENSITIVE and CKA_EXTRACTABLE — decide whether its value can ever be read back, and PKCS#11 enforces that decision permanently.",1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,Generate non-extractable keys and verify that PKCS#11 permanently prevents reading their raw values.,PKCS#11,explicit,,,active,,
pkcs11:sign-verify,pkcs11,PKCS#11 foundations,sign-verify,Asymmetric sign & verify,"The private key signs, the public key verifies — and verification is a real cryptographic check, not a formality.",1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,"Generate RSA key pairs, sign messages, and verify signatures while correctly handling corrupted signature rejection.",PKCS#11 v3.2,inherited,,,active,,
pkcs11:symmetric-encryption,pkcs11,PKCS#11 foundations,symmetric-encryption,Symmetric encryption,"AES-GCM is authenticated encryption — it detects tampering, not just decrypts. This walkthrough encrypts, decrypts successfully, then tampers the ciphertext and watches decryption honestly refuse it.",1,src/components/Playground/hsm/learn/pkcs11Lessons.ts,"Encrypt and decrypt messages using AES-GCM, then detect tampering by observing decryption failure when ciphertext is modified.",PKCS#11 v3.2,inherited,,,active,,
pkcs11-v32:authenticated-wrap,pkcs11-v32,PKCS#11 v3.2,authenticated-wrap,Authenticated wrap,"C_WrapKeyAuthenticated is one of the 12 new v3.2 functions — AEAD-wrapped key export with a real IV and integrity tag, alongside the classic AES-KW wrap from lesson A7.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Perform authenticated key wrapping and unwrapping using AES-GCM to detect tampering in exported key material.,RFC 3394,explicit,,,active,,
pkcs11-v32:hash-based-signatures,pkcs11-v32,PKCS#11 v3.2,hash-based-signatures,Hash-based signatures,"SLH-DSA has no classical predecessor to compare against — its whole point is resting on nothing but hash-function security, the most conservative assumption available.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,"Generate, sign, verify, and corrupt SLH-DSA signatures to demonstrate hash-based security and honest refusal.",FIPS 205,explicit,,,active,,
pkcs11-v32:hedged-signing,pkcs11-v32,PKCS#11 v3.2,hedged-signing,Hedged signatures,"v3.2 makes randomized vs. deterministic signing an explicit, per-call choice — this walkthrough signs the same message twice each way and shows the real difference in the output bytes.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Configure hedging preferences to produce randomized or deterministic signatures for specific security and compliance requirements.,PKCS#11 v3.2,inherited,,,active,,
pkcs11-v32:inspecting-policy,pkcs11-v32,PKCS#11 v3.2,inspecting-policy,Inspecting policy and validation state,"Pinning a key (lesson B7) is only half the story — v3.2 also lets you read that policy BACK, so tooling can audit what's actually enforced without guessing.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Read and decode CKA_ALLOWED_MECHANISMS policy attributes from keys to audit enforced mechanism restrictions.,PKCS#11,explicit,,,active,,
pkcs11-v32:kem-api,pkcs11-v32,PKCS#11 v3.2,kem-api,The KEM API,"C_EncapsulateKey/C_DecapsulateKey are a genuinely new call SHAPE, not just a new algorithm — no classical PKCS#11 call works this way.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Execute asymmetric KEM encapsulation and decapsulation to establish a shared secret using ML-KEM-768.,PKCS#11 v3.2,inherited,,,active,,
pkcs11-v32:migration-capstone,pkcs11-v32,PKCS#11 v3.2,migration-capstone,Migration capstone,"Put it together: inventory what is on the token, provision a PQC successor alongside a classical key, and retire the old key for real — not just mark it unused.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,"Execute a full cryptographic migration by provisioning a PQC successor, retiring the legacy key, and verifying its destruction.",PKCS#11,explicit,,,active,,
pkcs11-v32:policy-pinning,pkcs11-v32,PKCS#11 v3.2,policy-pinning,Policy pinning,"CKA_ALLOWED_MECHANISMS pins a key to an explicit allow-list at creation time — the token enforces it on every later call, independent of what it otherwise supports.",1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Enforce per-key mechanism allow-lists using CKA_ALLOWED_MECHANISMS to restrict cryptographic operations at the token level.,PKCS#11 v3.2,inherited,,,active,,
pkcs11-v32:signing-goes-lattice,pkcs11-v32,PKCS#11 v3.2,signing-goes-lattice,Signing goes lattice,RSA-3072 and ML-DSA-65 both sign and verify. Only the sizes tell you which one just quietly stopped being safe against a quantum adversary.,1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Compare RSA-3072 and ML-DSA-65 signature sizes to quantify the storage and network overhead of post-quantum migration.,FIPS 204,explicit,,,active,,
pkcs11-v32:trust-wrapping-policy,pkcs11-v32,PKCS#11 v3.2,trust-wrapping-policy,Trust & wrapping policy,"CKA_WRAP_WITH_TRUSTED pins a key so only a CKA_TRUSTED wrapping key may ever wrap it out — and CKA_TRUSTED itself is the one attribute you can never set yourself, not even as the token administrator, once a key already exists.",4,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Enforce key wrapping policies by generating trusted keys via SO import and verifying immutable trust attributes.,PKCS#11 v3.2,explicit,,,active,,
pkcs11-v32:whats-new,pkcs11-v32,PKCS#11 v3.2,whats-new,What's new in v3.2,PKCS#11 v3.2 adds 12 new functions and a self-describing Profiles mechanism — a token can now tell you what it conforms to without vendor documentation.,1,src/components/Playground/hsm/learn/pkcs11LessonsV32.ts,Discover token conformance profiles and query session validation flags using PKCS#11 v3.2 APIs.,PKCS#11 v3.2,explicit,,,active,,
tpm:attestation,tpm,TPM 2.0,attestation,"Attestation — the point of a TPM, in both eras (capstone)","Quote platform state with a classical restricted RSA AK, then with ML-DSA — reusing everything the track taught: restricted keys, pinned schemes, PCRs, signatures, and ticket semantics.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Generate and compare TPM attestation quotes using classical RSA and post-quantum ML-DSA keys to evaluate signature size impacts.,TPM 2.0 Library rev v1.85,inherited,,,active,,
tpm:boot-discover,tpm,TPM 2.0,boot-discover,"Boot & discover — one chip, two cryptographic eras","The TPM booted when this page loaded. These steps interrogate the live chip: self-test, then the algorithm table — where RSA (0x0001) and ML-KEM (0x00A0) sit side by side — and finally a deliberate rule-break to see what an honest TPM refusal looks like.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Query a live TPM to verify coexistence of classical and post-quantum algorithms and observe honest state-machine refusals.,TCG V1.85,explicit,,,active,,
tpm:create-keys,tpm,TPM 2.0,create-keys,"Create primary keys — same trust model, new math","Create an RSA-2048 key and an ML-KEM-768 key in the live TPM and read back what each actually produced. The hierarchy seeds, deterministic derivation, and non-exportability are identical — the public key grows from 256 bytes to 1184.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Create RSA-2048 and ML-KEM-768 primary keys in a TPM and compare their public key sizes and derivation methods.,FIPS 203,explicit,,,active,,
tpm:honest-tpm,tpm,TPM 2.0,honest-tpm,An honest TPM — detect fake crypto and spec drift yourself,"A 2026 audit of this very playground found silent-placeholder risks and a compliance suite that could report a false 100%. This lesson turns those checks into things YOU run: placeholder detection, bridge status, and a live spec-vs-engine drift check.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Detect fake crypto placeholders and verify spec drift by running manual bridge status and signature checks.,ML-KEM; ML-DSA,explicit,,,active,,
tpm:key-establishment,tpm,TPM 2.0,key-establishment,"Key establishment — transport vs encapsulation, loud vs silent failure",Run classical RSA-OAEP key transport and ML-KEM encapsulation back to back — then corrupt a ciphertext in each system and watch them fail in OPPOSITE ways. OAEP refuses loudly; ML-KEM “succeeds” with a useless secret (implicit rejection).,2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Contrast RSA-OAEP and ML-KEM key establishment by observing their distinct loud versus silent failure modes when processing corrupted ciphertexts.,FIPS 203,explicit,,,active,,
tpm:sign-verify,tpm,TPM 2.0,sign-verify,"Sign & verify — new commands, not just new algorithms","Sign with RSA through the classic TPM2_Sign, then with ML-DSA through the NEW TPM2_SignDigest — and notice V1.85 gave PQC signing its own command surface, its own signature layout, and its own verified-ticket type.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Execute TPM2_SignDigest and TPM2_VerifyDigestSignature to sign and verify ML-DSA signatures using the new V1.85 command surface.,FIPS 204,explicit,,,active,,
tpm:streaming,tpm,TPM 2.0,streaming,Streaming — why pure ML-DSA must see the message,"Classical TPMs hash-then-sign: stream chunks into a hash sequence, sign the 32-byte digest. Pure ML-DSA signs the MESSAGE — hashing first changes the security claim — so V1.85 streams chunks into the signing operation itself. Run both flows.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,"Execute TPM streaming commands to sign and verify messages using ML-DSA, distinguishing message-level verification from classical hash-then-sign flows.",FIPS 204,explicit,,,active,,
tpm:v27-ek-certs,tpm,TPM 2.0,v27-ek-certs,Factory identity — V2.7 PQC EKs and their certificates,"This TPM was provisioned at “manufacture” (page load) with six V2.7 PQC Endorsement Keys and X.509 certificates in well-known NV slots. Find them with live queries — persistent handles first, then the DER certificate bytes themselves.",2,src/components/Playground/TpmPlayground/learn/tpmLessons.ts,Enumerate persistent handles and read V2.7 PQC EK certificates from NV slots using TPM2 commands.,FIPS 204,explicit,,,active,,
