industry,standard_id,standard_label,standards_body,library_ref,mechanisms_referenced,pqc_readiness,use_case_ids,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason
Cross-Industry,BSI-TR-02102-3,BSI TR-02102-3 IPsec crypto recommendations,BSI,BSI TR-02102-3,ECDH;RSA,in-progress,cross-vpn,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,bsi,,yes,BSI,0.9,2026-07-29,active,,
Government / Defense,CNSA-2.0,NSA CNSA 2.0 algorithm suite,NSA,NSA CNSA 2.0,ML-KEM;ML-DSA;LMS;XMSS,published,gov-nss;gov-classified,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,,yes,NSA,0.9,2026-07-29,active,,
Government / Defense,RFC-8603,CNSA suite TLS profile,IETF,RFC 8603,RSA;ECDSA;ECDH,in-progress,gov-nss,Commercial National Security Algorithm (CNSA) Suite Profile for TLS 1.2 and 1.3,https://www.rfc-editor.org/rfc/rfc8603.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Telecommunications,GSMA-PQ.03,GSMA PQ.03 PQC guidelines for telecom,GSMA,GSMA PQ.03 PQC Guidelines,ML-KEM;ML-DSA,published,telco-transport;telco-subscriber,Post-Quantum Cryptography Guidelines for Telecom Use Cases,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,gsma,,yes,GSMA,0.9,2026-07-29,active,,
Telecommunications,NIST-CSWP-36A,Protecting subscriber identifiers (SUCI),NIST,NIST-CSWP-36A,ECDH,none,telco-suci,Protecting Subscriber Identifiers with Subscription Concealed Identifier (SUCI): Applying 5G Cybersecurity and Privacy Capabilities,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.36A.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Telecommunications,RFC-9370,Multiple key exchanges in IKEv2,IETF,RFC 9370,ECDH;X25519,published,telco-transport,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Legal / Notary / eSignature,ETSI-TS-119-312,Cryptographic suites for e-signatures,ETSI,ETSI-TS-119-312,RSA;ECDSA,in-progress,leg-qes;leg-timestamp,ETSI TS 119 312 V1.5.1 - Electronic Signatures and Trust Infrastructures (ESI); Cryptographic Suites,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/01.05.01_60/ts_119312v010501p.pdf,etsi,,yes,ETSI,0.9,2026-07-29,active,,
IT Industry / Software,RFC-4253,SSH transport layer protocol,IETF,RFC 4253,RSA,published,it-ssh,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,RFC-9941,Hybrid ML-KEM key exchange in SSH,IETF,RFC 9941,ML-KEM;ECDH;X25519,published,it-ssh,Streamlined NTRU Prime sntrup761 Key Exchange for SSH,https://datatracker.ietf.org/doc/html/rfc9941,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,W3C-WebAuthn,Web Authentication (WebAuthn),W3C,W3C WebAuthn,ECDSA;RSA,in-progress,it-identity,Web Authentication: An API for accessing Public Key Credentials - Level 3,https://www.w3.org/TR/webauthn-3/,w3c,,yes,W3C,0.9,2026-07-29,active,,
Hardware Security Modules,PKCS11-3.2,PKCS #11 v3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,RSA;ECDSA;ECDH;ML-KEM;ML-DSA;SLH-DSA;LMS;XMSS,published,hsm-api,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Hardware Security Modules,KMIP-2.1,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,in-progress,hsm-api,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Cloud Computing / Data Centers,KMIP-2.1-cloud,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,in-progress,cloud-kms,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Education / Research,OpenID4VCI,OpenID for Verifiable Credential Issuance,OIDF,OpenID4VCI-Spec,ECDSA;RSA,in-progress,edu-credentials,OpenID for Verifiable Credential Issuance (OpenID4VCI),https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,openid-foundation,,yes,OIDF,0.9,2026-07-29,active,,
Rail / Transit,SUBSET-137,UNISIG SUBSET-137 on-line key management (ETCS),UNISIG/ERA,UNISIG-SUBSET-137-ERTMS-ETCS-On-line-Key-Management-FFFIS,RSA;ECDH,none,rail-etcs,UNISIG SUBSET-137 — ERTMS/ETCS On-line Key Management FFFIS,https://www.era.europa.eu/system/files/2023-01/sos3_index083_-_subset-137_v100.pdf,era-rail,,yes,UNISIG/ERA,0.9,2026-07-29,active,,
Media / Entertainment / DRM,AACS-Common-Crypto,AACS common cryptographic elements,AACS LA,AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev,RSA;ECDSA,none,media-drm,AACS Introduction and Common Cryptographic Elements Book (Rev 0.953),https://aacsla.com/wp-content/uploads/2019/02/AACS_Spec_Common_Final_0953.pdf,aacs,,yes,AACS LA,0.9,2026-07-29,active,,
Education / Research,W3C-VC-DM-2.0,W3C Verifiable Credentials Data Model 2.0,W3C,W3C-Verifiable-Credentials-Data-Model-v2-0,ECDSA,in-progress,edu-credentials,W3C Verifiable Credentials Data Model v2.0,https://www.w3.org/TR/vc-data-model-2.0/,w3c,,yes,W3C,0.9,2026-07-29,active,,
