product_id,software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,purl_coverage_flag,data_quality_notes
amazon-web-services-aws,Amazon Web Services (AWS),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Amazon Web Services (AWS)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),pkg:github/AMDESE/AMDSEV,github,AMDESE,AMDSEV,exact,matched,https://github.com/AMDESE/AMDSEV,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AMD Versal Adaptive SoC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
american-binary-ambit-client,American Binary Ambit Client,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'American Binary Ambit Client'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
anchorage-digital,Anchorage Digital,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Anchorage Digital'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
android-16,Android 16,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Android 16'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
android-17-pqc,Android 17 PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Android 17 PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
ankatech-ankasecure,ANKATech ANKASecure,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'ANKATech ANKASecure'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
anssi-pqc-migration-guidance,ANSSI PQC Migration Guidance,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'ANSSI PQC Migration Guidance'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
apache-guacamole,Apache Guacamole,pkg:github/apache/guacamole-server,github,apache,guacamole-server,exact,matched,https://github.com/apache/guacamole-server,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
apache-http-server,Apache HTTP Server,pkg:github/apache/httpd,github,apache,httpd,exact,matched,https://github.com/apache/httpd,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
apache-tomcat,Apache Tomcat,pkg:github/apache/tomcat,github,apache,tomcat,exact,matched,https://github.com/apache/tomcat,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
apache-traffic-server,Apache Traffic Server,pkg:github/apache/trafficserver,github,apache,trafficserver,exact,matched,https://github.com/apache/trafficserver,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
apple-codesign,Apple codesign,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Apple codesign'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
apple-pq3-corecrypto,Apple PQ3 / CoreCrypto,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Apple PQ3 / CoreCrypto'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
apple-safari,Apple Safari,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Apple Safari'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
applivery-uem-pqc,Applivery UEM PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Applivery UEM PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
appviewx-cert,AppViewX CERT+,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AppViewX CERT+'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
appviewx-spring-2026,AppViewX Spring 2026,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AppViewX Spring 2026'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aptos,Aptos,pkg:github/aptos-labs/aptos-core,github,aptos-labs,aptos-core,exact,matched,https://github.com/aptos-labs/aptos-core,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
arch-linux,Arch Linux,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Arch Linux'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
arista-eos-extensible-operating-system,Arista EOS (Extensible Operating System),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Arista EOS (Extensible Operating System)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
arm-confidential-compute-architecture-cca,ARM Confidential Compute Architecture (CCA),pkg:github/ARM-software/cca-rmm-acs,github,ARM-software,cca-rmm-acs,exact,matched,https://github.com/ARM-software/cca-rmm-acs,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
arm-trusted-firmware-tf-a,ARM Trusted Firmware (TF-A),pkg:github/ARM-software/arm-trusted-firmware,github,ARM-software,arm-trusted-firmware,exact,matched,https://github.com/ARM-software/arm-trusted-firmware,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
arm-trustzone,ARM TrustZone,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'ARM TrustZone'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
arqit-6wind-telco-pqc,Arqit 6WIND Telco PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Arqit 6WIND Telco PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
arqit-encryption-intelligence,Arqit Encryption Intelligence,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Arqit Encryption Intelligence'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
arqit-quantumcloud,Arqit QuantumCloud,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Arqit QuantumCloud'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
ascertia-adss-pki-server,Ascertia ADSS PKI Server,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Ascertia ADSS PKI Server'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
ascertia-adss-server-sam,Ascertia ADSS Server/SAM,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Ascertia ADSS Server/SAM'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
ascertia-adss-signing-server,Ascertia ADSS Signing Server,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Ascertia ADSS Signing Server'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
asd-australia-pqc-transition,ASD Australia PQC Transition,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'ASD Australia PQC Transition'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
asustor-adm-5-1-pqc,ASUSTOR ADM 5.1 PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'ASUSTOR ADM 5.1 PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
asyncssh,AsyncSSH,pkg:github/ronf/asyncssh,github,ronf,asyncssh,exact,matched,https://github.com/ronf/asyncssh,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
auth0-okta-customer-identity,Auth0 (Okta Customer Identity),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Auth0 (Okta Customer Identity)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
autocrypt-pki-vehicles,AUTOCRYPT PKI-Vehicles,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AUTOCRYPT PKI-Vehicles'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
avalanche,Avalanche,pkg:github/ava-labs/avalanchego,github,ava-labs,avalanchego,exact,matched,https://github.com/ava-labs/avalanchego,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
aws-api-gateway-pqc,AWS API Gateway PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS API Gateway PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS Application Load Balancer (ALB)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-cloudhsm,AWS CloudHSM,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS CloudHSM'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-identity-and-access-management-iam,AWS Identity and Access Management (IAM),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS Identity and Access Management (IAM)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-kms,AWS KMS,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS KMS'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-kms-cloud-gateway,AWS KMS (Cloud Gateway),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS KMS (Cloud Gateway)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-payments-cryptography-pqc,AWS Payments Cryptography PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS Payments Cryptography PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-private-ca-pqc,AWS Private CA PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS Private CA PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-s2n-tls,AWS s2n-tls,pkg:github/aws/s2n-tls,github,aws,s2n-tls,exact,matched,https://github.com/aws/s2n-tls,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
aws-transfer-family,AWS Transfer Family,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'AWS Transfer Family'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
aws-lc,AWS-LC,pkg:github/aws/aws-lc,github,aws,aws-lc,manual,matched,https://github.com/aws/aws-lc,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
azure-aks,Azure AKS,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Azure AKS'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Azure Dedicated HSM (Marvell LiquidSecurity)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
azure-devops,Azure DevOps,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Azure DevOps'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
azure-key-vault,Azure Key Vault,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Azure Key Vault'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
barracuda-email-protection,Barracuda Email Protection,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Barracuda Email Protection'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
berten-mlds-b235,BERTEN MLDS-B235,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BERTEN MLDS-B235'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
berten-mlke-b135,BERTEN MLKE-B135,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BERTEN MLKE-B135'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bis-project-leap-pqc,BIS Project Leap PQC,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BIS Project Leap PQC'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bitcoin-core,Bitcoin Core,pkg:github/bitcoin/bitcoin,github,bitcoin,bitcoin,exact,matched,https://github.com/bitcoin/bitcoin,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
bitgo,BitGo,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BitGo'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bitlocker-windows,BitLocker (Windows),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BitLocker (Windows)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bitvise-ssh-server,Bitvise SSH Server,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Bitvise SSH Server'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bitwarden,Bitwarden,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Bitwarden'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
boringssl,BoringSSL,pkg:github/google/boringssl,github,google,boringssl,manual,matched,https://github.com/google/boringssl,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
botan,Botan,pkg:github/randombit/botan,github,randombit,botan,exact,matched,https://github.com/randombit/botan,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
bouncy-castle-c-net,Bouncy Castle C# .NET,pkg:nuget/BouncyCastle.Cryptography,nuget,,BouncyCastle.Cryptography,manual,matched,https://www.nuget.org/packages/BouncyCastle.Cryptography,2026-04-01,purl_matched,"PURL verified. Source: nuget, 2026-05-06."
bouncy-castle-c-java,Bouncy Castle C\# / Java,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Bouncy Castle C\# / Java'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bouncy-castle-java,Bouncy Castle Java,pkg:maven/org.bouncycastle/bcprov-jdk18on,maven,org.bouncycastle,bcprov-jdk18on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk18on,2026-04-01,purl_matched,"PURL verified. Source: maven, 2026-05-06."
bouncy-castle-java-lts,Bouncy Castle Java LTS,pkg:maven/org.bouncycastle/bcprov-lts8on,maven,org.bouncycastle,bcprov-lts8on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-lts8on,2026-04-01,purl_matched,"PURL verified. Source: maven, 2026-05-06."
bradesco-ibm-quantum-safe,Bradesco IBM Quantum Safe,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Bradesco IBM Quantum Safe'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
brave-browser,Brave Browser,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Brave Browser'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
broadcom-avi-nsx-alb,Broadcom Avi (NSX ALB),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Broadcom Avi (NSX ALB)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
broadcom-emulex-securehba,Broadcom Emulex SecureHBA,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Broadcom Emulex SecureHBA'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
broadcom-symantec-dlp,Broadcom Symantec DLP,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Broadcom Symantec DLP'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
broadcom-symantec-ses,Broadcom Symantec SES,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Broadcom Symantec SES'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
bsi-pqc-recommendations,BSI PQC Recommendations,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BSI PQC Recommendations'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
btq-bitcoin-quantum,BTQ Bitcoin Quantum,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BTQ Bitcoin Quantum'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
btq-bitcoin-quantum-testnet,BTQ Bitcoin Quantum Testnet,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'BTQ Bitcoin Quantum Testnet'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
c-dot-quantum-cem-encryptor,C-DOT Quantum CEM Encryptor,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'C-DOT Quantum CEM Encryptor'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
caddy-server,Caddy Server,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Caddy Server'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
cardano,Cardano,pkg:github/IntersectMBO/cardano-node,github,IntersectMBO,cardano-node,exact,matched,https://github.com/IntersectMBO/cardano-node,2026-04-01,purl_matched,"PURL verified. Source: github, 2026-05-06."
cast-kivipqc-kem,CAST KiviPQC-KEM,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'CAST KiviPQC-KEM'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
cato-networks-sase,CATO Networks SASE,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'CATO Networks SASE'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
cellcrypt-pqc-communications,Cellcrypt PQC Communications,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Cellcrypt PQC Communications'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
centos-stream,CentOS Stream,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'CentOS Stream'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
check-point-quantum,Check Point Quantum,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Check Point Quantum'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
checkmarx-one,Checkmarx One,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Checkmarx One'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
chelpis-quantum-pqc-taiwan,Chelpis Quantum PQC (Taiwan),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Chelpis Quantum PQC (Taiwan)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
chile-national-quantum-strategy,Chile National Quantum Strategy,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'Chile National Quantum Strategy'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
china-pqc-national-standards-iccs,China PQC National Standards (ICCS),,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'China PQC National Standards (ICCS)'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
china-telecom-quantum-group,China Telecom Quantum Group,,,,,,not_found,,2026-04-01,purl_not_found_pending_registry,No PURL match for 'China Telecom Quantum Group'. Product may be released under a different registry namespace or may not yet be in a public registry. Suggested search: https://deps.dev or https://npmjs.com or https://pypi.org
