industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,applicable_industries_normalized,status,deprecated_at,deprecated_reason
51,CLOUD-004,Cloud HSM and key management PQC gap: NIST SP 800-210 defines access control for cloud systems but cloud-hosted HSMs and KMS services currently lack full PQC support. FIPS 140-3 validation for PQC modules is ongoing with multi-year certification timelines. Organizations using cloud HSMs face vendor dependency for PQC migration.,Critical,"Cloud HSM root keys, KMS key wrapping, tenant isolation keys, FIPS 140-3 modules","FIPS 140-3 validated PQC HSM modules, bring-your-own-key PQC, ML-KEM key wrapping",NIST SP 800-210 Cloud Access Control,https://csrc.nist.gov/pubs/sp/800/210/final,75,kms-pqc|hsm-pqc|pki-workshop|compliance-strategy,nist-csrc,public/threats/CLOUD-004.html,yes,NIST,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,
PQC-REGION-GLOBAL,CROSS-001,"Harvest-now-decrypt-later threat maturity: Nation-state actors are actively harvesting encrypted data today for future quantum decryption. The IBM Institute for Business Value 2023 PQC report (surveying ~3,000 executives globally) found roughly 25% of respondents believed their organizations were already targeted by harvest-now-decrypt-later collection — this is self-reported perception, not confirmed incidents. The harvest window is open now; any data with >10 year sensitivity has quantum risk today regardless of CRQC arrival date.",Critical,"All asymmetric cryptography, PKI infrastructure, key management systems","Comprehensive CBOM, automated discovery tools, ML-KEM/ML-DSA migration",IBM Institute for Business Value — Secure the Post-Quantum Future 2025,https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/2025-quantum-safe-readiness,80,crypto-agility|pqc-risk-management|migration-program|quantum-threats|crypto-dev-apis|pqc-governance,ibm-research,public/threats/CROSS-003.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Corrected sample size (3000 not 700+) and clarified 25% as stated belief not confirmed incidents.,60,,active,,
PQC-REGION-GLOBAL,CROSS-002,"Global cryptographic inventory gap: Organizations lack complete visibility into their cryptographic asset inventory. NIST IR 8547 (Transition to Post-Quantum Cryptography Standards, IPD November 2024) proposes deprecating RSA, ECDSA, ECDH, and EdDSA by 2035 and emphasizes cryptographic agility as a migration prerequisite. The 2030 transition window creates an urgent discovery mandate.",Critical,"RSA-2048/3072/4096, ECDSA P-256/P-384, ECDH, EdDSA","ML-KEM-768/1024 (FIPS 203), ML-DSA-44/65/87 (FIPS 204), SLH-DSA (FIPS 205)","NIST IR 8547 (IPD, Nov 2024)",https://csrc.nist.gov/pubs/ir/8547/ipd,90,compliance-strategy|pqc-101|migration-program|quantum-threats|pqc-governance,nist-csrc,public/threats/CROSS-002.html,yes,NIST,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Corrected NIST reference: IR 8547 (migration guidance), not SP 800-227 (KEM recommendations).",85,,active,,
PQC-REGION-GLOBAL,CROSS-003,C-suite quantum risk awareness gap: IBM Institute for Business Value 2023 PQC report found ~62% of organizations lacked a complete cryptographic inventory — the prerequisite for any meaningful quantum migration plan. Organizations treating quantum as a 10+ year problem are underestimating harvest-now-decrypt-later risk to current data.,High,"Third-party API keys, vendor-managed HSMs, cloud KMS","Vendor PQC roadmap requirements, contractual crypto-agility clauses",IBM Institute for Business Value — Secure the Post-Quantum Future 2025,https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/2025-quantum-safe-readiness,75,vendor-risk|pqc-governance,ibm-research,public/threats/CROSS-003.html,no,,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Reframed 62% IBM IBV figure as ""lacks crypto inventory"" (the published finding), not ""no quantum risk assessment plan"".",60,,active,,
PQC-REGION-GLOBAL,CROSS-004,"Regulatory compliance deadline pressure: Global regulators are establishing PQC migration deadlines. NIST FIPS 203/204/205/206 finalized August 2024. OMB M-23-02 requires federal agencies to begin PQC inventory. EU NIS2 Directive (2022/2555) requires ""state-of-the-art"" cryptographic controls as part of proportionate risk management for essential entities — a principles-based requirement that may be interpreted to include PQC, not an explicit PQC mandate. The Global Risk Institute Quantum Threat Timeline Report (2024) estimates 5-15% probability of CRQC within 5 years.",Critical,"RSA-2048/4096, ECC P-256/384, ECDSA, ECDH, EdDSA","Immediate hybrid PQC deployment, ML-KEM-1024, ML-DSA-87",GRI Quantum Threat Timeline Report 2024,https://globalriskinstitute.org/publication/quantum-threat-timeline-report-2025b/,75,quantum-threats|pqc-risk-management|pqc-business-case|data-asset-sensitivity,itu,public/threats/CROSS-004.html,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Softened ""NIS2 mandates quantum-safe"" to ""state-of-the-art principles"". Cited GRI explicitly (was ""various analysts"").",60,,active,,
PQC-REGION-GLOBAL,CROSS-005,"NIST PQC standard finalization creating migration urgency: NIST published all four PQC standards simultaneously on August 13, 2024: FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA), and FIPS 206 (FN-DSA/Falcon). Organizations face 5-7 year migration windows for complex PKI infrastructure.",High,"RSA/ECDSA certificates requiring compact signatures, root CA keys, constrained device authentication","FN-DSA (FIPS 206) for compact signatures, ML-DSA for general-purpose signing","NIST FIPS 203/204/205 (Final, Aug 2024); FIPS 206 pending",https://csrc.nist.gov/projects/pqc-dig-sig,85,pqc-101|hybrid-crypto|stateful-signatures,nist-csrc,public/threats/CROSS-005.html,yes,NIST,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 Pass-2 fix: FIPS 206 was NOT finalized August 13 2024 — only FIPS 203/204/205. FIPS 206 IPD pending as of mid-2025. 2026-05-18 accuracy fix: Corrected FIPS 206 status — published August 2024, not still pending.",85,,active,,
PQC-REGION-GLOBAL,CROSS-006,"HQC selected as 5th PQC algorithm: NIST announced March 11 2025 the selection of HQC (Hamming Quasi-Cyclic) as a backup KEM to ML-KEM. HQC is based on error-correcting codes rather than lattices, providing algorithmic diversity in case a lattice-based vulnerability is discovered. Draft standard expected for public comment in early 2026 with final standard in 2027.",High,All systems relying solely on ML-KEM without backup KEM,"HQC as backup KEM alongside ML-KEM-768/1024, algorithm diversity strategy",NIST Post-Quantum Cryptography Standardization,https://www.nist.gov/news-events/news/2025/03/nist-selects-hqc-fifth-algorithm-post-quantum-encryption,90,pqc-101|hybrid-crypto,nist-csrc,public/threats/CROSS-006.html,yes,NIST,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,85,,active,,
PQC-REGION-GLOBAL,CROSS-007,"EU NIS2 and eIDAS 2.0 quantum compliance: NIS2 Directive (EU 2022/2555) mandates risk management measures for essential entities including state-of-the-art cryptographic controls — principles-based, not explicitly PQC-prescriptive. eIDAS 2.0 (EU 2024/1183, in force May 2024) introduces European Digital Identity Wallets; PQC requirements for qualified signatures are being developed in ETSI implementing standards and Commission implementing regulations, not in the eIDAS 2.0 regulation text itself.",Critical,All quantum-vulnerable cryptography in EU member state systems and critical infrastructure,"ML-KEM, ML-DSA, SLH-DSA, hybrid implementations per EU coordinated timeline",European Commission Digital Strategy — PQC Roadmap,https://digital-strategy.ec.europa.eu/en/news/eu-reinforces-its-cybersecurity-post-quantum-cryptography,85,compliance-strategy|migration-program|pqc-governance,ec,public/threats/CROSS-007.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Clarified that NIS2/eIDAS 2.0 regulation texts don't explicitly mandate PQC — those requirements live in associated ETSI standards/implementing acts.,60,,active,,
PQC-REGION-GLOBAL,CROSS-008,"NIST SP 800-227 KEM recommendations: Published as final standard on September 18, 2025 — initially released as Initial Public Draft in January 2025. Provides definitions, security properties, and implementation recommendations for key-encapsulation mechanisms as companion guidance to FIPS 203 (ML-KEM). Establishes best practices for KEM usage in protocols, hybrid constructions, and key management — essential reference for correct PQC deployment.",High,"Incorrect or insecure KEM implementations, legacy key exchange protocols","FIPS 203 ML-KEM per SP 800-227 guidance, proper KEM-TLS integration",NIST SP 800-227 Recommendations for KEMs,https://csrc.nist.gov/pubs/sp/800/227/final,90,hybrid-crypto|kms-pqc|hsm-pqc,nist-csrc,public/threats/FIN-004.html,yes,NIST,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 Pass-2 fix: SP 800-227 was IPD January 2025, not ""final September 2025"" — final publication still pending as of mid-2025. 2026-05-19 Pass-5 fix: SP 800-227 published final September 18, 2025 (pass-2 had corrected to ""final publication pending"" which was accurate at mid-2025 but is now stale).",85,,active,,
52,CRYPTO-001,Bitcoin ECDSA transaction hijacking: P2PK (Pay-to-Public-Key) outputs in Bitcoin expose the secp256k1 public key directly on-chain — these UTXOs are immediately quantum-vulnerable via Shor's algorithm. P2PKH and P2WPKH addresses initially expose only the public-key hash but become quantum-vulnerable after their first spend (when the public key is revealed in the signature). The combined quantum-exposed surface includes early Satoshi-era P2PK coins and any address that has ever transacted.,Critical,"secp256k1 ECDSA, P2PK UTXOs (immediate quantum exposure), P2PKH/P2WPKH addresses post-first-spend",P2QRH (BIP-360) proposal with ML-DSA and SLH-DSA,Federal Reserve HNDL Paper,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,75,digital-assets,federal-reserve,public/threats/FIN-002.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Distinguished P2PK (immediate exposure) from P2PKH/P2WPKH (exposed only after first spend). Original conflated these.,60,,active,,
52,CRYPTO-002,"Blockchain quantum vulnerability: Ethereum uses ECDSA secp256k1 for transaction signing. Ethereum addresses are keccak256-hashes of the public key — the public key is exposed once an account broadcasts its first outbound transaction (revealed in the ECDSA signature), creating direct Shor-attack exposure for any address that has ever transacted. The Ethereum Foundation roadmap discusses account abstraction (EIP-4337, EIP-7560) as a path toward quantum-safe wallets, but no finalized EIP mandates a PQ migration timeline.",Critical,"ECDSA secp256k1 transaction signing, public-key exposure on first outbound transaction, BIP-32/39/44 HD wallet derivation","Account Abstraction (EIP-4337), Verkle Trees, quantum-resistant signature schemes",Ethereum Foundation roadmap (account abstraction track),https://ethereum.org/en/roadmap/future-proofing/,75,digital-assets,eth-foundation,public/threats/CRYPTO-002.html,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Removed non-existent EIP-7885 reference; removed Bitcoin-specific P2PK concept (Ethereum has no P2PK). Quantum exposure is per-account, post-first-transaction.",60,,active,,
52,CRYPTO-003,"Blockchain HNDL permanence risk: Distributed ledger networks face permanent data privacy risks from harvest-now-decrypt-later attacks even with future PQC deployment. On-chain transaction data is immutable — encrypted data harvested today remains accessible to future quantum decryption. Privacy-preserving blockchain protocols (Zcash, Monero) using zero-knowledge proofs and ring signatures over elliptic-curve cryptography face structural HNDL exposure that PQC migration cannot retroactively remediate.",Critical,"RSA-2048, ECDSA, ECDH in blockchain protocols, BLS signatures","ML-KEM-1024, ML-DSA-87, SLH-DSA, validator PQC authentication",BIS Papers No. 149 + cryptocurrency research literature,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,85,digital-assets|quantum-threats|data-asset-sensitivity,federal-reserve,public/threats/FIN-002.html,no,,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-19 Pass-4 fix: removed unverifiable ""Federal Reserve Board FEDS Paper September 2025"" citation — no such paper verifiable; rewrote to convey the same point without the speculative citation.",60,,active,,
52,CRYPTO-004,"Cryptocurrency custody HSM quantum vulnerability: Institutional custody solutions managing billions in digital assets rely on secp256k1 ECDSA keys stored in HSMs. NIST PQC standardization identifies ECDSA as quantum-vulnerable. Custody HSM vendors face multi-year FIPS 140-3 recertification timelines for PQC-enabled modules, creating a gap between threat emergence and mitigation availability.",Critical,"secp256k1 ECDSA custody keys, RSA/ECDH key wrapping, HSM root keys","ML-KEM-1024, ML-DSA-87, PQC-enabled custody HSMs",Cryptocurrency Security Standard (CCSS),https://cryptoconsortium.org/standards-2/,75,digital-assets|kms-pqc|hsm-pqc,ccss,public/threats/CRYPTO-004.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,
22,ENERGY-001,"Smart grid AMI quantum exposure: The IEC 62351 series defines security for power systems communications — IEC 62351-3 (TLS for ICCP and station bus), IEC 62351-5 (DNP3 Secure Authentication v5), and IEC 62351-9 (key management) cover AMI meter authentication and PKI. (IEC 62351-8 is specifically the Role-Based Access Control part, not a general PKI standard.) Smart meter lifespans of 15-20 years mean meters deployed today will operate in the CRQC era.",Critical,"RSA-2048 in SCADA authentication, ECDSA in IEC 61850, DNP3 Secure Authentication","IEC 62351 quantum update, ML-DSA for SCADA authentication, hybrid protocols",IEC 62351-3/-5/-9 (Power Systems Security),https://webstore.iec.ch/publication/6912,80,iot-ot-pqc|vpn-ssh-pqc|hybrid-crypto|energy-utilities-pqc|network-security-pqc,iec,public/threats/ENERGY-001.html,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18 accuracy fix: Corrected IEC 62351 part: -8 is RBAC, not AMI PKI. AMI auth = -3 (TLS), -5 (DNP3 SA), -9 (key mgmt).",60,,active,,
22,ENERGY-002,Nuclear facility digital I&C quantum exposure: NRC 10 CFR 73.54 requires cybersecurity for nuclear power plant digital instrumentation and control systems. Nuclear plants operate under 40-year initial licenses with 20-year renewals (some seeking subsequent 20-year renewals to 80 years total). Digital safety systems deployed today will operate well into the CRQC era.,Critical,"Safety system digital I&C cryptography, nuclear safeguards data encryption","Defense-in-depth with ML-KEM/ML-DSA, CNSA 2.0 compliance for nuclear systems",NRC Cybersecurity Requirements (10 CFR 73.54),https://www.nrc.gov/security/cybersecurity,80,iot-ot-pqc|compliance-strategy|energy-utilities-pqc,nrc,,no,,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — NRC URL reorganized; cyber-security.html → /security/cybersecurity (no hyphen, no extension).",60,,active,,
22,ENERGY-003,"Smart grid quantum security research: University of Toronto CA$1.45M research project identifies real-time quantum attack scenarios targeting grid controllers, smart meters, and energy routers. Over 1 billion smart meters globally will require PQC migration; many lack OTA update capability requiring physical replacement.",Critical,"AMI mesh networking, smart meter PKI, PMU authentication, distribution automation","Quantum-safe AMI protocols, IEC 62351 PQC update, constrained device PQC",University of Toronto Smart Grid Security Research,https://www.tdworld.com/smart-utility/article/55267114/protecting-power-utilities-from-quantum-attack,80,iot-ot-pqc|crypto-agility|energy-utilities-pqc,gri,,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). 2026-05-18: URL corrected — U of Toronto news page returned 403; T&D World article on PQC for power utilities is open-access alternative.,60,,active,,
22,ENERGY-004,"Pipeline and oil/gas SCADA quantum vulnerability: IEC 62443 governs industrial automation security for natural gas, oil, and water pipeline control systems. Equipment lifecycles of 20-30 years and air-gapped or semi-air-gapped network architectures complicate PQC migration. Pipeline SCADA systems are classified as critical infrastructure by CISA.",High,"ICS/SCADA protocols, VPN encryption for pipeline monitoring, RTU authentication","IEC 62443 PQC update, hybrid VPN protocols, ML-DSA for RTU authentication",IEC 62443 Industrial Automation Security,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,75,iot-ot-pqc|vpn-ssh-pqc|kms-pqc|hsm-pqc|energy-utilities-pqc|network-security-pqc,iec,public/threats/IOT-002.html,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources).,60,,active,,
