product_id,software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,cpe_coverage_flag,data_quality_notes,deprecated_at,deprecated_reason
bitlocker-windows,BitLocker (Windows),,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'BitLocker (Windows)' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bitvise-ssh-server,Bitvise SSH Server,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Bitvise SSH Server' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bitwarden,Bitwarden,cpe:2.3:a:bitwarden:server:1.0.0:*:*:*:*:*:*:*,bitwarden,server,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitwarden%20bitwarden,2026-04-01,cpe_partial_match,Partial CPE match for 'Bitwarden'; version qualifier absent. Verify against NVD: https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bitwarden%20bitwarden.,,
boringssl,BoringSSL,cpe:2.3:a:google:chrome:0.2.149.29:*:*:*:*:*:*:*,google,chrome,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=google%20chrome,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
botan,Botan,cpe:2.3:a:botan_project:botan:1.10.0:*:*:*:*:*:*:*,botan_project,botan,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=botan%20botan,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
bouncy-castle-c-net,Bouncy Castle C# .NET,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Bouncy Castle C# .NET' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bouncy-castle-c-java,Bouncy Castle C\# / Java,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Bouncy Castle C\# / Java' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
bouncy-castle-java,Bouncy Castle Java,cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.36:*:*:*:*:*:*:*,bouncycastle,legion-of-the-bouncy-castle-java-crytography-api,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=bouncy%20castle%20java,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
bouncy-castle-java-lts,Bouncy Castle Java LTS,,,,,not_found,,2026-04-01,cpe_not_found_pending_nvd,'Bouncy Castle Java LTS' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe,,
brave-browser,Brave Browser,cpe:2.3:a:brave:browser:1.9.56:*:*:*:*:android:*:*,brave,browser,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=brave%20browser,2026-04-01,cpe_matched,"CPE verified. Source: NVD, 2026-05-06.",,
