Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceRefs,KeyResourceUrls,trusted_source_id,peer_reviewed,vetting_body,data_quality_notes,status,deprecated_at,deprecated_reason,KeyResourceUrl
Vincent Strubel,France,Director General,ANSSI (France),Public,Government,"Led overall French PQC strategy; ANSSI to require PQC in all products for qualification from 2027; oversaw first PQC certifications (Thales MultiApp 5.2, Samsung S3SSE2A, 2025); IPsec DR PQC update planned 2026.",https://ui-avatars.com/api/?name=Vincent+Strubel&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gouv.fr/en/,https://www.linkedin.com/in/vincent-strubel-7b7056200/,ANSSI PQC Position Paper;ANSSI-PQC-FAQ-2025;ANSSI-PQC-Position-2022;EU-BSI-PQC-Joint-Statement-2024,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition; https://cyber.gouv.fr/publications/avis-de-lanssi-sur-la-migration-vers-la-cryptographie-post-quantique-0,,no,ANSSI (France),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Claudia Plattner,Germany,President,BSI (Germany),Public,Government,"Since July 2023 led BSI's quantum-safe initiatives; initiated joint PQC statement with 18 EU member states (Nov 2024); oversaw world-first quantum-secure ID card with Bundesdruckerei, G+D, and Infineon (Nov 2025).",https://ui-avatars.com/api/?name=Claudia+Plattner&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/claudiaplattner/,BSI TR-02102-1;BSI-AIS-20-31;BSI-ANSSI-QKD-Position-2024;EU-BSI-PQC-Joint-Statement-2024,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-geordnet/tr02102/tr02102_node.html,bsi,no,BSI (Germany),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Stephan Ehlen,Germany,Expert Quantum Technologies and PQC,BSI (Germany),Public,Government,"Presented BSI's PQC policy at international conferences; developed recommendations for FrodoKEM, Classic McEliece, XMSS, LMS.",https://ui-avatars.com/api/?name=Stephan+Ehlen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/stephan-ehlen/,BSI TR-02102-1;BSI-AIS-20-31;BSI-ANSSI-QKD-Position-2024;EU-BSI-PQC-Joint-Statement-2024,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/Technische-Richtlinien/TR-nach-Thema-geordnet/tr02102/tr02102_node.html,bsi,no,BSI (Germany),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Juhan Lepassaar,European Union,Executive Director,ENISA,Public,Government,Oversaw publication of key ENISA PQC reports (2021-2022); hosted Threathunt 2030 Conference; coordinated EU-wide PQC guidance.,https://ui-avatars.com/api/?name=Juhan+Lepassaar&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.enisa.europa.eu/,https://www.linkedin.com/in/juhan-lepassaar-961205340/,ENISA PQC Guidelines;ENISA-EUDI-Wallet-Security;EU-NIS-CG-Roadmap-v1.1;EUCC v2.0 ACM,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation; https://www.enisa.europa.eu/publications/post-quantum-cryptography-integration-study; https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography; https://certification.enisa.europa.eu/document/download/f4657490-9757-4a97-8deb-fd4d6a1358ee_en?filename=EUCC_guidelines_Agreed+Cryptographic+Mechanisms+v2.pdf,enisa,no,ENISA,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Vadim Lyubashevsky,United States,Principal Research Scientist,IBM Research Europe Zurich,Academic,Algorithm Inventor,Principal designer of both Kyber (ML-KEM) and Dilithium (ML-DSA); authored foundational lattice cryptography tutorials.,https://ui-avatars.com/api/?name=Vadim+Lyubashevsky&background=0b0d17&color=f59e0b&size=128&bold=true,https://researcher.watson.ibm.com/researcher/view.php?person=zurich-VAD,https://www.linkedin.com/in/vadim-lyubashevsky-13b8142/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Léo Ducas,France,Senior Researcher; Professor,CWI Amsterdam; Leiden University,Academic,Algorithm Inventor,"Co-designer of Kyber, Dilithium, NewHope, Frodo; leading expert on lattice cryptanalysis; USENIX/Facebook Internet Defense Prize recipient.",https://ui-avatars.com/api/?name=Leo+Ducas&background=0b0d17&color=f59e0b&size=128&bold=true,https://homepages.cwi.nl/~ducas/,https://www.linkedin.com/in/leo-ducas-28b6a04a/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Eike Kiltz,Germany,Professor,Ruhr University Bochum,Academic,Algorithm Inventor,Co-designer of Kyber and Dilithium; developed security proofs for lattice-based schemes.,https://ui-avatars.com/api/?name=Eike+Kiltz&background=0b0d17&color=f59e0b&size=128&bold=true,https://informatik.rub.de/kiltz/,https://www.linkedin.com/in/eike-kiltz-24b167387/,FIPS 203;FIPS 204,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Andreas Hülsing,Germany,Associate Professor,TU Eindhoven; SandboxAQ,Academic,Algorithm Inventor,Team leader and primary submitter for SPHINCS+; inventor of WOTS+ and XMSS; extensive publications on hash-based signatures.,https://ui-avatars.com/api/?name=Andreas+Hulsing&background=0b0d17&color=f59e0b&size=128&bold=true,https://huelsing.net/wordpress/?page_id=5,https://www.linkedin.com/in/andreas-huelsing-b7868874/,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Gilles Zémor,France,Professor,Institut de Mathématiques de Bordeaux,Academic,Algorithm Inventor,Co-designer of HQC; expertise in coding theory and efficient error-correcting codes.,https://ui-avatars.com/api/?name=Gilles+Zemor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.math.u-bordeaux.fr/,https://www.linkedin.com/in/gilles-zémor-a02292b/,FIPS-207-HQC,https://pqc-hqc.org/,,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Todd Moore,France,Global VP Data Security Products,Thales,Private,Industry Vendor,Leads Luna HSMs and High Speed Encryptors; launched PQC Starter Kit with Quantinuum (Jan 2024); Thales co-authored FALCON algorithm.,https://ui-avatars.com/api/?name=Todd+Moore&background=0b0d17&color=a78bfa&size=128&bold=true,https://cpl.thalesgroup.com/,https://www.linkedin.com/in/todd-moore-a21a143/,HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025;Samsung-Thales-ML-KEM-eSE-2026,https://cpl.thalesgroup.com/blog/encryption/quantum-readiness-collaborative-path-infosec-global-thales; https://semiconductor.samsung.com/news-events/tech-blog/s3sse2a-hardware-pqc-locks-in-security-for-the-quantum-era/,thales-research,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Douglas Stebila,Canada,Professor,University of Waterloo,Academic,Standards,Lead author of draft-ietf-tls-hybrid-design (TLS 1.3 hybrid key exchange); co-author of ECDHE-MLKEM drafts; foundational PQC TLS research.,https://ui-avatars.com/api/?name=Douglas+Stebila&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.douglas.stebila.ca/,https://www.linkedin.com/in/douglasstebila/,draft-ietf-tls-ecdhe-mlkem-04,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,ietf,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Heung Youl Youm,South Korea,Former Chair ITU-T SG17 (2017-2024),Soonchunhyang University,Academic,Standards,Led ITU-T SG17 security standardization including QKD and PQC work for 7 years.,https://ui-avatars.com/api/?name=Heung+Youl+Youm&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sch.ac.kr/,https://www.linkedin.com/in/heung-youl-youm-77868412/,KpqC-Competition-Results;ETSI-GR-QSC-001,https://www.kisa.or.kr/en/post/kpqc_competition_result; https://www.etsi.org/deliver/etsi_gr/QSC/001_099/001/01.01.01_60/gr_QSC001v010101p.pdf,kisa,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Prof. Dr. Michele Mosca,Canada,Founder Institute for Quantum Computing; Professor,University of Waterloo; evolutionQ,Academic,Standards,PC Chair of ETSI/IQC Quantum Safe events; founder of IQC; global PQC advocacy leader; developed Mosca's theorem for quantum risk assessment.,https://ui-avatars.com/api/?name=Michele+Mosca&background=0b0d17&color=60a5fa&size=128&bold=true,https://uwaterloo.ca/institute-for-quantum-computing/,https://www.linkedin.com/in/dr-mosca/,GRI-Quantum-Threat-Timeline-2024;GRI-Quantum-Threat-Timeline-2025,https://globalriskinstitute.org/publication/2025-quantum-threat-timeline-report/,gri,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Rachel Noble,Australia,Former Director-General,ASD (Australia),Public,Government,Director-General of ASD (2020–Sep 2024); oversaw Australia's PQC strategy and quantum computing investments; coordinated Five Eyes quantum security initiatives; succeeded by Abigail Bradshaw (Sep 2024).,https://ui-avatars.com/api/?name=Rachel+Noble&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.asd.gov.au/,https://www.linkedin.com/in/rachel-noble-908766324/,AU-ASD-ISM-Crypto-2024,https://blueprint.asd.gov.au/security-and-governance/system-security-plan/cryptography/,,no,ASD (Australia),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Sami Khoury,Canada,Senior Official for Cyber Security; Former Head CCCS,Government of Canada,Public,Government,Canada's Senior Official for Cyber Security (from Sep 2024); former Head of the Canadian Centre for Cyber Security (CCCS); led Canadian cybersecurity strategy including PQC transition guidance; published ITSAP.00.017 on quantum-safe migration.,https://ui-avatars.com/api/?name=Sami+Khoury&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gc.ca/,https://www.linkedin.com/in/sami-khoury-1a263422/,CA-TBS-SPIN-PQC-2025,https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,cccs,no,Government of Canada,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Jintai Ding,United States,Professor Emeritus; Dean,University of Cincinnati; Xi'an Jiaotong-Liverpool University,Academic,Algorithm Inventor,Charles Phelps Taft Distinguished Professor Emeritus at University of Cincinnati; Dean of the School of Mathematics and Physics at Xi'an Jiaotong-Liverpool University (XJTLU); co-designer of RAINBOW (broken by Ward Beullens 2022); expert in multivariate cryptography.,https://ui-avatars.com/api/?name=Jintai+Ding&background=0b0d17&color=f59e0b&size=128&bold=true,https://homepages.uc.edu/~dingjt/,https://www.linkedin.com/in/jintai-ding-865b631b/,NIST IR 8413;NIST IR 8309,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Gorjan Alagic,United States,Associate Research Scientist; Guest Researcher,QuICS (University of Maryland); NIST,Academic,Algorithm Inventor,Associate Research Scientist at QuICS (University of Maryland) and Guest Researcher at NIST; co-editor of NISTIR 8413 on quantum security; extensive work on quantum algorithms and PQC security proofs.,https://ui-avatars.com/api/?name=Gorjan+Alagic&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.nist.gov/,https://www.linkedin.com/in/gorjan-alagic/,NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Bruce Schneier,United States,Security Technologist; Author,Harvard Kennedy School,Academic,Standards,Public interest technology fellow; cybersecurity thought leader; extensive writing on quantum threats and PQC transition; advocate for open standards.,https://ui-avatars.com/api/?name=Bruce+Schneier&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.schneier.com/,,NIST IR 8105;NIST CSWP 39,https://nvlpubs.nist.gov/nistpubs/ir/2016/NIST.IR.8105.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Johannes Buchmann,Germany,Professor Emeritus,TU Darmstadt,Academic,Standards,Founder of European PQC research; established TU Darmstadt's cryptography group; extensive contributions to code-based and lattice cryptography education.,https://ui-avatars.com/api/?name=Johannes+Buchmann&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.cryptoplexity.de/,https://www.linkedin.com/in/johannes-buchmann-6b9a18221/,IETF RFC 8391;NIST SP 800-208;FIPS 205,https://csrc.nist.gov/pubs/sp/800/208/final; https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Rainer Steinwandt,United States,Professor,Florida Atlantic University,Academic,Standards,Focuses on quantum-safe protocols and implementations; research on PQC in constrained environments; contributor to IoT security standards.,https://ui-avatars.com/api/?name=Rainer+Steinwandt&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.fau.edu/,https://www.linkedin.com/in/rainer-steinwandt-02849412/,draft-ietf-pquip-pqc-engineers-14;NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,nist-news,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Dr. Nikita Borisov,United States,Professor,University of Illinois,Academic,Standards,Research on PQC in real-world protocols; contributor to secure messaging systems; extensive work on hybrid encryption schemes.,https://ui-avatars.com/api/?name=Nikita+Borisov&background=0b0d17&color=60a5fa&size=128&bold=true,https://ece.illinois.edu/,https://www.linkedin.com/in/nikitaborisov/,draft-ietf-tls-hybrid-design-16;IETF RFC 9180,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/; https://www.rfc-editor.org/rfc/rfc9180,ietf,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Jaime Gomez Garcia,Spain,Head of Quantum Technologies,Banco Santander,Private,Industry Adopter,Pioneer in financial-sector PQC adoption; leads Santander's quantum-safe cryptography strategy; active in ETSI QSC working group and IBM Quantum Network; promotes quantum risk awareness across global banking.,https://ui-avatars.com/api/?name=Jaime+Gomez+Garcia&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.santander.com/,https://www.linkedin.com/in/jaime-gomez-garcia/,Europol-FS-ISAC-PQC-Financial-2026;BIS-Paper-158,https://www.europol.europa.eu/publications-events/publications/prioritising-post-quantum-cryptography-migration-activities-in-financial-services; https://www.bis.org/publ/bppdf/bispap158.htm,,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Bill Newhouse,United States,Cybersecurity Engineer,NIST NCCoE,Public,Government,Project lead for NIST NCCoE PQC migration practice guides (SP 1800-38 series); co-authored NIST IR 8547 on interoperability and FIPS 203/204/205 adoption; drives federal agency quantum-safe readiness.,https://ui-avatars.com/api/?name=Bill+Newhouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.nccoe.nist.gov/,https://www.linkedin.com/in/cybernewhouse/,FIPS 203;FIPS 204;FIPS 205;NIST NCCoE SP 1800-38A;NIST NCCoE SP 1800-38B,https://csrc.nist.gov/pubs/fips/203/final; https://csrc.nist.gov/pubs/fips/204/final; https://csrc.nist.gov/pubs/fips/205/final,nist-csrc,no,NIST NCCoE,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Blair Canavan,Canada,Director of Alliances – PKI and PQC Portfolio,Thales,Private,Industry Vendor,"Leads Thales PQC Partner Ecosystem and Quantum-Safe 360 Alliance (with IBM Consulting, Keyfactor, Quantinuum) to accelerate enterprise quantum-safe migrations; 30+ years of cybersecurity expertise driving crypto-agility readiness.",https://ui-avatars.com/api/?name=Blair+Canavan&background=0b0d17&color=a78bfa&size=128&bold=true,https://cpl.thalesgroup.com/,https://www.linkedin.com/in/blair-canavan-5b708a2/,HSBC-InfoSecGlobal-Thales-CryptographicInventory-2025;Samsung-Thales-ML-KEM-eSE-2026,https://cpl.thalesgroup.com/blog/encryption/quantum-readiness-collaborative-path-infosec-global-thales; https://semiconductor.samsung.com/news-events/tech-blog/s3sse2a-hardware-pqc-locks-in-security-for-the-quantum-era/,thales-research,no,,Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
Fabiana Da Pieve,Italy,Programme and Policy Officer,European Commission (DG CNECT),Public,Government,Designs EU-wide PQC deployment policy at DG CNECT; co-leads the NIS cooperation group PQC workstream coordinating member-state quantum-safe transitions; bridges quantum physics research with cryptographic security policy including EuroQCI.,https://ui-avatars.com/api/?name=Fabiana+Da+Pieve&background=0b0d17&color=22d3ee&size=128&bold=true,https://digital-strategy.ec.europa.eu/,https://www.linkedin.com/in/fabiana-da-pieve-585b132a/,EU PQC Recommendation;EU-NIS-CG-Roadmap-v1.1;EUDI-Wallet-ARF,https://digital-strategy.ec.europa.eu/en/news/eu-reinforces-its-cybersecurity-post-quantum-cryptography; https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography; https://digital-strategy.ec.europa.eu/en/policies/eudi-wallet-implementation,ec,no,European Commission (DG CNECT),Proposed 2026-05-06: KeyResourceUrl renamed to KeyResourceRefs (contains doc labels); KeyResourceUrls column added with resolved canonical URLs.,active,,,
