industry,standard_id,standard_label,standards_body,library_ref,mechanisms_referenced,evidence_type,pqc_readiness,use_case_ids,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason
Cross-Industry,BSI-TR-02102-3,BSI TR-02102-3 IPsec crypto recommendations,BSI,BSI TR-02102-3,ECDH;RSA,standard,in-progress,cross-vpn,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,bsi,,yes,BSI,0.9,2026-07-29,active,,
Government & Defense,CNSA-2.0,NSA CNSA 2.0 algorithm suite,NSA,NSA CNSA 2.0,ML-KEM;ML-DSA;LMS;XMSS,standard,published,gov-nss;gov-classified,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,,yes,NSA,0.9,2026-07-29,active,,
Government & Defense,RFC-8603,CNSA suite TLS profile,IETF,RFC 8603,RSA;ECDSA;ECDH,standard,in-progress,gov-nss,Commercial National Security Algorithm (CNSA) Suite Profile for TLS 1.2 and 1.3,https://www.rfc-editor.org/rfc/rfc8603.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Telecommunications,GSMA-PQ.03,GSMA PQ.03 PQC guidelines for telecom,GSMA,GSMA PQ.03 PQC Guidelines,ML-KEM;ML-DSA,guidance,published,telco-transport;telco-subscriber,Post-Quantum Cryptography Guidelines for Telecom Use Cases,https://www.gsma.com/newsroom/wp-content/uploads/PQ.03-Post-Quantum-Cryptography-Guidelines-for-Telecom-Use-Cases-v2.0-2.pdf,gsma,,yes,GSMA,0.9,2026-07-29,active,,
Telecommunications,NIST-CSWP-36A,Protecting subscriber identifiers (SUCI),NIST,NIST-CSWP-36A,ECDH,guidance,none,telco-suci,Protecting Subscriber Identifiers with Subscription Concealed Identifier (SUCI): Applying 5G Cybersecurity and Privacy Capabilities,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.36A.pdf,nist-csrc,,yes,NIST,0.9,2026-07-29,active,,
Telecommunications,RFC-9370,Multiple key exchanges in IKEv2,IETF,RFC 9370,ECDH;X25519,standard,published,telco-transport,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
Legal / Notary / eSignature,ETSI-TS-119-312,Cryptographic suites for e-signatures,ETSI,ETSI-TS-119-312-V2-1-1-Electronic-Signatures-and-Trust-Infra,RSA;ECDSA;ML-DSA;SLH-DSA;XMSS;LMS,standard,published,leg-qes;leg-timestamp,ETSI TS 119 312 V2.1.1 - Electronic Signatures and Trust Infrastructures (ESI); Cryptographic Suites,https://www.etsi.org/deliver/etsi_ts/119300_119399/119312/02.01.01_60/ts_119312v020101p.pdf,etsi,,yes,ETSI,0.9,2026-07-30,active,,
IT Industry / Software,RFC-4253,SSH transport layer protocol,IETF,RFC 4253,RSA,standard,published,it-ssh,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,RFC-9941,Hybrid ML-KEM key exchange in SSH,IETF,RFC 9941,ML-KEM;ECDH;X25519,standard,published,it-ssh,Streamlined NTRU Prime sntrup761 Key Exchange for SSH,https://datatracker.ietf.org/doc/html/rfc9941,ietf,,yes,IETF,0.9,2026-07-29,active,,
IT Industry / Software,W3C-WebAuthn,Web Authentication (WebAuthn),W3C,W3C WebAuthn,ECDSA;RSA,standard,in-progress,it-identity,Web Authentication: An API for accessing Public Key Credentials - Level 3,https://www.w3.org/TR/webauthn-3/,w3c,,yes,W3C,0.9,2026-07-29,active,,
Hardware Security Modules,PKCS11-3.2,PKCS #11 v3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,RSA;ECDSA;ECDH;ML-KEM;ML-DSA;SLH-DSA;LMS;XMSS,standard,published,hsm-api,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Hardware Security Modules,KMIP-2.1,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,standard,in-progress,hsm-api,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Cloud Computing / Data Centers,KMIP-2.1-cloud,KMIP 2.1 (OASIS Standard),OASIS,KMIP-V2-1-OASIS,RSA;ECDSA;ECDH,standard,in-progress,cloud-kms,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,yes,OASIS,0.9,2026-07-29,active,,
Education / Research,OpenID4VCI,OpenID for Verifiable Credential Issuance,OIDF,OpenID4VCI-Spec,ECDSA;RSA,standard,in-progress,edu-credentials,OpenID for Verifiable Credential Issuance (OpenID4VCI),https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,openid-foundation,,yes,OIDF,0.9,2026-07-29,active,,
Rail / Transit,SUBSET-137,UNISIG SUBSET-137 on-line key management (ETCS),UNISIG/ERA,UNISIG-SUBSET-137-ERTMS-ETCS-On-line-Key-Management-FFFIS,RSA;ECDH,standard,none,rail-etcs,UNISIG SUBSET-137 — ERTMS/ETCS On-line Key Management FFFIS,https://www.era.europa.eu/system/files/2023-01/sos3_index083_-_subset-137_v100.pdf,era-rail,,yes,UNISIG/ERA,0.9,2026-07-29,active,,
Media / Entertainment / DRM,AACS-Common-Crypto,AACS common cryptographic elements,AACS LA,AACS-Introduction-and-Common-Cryptographic-Elements-Book-Rev,RSA;ECDSA,standard,none,media-drm,AACS Introduction and Common Cryptographic Elements Book (Rev 0.953),https://aacsla.com/wp-content/uploads/2019/02/AACS_Spec_Common_Final_0953.pdf,aacs,,yes,AACS LA,0.9,2026-07-29,active,,
Education / Research,W3C-VC-DM-2.0,W3C Verifiable Credentials Data Model 2.0,W3C,W3C-Verifiable-Credentials-Data-Model-v2-0,ECDSA,standard,in-progress,edu-credentials,W3C Verifiable Credentials Data Model v2.0,https://www.w3.org/TR/vc-data-model-2.0/,w3c,,yes,W3C,0.9,2026-07-29,active,,
Telecommunications,GSMA-PQ.01,GSMA PQ.01 Post-Quantum Telco Network Impact Assessment,GSMA,GSMA-PQ01,RSA;ECDH;ECDSA;ML-KEM;ML-DSA,industry-report,published,telco-transport;telco-certs,GSMA PQ.01 — Post Quantum Telco Network Impact Assessment Whitepaper v1.0 (2023-02-17),https://www.gsma.com/newsroom/wp-content/uploads/PQ.1-Post-Quantum-Telco-Network-Impact-Assessment-Whitepaper-Version1.0.pdf,gsma,,no,GSMA,0.85,2026-07-29,active,,
Cross-Industry,ENISA-Hybrid-PQC,ENISA hybridization of traditional crypto with PQC — standardisation status,ENISA,ENISA-Hybridization-Standardisation-Status,RSA;ECDH;ECDSA;ML-KEM;ML-DSA;FrodoKEM,industry-report,published,cross-pki;cross-vpn,ENISA — Hybridization of Traditional Cryptographic Mechanisms with PQC: Standardisation Status (2026-04-30),https://certification.enisa.europa.eu/document/download/02f54596-6a99-4c9e-88c4-8c711ebff9c1_en?filename=ENISA%20report%20-%20Hybridization%20of%20traditional%20cryptographic%20mechanisms%20with%20PQC%20-%20Standardisation%20Status%20-%2030%20April%202026%20.pdf,enisa,,no,ENISA,0.85,2026-07-29,active,,
Healthcare / Pharmaceutical,ONC-170.315-d7,ONC Health IT Certification § 170.315(d)(7) End-User Device Encryption,ONC,ONC-Health-IT-Certification-Criterion-170-315-d-7-End-User-D,AES,standard,none,hlth-devices,ONC Health IT Certification Companion Guide — § 170.315(d)(7) End-User Device Encryption,https://www.healthit.gov/test-method/end-user-device-encryption,hhs,,yes,ONC,0.9,2026-07-29,active,,
Healthcare / Pharmaceutical,ONC-170.315-d8,ONC Health IT Certification § 170.315(d)(8) Integrity,ONC,ONC-Health-IT-Certification-Criterion-170-315-d-8-Integrity,SHA,standard,published,hlth-ehr,ONC Health IT Certification — § 170.315(d)(8) Integrity (45 CFR 170.210(c)(2)),https://www.healthit.gov/test-method/integrity,hhs,,yes,ONC,0.9,2026-07-29,active,,
Healthcare / Pharmaceutical,ONC-170.315-d9,ONC Health IT Certification § 170.315(d)(9) Trusted Connection,ONC,ONC-Health-IT-Certification-Criterion-170-315-d-9-Trusted-Co,SHA,standard,published,hlth-ehr,ONC Health IT Certification — § 170.315(d)(9) Trusted Connection (45 CFR 170.210(c)(2)),https://www.healthit.gov/test-method/trusted-connection,hhs,,yes,ONC,0.9,2026-07-29,active,,
Internet of Things (IoT),Matter-1.6,Matter 1.6 Core Specification,Connectivity Standards Alliance,Matter-1-6-Core-Specification,ECDSA;AES;SHA,standard,none,,"Matter 1.6 Core Specification (Connectivity Standards Alliance, 2026-06)",https://csa-iot.org/wp-content/uploads/2026/06/23-27349-011_Matter-1.6-Core-Specification.pdf,csa-iot,,yes,Connectivity Standards Alliance,0.9,2026-07-29,active,,
Telecommunications,ATIS-5G-Quantum,ATIS — Preparing 5G for the Quantum Era,ATIS,ATIS-Preparing-5G-for-the-Quantum-Era-An-Analysis-of-3GPP-Ar,RSA;ECDSA;ECDH;ML-KEM;ML-DSA,guidance,in-progress,telco-suci;telco-transport,ATIS — Preparing 5G for the Quantum Era: An Analysis of 3GPP Architecture (2025-02),https://cdn.atis.org/atis.org/2025/02/25152429/Preparing-5G-for-the-Quantum-Era-WP-V9.pdf,atis,,no,ATIS,0.85,2026-07-29,active,,
Aerospace / Aviation,RFC-5280-aero,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,IETF,RFC 5280,RSA,standard,in-progress,aero-avionics-pki,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Aerospace / Aviation,RFC-9881,Algorithm Identifiers for ML-DSA in X.509 PKI,IETF,RFC 9881,ECDSA;ML-DSA;RSA,standard,published,aero-avionics-pki,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,ietf,,partial,IETF,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,AUTOSAR-CP-SWS-CryptoDriver-R23-11,AUTOSAR Classic Platform R23-11 — Specification of Crypto Driver,AUTOSAR,AUTOSAR-CP-SWS-CryptoDriver-R23-11,ECDH;ECDSA,standard,none,auto-invehicle,AUTOSAR Classic Platform R23-11 — Specification of Crypto Driver,https://www.autosar.org/fileadmin/standards/R23-11/CP/AUTOSAR_CP_SWS_CryptoDriver.pdf,autosar,,no,AUTOSAR,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,FIPS-204-auto,Module-Lattice-Based Digital Signature Standard (ML-DSA),NIST,FIPS 204,ML-DSA,standard,published,auto-secure-boot,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,nist-csrc,,yes,NIST,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,NIST-SP-800-208,Recommendation for Stateful Hash-Based Signature Schemes,NIST,NIST SP 800-208,LMS;XMSS,standard,published,auto-secure-boot,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,nist-csrc,,yes,NIST,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,RFC-9881-auto,Algorithm Identifiers for ML-DSA in X.509 PKI,IETF,RFC 9881,ECDSA;ML-DSA,standard,published,auto-v2x,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,ietf,,partial,IETF,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,RFC-9846-The-Transport-Layer-Security-TL,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,IETF,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1,ECDH;ECDSA;RSA;X25519,standard,none,auto-telematics,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc9846.html,ietf,,yes,IETF,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,UEFI-SPEC-2.10-SecureBoot,Unified Extensible Firmware Interface (UEFI) Specification Release 2.11,UEFI Forum,UEFI-SPEC-2.10-SecureBoot,ECDSA;RSA,standard,none,auto-secure-boot,Unified Extensible Firmware Interface (UEFI) Specification Release 2.11,https://uefi.org/sites/default/files/resources/UEFI_Spec_Final_2.11.pdf,uefi-forum,,partial,UEFI Forum,0.9,2026-08-13,active,,
Automotive / Connected Vehicles,draft-ietf-tls-ecdhe-mlkem-05,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),IETF,draft-ietf-tls-ecdhe-mlkem-05,ML-KEM;ECDH;X25519,standard,in-progress,auto-telematics,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),https://www.ietf.org/archive/id/draft-ietf-tls-ecdhe-mlkem-05.html,ietf-internet-drafts,,no,IETF,0.9,2026-08-13,active,,
Cloud Computing / Data Centers,FIPS-203-cloud,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),NIST,FIPS 203,ML-KEM,standard,published,cloud-backup,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,nist-csrc,,yes,NIST,0.9,2026-08-13,active,,
Cloud Computing / Data Centers,PKCS11-V32-OS-OASIS,PKCS #11 Specification Version 3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,ECDSA;ML-DSA;ML-KEM;RSA,standard,published,cloud-hsm-roots,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,partial,OASIS,0.9,2026-08-13,active,,
Cloud Computing / Data Centers,RFC-9151,Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3,IETF,RFC 9151,ECDH;RSA,standard,none,cloud-backup,Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3,https://www.rfc-editor.org/rfc/rfc9151.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,IETF-RFC-7296,Internet Key Exchange Protocol Version 2 (IKEv2),IETF,IETF RFC 7296,RSA,standard,none,energy-pipeline,Internet Key Exchange Protocol Version 2 (IKEv2),https://www.rfc-editor.org/rfc/rfc7296.html,ietf,,yes,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,RFC-5280-energy,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,IETF,RFC 5280,RSA,standard,in-progress,energy-ami,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,RFC-8784,Mixing Preshared Keys in IKEv2 for Post-quantum Security,IETF,RFC 8784,ECDH,standard,none,energy-pipeline,Mixing Preshared Keys in IKEv2 for Post-quantum Security,https://www.rfc-editor.org/rfc/rfc8784.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,RFC-9151-energy,Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3,IETF,RFC 9151,ECDH;ECDSA;RSA,standard,none,energy-scada,Commercial National Security Algorithm (CNSA) Suite Profile for TLS and DTLS 1.2 and 1.3,https://www.rfc-editor.org/rfc/rfc9151.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,RFC-9881-energy,Algorithm Identifiers for ML-DSA in X.509 PKI,IETF,RFC 9881,ECDSA;RSA,standard,published,energy-ami,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,ietf,,partial,IETF,0.9,2026-08-13,active,,
Critical Infrastructure / Energy,draft-ietf-lamps-pq-composite-kem-19,Composite ML-KEM for use in X.509 PKI (draft-ietf-lamps-pq-composite-kem-19),IETF,draft-ietf-lamps-pq-composite-kem-19,ECDH;ECDSA;RSA,standard,in-progress,energy-ami,Composite ML-KEM for use in X.509 PKI (draft-ietf-lamps-pq-composite-kem-19),https://www.ietf.org/archive/id/draft-ietf-lamps-pq-composite-kem-19.html,ietf-internet-drafts,,no,IETF,0.9,2026-08-17,active,,
Critical Infrastructure / Energy,draft-wang-ipsecme-kem-auth-ikev2-03,KEM based Authentication for IKEv2 with Post-quantum Security,IETF,draft-wang-ipsecme-kem-auth-ikev2-03,ML-KEM,standard,in-progress,energy-pipeline,KEM based Authentication for IKEv2 with Post-quantum Security,https://datatracker.ietf.org/doc/draft-wang-ipsecme-kem-auth-ikev2/03/,ietf,,partial,IETF,0.9,2026-08-13,active,,
Cryptocurrency / Blockchain,BIP-340,BIP-340: Schnorr Signatures for secp256k1,Bitcoin BIP,BIP-340,ECDSA,standard,none,crypto-consensus,BIP-340: Schnorr Signatures for secp256k1,https://github.com/bitcoin/bips/blob/master/bip-0340.mediawiki,bitcoin-core,,no,Bitcoin BIP,0.9,2026-08-13,active,,
Cryptocurrency / Blockchain,FIPS-204-crypto,Module-Lattice-Based Digital Signature Standard (ML-DSA),NIST,FIPS 204,ML-DSA,standard,published,crypto-consensus,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,nist-csrc,,yes,NIST,0.9,2026-08-13,active,,
Cryptocurrency / Blockchain,PKCS11-V32-OS-OASIS-crypto,PKCS #11 Specification Version 3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,ECDH;ECDSA;ML-KEM;RSA,standard,published,crypto-custody,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,partial,OASIS,0.9,2026-08-13,active,,
Cryptocurrency / Blockchain,SEC2-v2,SEC 2 v2: Recommended Elliptic Curve Domain Parameters,SECG,SEC2-v2,ECDSA,standard,none,crypto-tx-signing,SEC 2 v2: Recommended Elliptic Curve Domain Parameters,https://www.secg.org/sec2-v2.pdf,secg,,no,SECG,0.9,2026-08-13,active,,
Education / Research,RFC-5280-edu,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,IETF,RFC 5280,RSA,standard,in-progress,edu-federation,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Education / Research,RFC-9881-edu,Algorithm Identifiers for ML-DSA in X.509 PKI,IETF,RFC 9881,ECDSA;RSA,standard,published,edu-federation,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,ietf,,partial,IETF,0.9,2026-08-13,active,,
Education / Research,RFC-9846-The-Transport-Layer-Security-TL-edu,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,IETF,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1,ECDH;ECDSA;RSA,standard,none,edu-sis;edu-research-data,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc9846.html,ietf,,yes,IETF,0.9,2026-08-13,active,,
Education / Research,draft-ietf-tls-ecdhe-mlkem-05-edu,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),IETF,draft-ietf-tls-ecdhe-mlkem-05,ML-KEM;ECDH;X25519,standard,in-progress,edu-sis;edu-research-data,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),https://www.ietf.org/archive/id/draft-ietf-tls-ecdhe-mlkem-05.html,ietf-internet-drafts,,no,IETF,0.9,2026-08-13,active,,
Finance & Banking,KMIP-V2-1-OASIS,Key Management Interoperability Protocol (KMIP) Version 2.1,OASIS,KMIP-V2-1-OASIS,ECDH;RSA,standard,in-progress,fin-hsm,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,oasis,,partial,OASIS,0.9,2026-08-13,active,,
Finance & Banking,PKCS11-V32-OS-OASIS-fin,PKCS #11 Specification Version 3.2 (OASIS Standard),OASIS,PKCS11-V32-OS-OASIS,ECDH;ML-KEM;RSA,standard,published,fin-hsm,PKCS #11 Specification Version 3.2 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/os/pkcs11-spec-v3.2-os.html,oasis,,partial,OASIS,0.9,2026-08-13,active,,
Finance & Banking,RFC-5280-fin,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,IETF,RFC 5280,RSA,standard,in-progress,fin-interbank,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,no,IETF,0.9,2026-08-13,active,,
Finance & Banking,RFC-9881-fin,Algorithm Identifiers for ML-DSA in X.509 PKI,IETF,RFC 9881,ECDSA;ML-DSA;RSA,standard,published,fin-interbank,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,ietf,,partial,IETF,0.9,2026-08-13,active,,
Finance & Banking,RFC-9846-The-Transport-Layer-Security-TL-fin,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,IETF,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1,ECDH;ECDSA;RSA;X25519,standard,none,fin-customer,RFC 9846 — The Transport Layer Security (TLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc9846.html,ietf,,yes,IETF,0.9,2026-08-13,active,,
Finance & Banking,draft-ietf-tls-ecdhe-mlkem-05-fin,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),IETF,draft-ietf-tls-ecdhe-mlkem-05,ML-KEM;ECDH;X25519,standard,in-progress,fin-customer,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLS 1.3 (draft-ietf-tls-ecdhe-mlkem-05),https://www.ietf.org/archive/id/draft-ietf-tls-ecdhe-mlkem-05.html,ietf-internet-drafts,,no,IETF,0.9,2026-08-13,active,,
Hardware Security Modules,NIST-SP-800-208-hsm,Recommendation for Stateful Hash-Based Signature Schemes,NIST,NIST SP 800-208,LMS;XMSS,standard,published,hsm-roots,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,nist-csrc,,yes,NIST,0.9,2026-08-13,active,,
Hardware Security Modules,TCG-TPM-V185-Part1,TCG TPM 2.0 Library Specification V185 — Part 1: Architecture,TCG,TCG-TPM-V185-Part1,ECDSA;ML-DSA;RSA,standard,published,hsm-roots,TCG TPM 2.0 Library Specification V185 — Part 1: Architecture,https://trustedcomputinggroup.org/wp-content/uploads/Trusted-Platform-Module-2.0-Library-Part-1-Architecture_Version-185_pub.pdf,tcg,,yes,TCG,0.9,2026-08-13,active,,
Hardware Security Modules,UEFI-SPEC-2.10-SecureBoot-hsm,Unified Extensible Firmware Interface (UEFI) Specification Release 2.11,UEFI Forum,UEFI-SPEC-2.10-SecureBoot,ECDSA;RSA,standard,none,hsm-roots,Unified Extensible Firmware Interface (UEFI) Specification Release 2.11,https://uefi.org/sites/default/files/resources/UEFI_Spec_Final_2.11.pdf,uefi-forum,,partial,UEFI Forum,0.9,2026-08-13,active,,
Healthcare / Pharmaceutical,RFC-5280-hlth,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,IETF,RFC 5280,RSA,standard,in-progress,hlth-supply,Internet X.509 Public Key Infrastructure Certificate and CRL Profile,https://www.rfc-editor.org/rfc/rfc5280.html,ietf,,no,IETF,0.9,2026-08-13,active,,
