xwalk_id,from_concept,to_concept,relationship_type,rationale_type,evidence,verified_date,verified_by,confidence
xw-042,draft-celi-wiggers-tls-authkem,draft-ietf-lamps-kyber-certificates,intersects_with,technical_dependency,"""[I-D.ietf-lamps-kyber-certificates] describes how ML-KEM keys can be encoded in X.509 certificates.""",2026-05-09,qwen3.6:27b,high
xw-043,draft-wiggers-tls-authkem-psk,FIPS 203,intersects_with,technical_dependency,"""This proposal uses ML-KEM [FIPS203] [I-D.cfrg-schwabe-kyber], the first selected algorithm for key exchange in the NIST post-quantum standardization project [NISTPQC].""",2026-05-09,qwen3.6:27b,high
xw-044,draft-wiggers-tls-authkem-psk,RFC 9180,intersects_with,technical_dependency,"""In this proposal, we build on [RFC9180]. This standard currently only covers Diffie-Hellman based KEMs... We implement these methods through the KEMs defined in [RFC9180]""",2026-05-09,qwen3.6:27b,high
xw-045,draft-wiggers-tls-authkem-psk,RFC 8446,intersects_with,technical_dependency,"""This document gives a construction for KEM-based, PSK-style abbreviated TLS 1.3 [RFC8446] handshakes.""",2026-05-09,qwen3.6:27b,high
xw-046,draft-wiggers-tls-authkem-psk,RFC 2119,intersects_with,technical_dependency,"""The key words ""MUST"", ""MUST NOT""... are to be interpreted as described in BCP 14 [RFC2119]""",2026-05-09,qwen3.6:27b,high
xw-047,draft-wiggers-tls-authkem-psk,RFC 8174,intersects_with,technical_dependency,"""The key words ""MUST"", ""MUST NOT""... are to be interpreted as described in BCP 14 [RFC2119] [RFC8174]""",2026-05-09,qwen3.6:27b,high
xw-048,NIST-FIPS140-3-IG-PQC,FIPS 203,intersects_with,implementation_guidance,"""Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms""",2026-05-09,qwen3.6:27b,high
xw-049,NIST-FIPS140-3-IG-PQC,FIPS 204,intersects_with,implementation_guidance,"""Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms""",2026-05-09,qwen3.6:27b,high
xw-050,NIST-FIPS140-3-IG-PQC,FIPS 205,intersects_with,implementation_guidance,"""Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms""",2026-05-09,qwen3.6:27b,high
xw-051,liboqs-v0.15.0,FIPS 203,intersects_with,implementation_guidance,"""Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ML-KEM""",2026-05-09,qwen3.6:27b,high
xw-052,liboqs-v0.15.0,FIPS 204,intersects_with,implementation_guidance,"""Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ML-DSA""",2026-05-09,qwen3.6:27b,high
xw-053,liboqs-v0.15.0,FIPS 205,intersects_with,implementation_guidance,"""Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ... SLH-DSA""",2026-05-09,qwen3.6:27b,high
xw-054,TCG-TPM-V185-Part2,FIPS 203,intersects_with,technical_dependency,Assigns TPM_ALG_MLKEM=0x00A0... Defines TPMT_ASYM_SCHEME for ML-KEM encapsulation... Specifies key-size constants: ML-KEM-768 pk=1184B/ct=1088B,2026-05-09,qwen3.6:27b,high
xw-055,TCG-TPM-V185-Part2,FIPS 204,intersects_with,technical_dependency,Assigns TPM_ALG_MLDSA=0x00A1... Defines TPMT_ASYM_SCHEME for... ML-DSA signing. Specifies key-size constants: ML-DSA-65 pk=1952B/sig=3309B.,2026-05-09,qwen3.6:27b,high
xw-056,TCG-TPM-V185-Part2,TCG-TPM-V185-Part1,intersects_with,technical_dependency,Trusted Platform Module 2.0 Library Part 2: Structures... Normative structure definitions for TPM 2.0 V1.85.,2026-05-09,qwen3.6:27b,high
xw-057,TCG-TPM-V185-Part2,TCG-TPM-V185-Part3,intersects_with,technical_dependency,Trusted Platform Module 2.0 Library Part 2: Structures... Normative structure definitions for TPM 2.0 V1.85.,2026-05-09,qwen3.6:27b,high
xw-058,FIPS 204,FIPS 186-5,intersects_with,policy_reference,"""Additional digital signature schemes are specified and approved in other NIST Special Publications and FIPS publications (e.g., FIPS 186-5 [1]).""",2026-05-09,qwen3.6:27b,high
xw-059,FIPS 204,FIPS 205,intersects_with,policy_reference,"""Either this standard, FIPS 205, FIPS 186-5, or NIST Special Publication 800-208 shall be used in designing and implementing public-key-based signature systems...""",2026-05-09,qwen3.6:27b,high
xw-060,FIPS 204,NIST SP 800-208,intersects_with,policy_reference,"""Either this standard, FIPS 205, FIPS 186-5, or NIST Special Publication 800-208 shall be used in designing and implementing public-key-based signature systems...""",2026-05-09,qwen3.6:27b,high
xw-061,FIPS 204,NIST-SP-800-140C,intersects_with,implementation_guidance,"""Approved cryptographic algorithms and techniques include those that are... Specified in the list of approved security functions in SP 800-140C.""",2026-05-09,qwen3.6:27b,high
xw-062,FIPS 205,FIPS 186-5,intersects_with,policy_reference,"""Additional digital signature schemes are specified and approved in other NIST Special Publications and FIPS publications (e.g., FIPS 186-5 [1]).""",2026-05-09,qwen3.6:27b,high
xw-063,FIPS 205,NIST SP 800-208,intersects_with,policy_reference,"""Either this standard, FIPS 204, FIPS 186-5, or NIST Special Publication 800-208 shall be used in designing and implementing public-key-based signature systems...""",2026-05-09,qwen3.6:27b,high
xw-064,FIPS 205,NIST-SP-800-140C,intersects_with,implementation_guidance,"""Approved cryptographic algorithms and techniques include those that are... Specified in the list of approved security functions in SP 800-140C.""",2026-05-09,qwen3.6:27b,high
xw-065,FIPS 206,FIPS 204,intersects_with,technical_dependency,"""Offers significantly smaller signatures than ML-DSA.""",2026-05-09,qwen3.6:27b,high
xw-066,FIPS 206,FIPS 203,intersects_with,technical_dependency,"""NIST released the principal three PQC standards... FIPS 203... FIPS 204... FIPS 205... NIST continues to evaluate... Falcon... for ongoing standardization""",2026-05-09,qwen3.6:27b,medium
xw-067,FIPS 206,FIPS 205,intersects_with,technical_dependency,"""NIST released the principal three PQC standards... FIPS 203... FIPS 204... FIPS 205... NIST continues to evaluate... Falcon... for ongoing standardization""",2026-05-09,qwen3.6:27b,medium
xw-068,HQC Specification,FIPS 203,intersects_with,technical_dependency,"""We have made several minor modifications to align HQC specifications with design choices made in FIPS-203 such as computing (seedPKE.dk , seedPKE.ek ) using SHA3-512 instead of SHAKE256""",2026-05-09,qwen3.6:27b,high
xw-069,RFC 9802,IETF RFC 8554,intersects_with,technical_dependency,"""The OID and public key algorithm identifier for HSS is defined in [RFC9708]. The definitions are repeated here for reference... [RFC8554] defines the encoding of HSS public keys""",2026-05-09,qwen3.6:27b,high
xw-070,RFC 9802,IETF RFC 8391,intersects_with,technical_dependency,"""[RFC8391] defines the encodings of XMSS and XMSSMT public keys... [RFC8391] and [SP800208] define these values""",2026-05-09,qwen3.6:27b,high
xw-071,RFC 9802,RFC 9708,intersects_with,technical_dependency,"""An additional OID is defined in [RFC9708] and repeated here for convenience... The OID and public key algorithm identifier for HSS is defined in [RFC9708]""",2026-05-09,qwen3.6:27b,high
xw-072,RFC 9802,NIST SP 800-208,intersects_with,implementation_guidance,"""The intended use of stateful HBS schemes as described by [SP800208] can be used as a guideline... [SP800208] define these values""",2026-05-09,qwen3.6:27b,high
xw-073,RFC 9802,RFC 5280,intersects_with,technical_dependency,"""Certificates conforming to [RFC5280] can convey a public key for any public key algorithm... See [RFC5280] for the 1988 ASN.1 syntax""",2026-05-09,qwen3.6:27b,high
xw-074,RFC 9802,RFC 5912,intersects_with,technical_dependency,"""The AlgorithmIdentifier type is defined in [RFC5912] as follows... NOTE: The above syntax is from [RFC5912]""",2026-05-09,qwen3.6:27b,high
xw-075,RFC 9802,NSA CNSA 2.0,intersects_with,policy_reference,"""Firmware signing (see Section 1.1 of [SP800208], [CNSA2.0]... Software signing ([CNSA2.0] and [ANSSI])""",2026-05-09,qwen3.6:27b,medium
xw-076,RFC 9802,ANSSI PQC Position Paper,intersects_with,policy_reference,"""Software signing ([CNSA2.0] and [ANSSI])""",2026-05-09,qwen3.6:27b,medium
xw-077,RFC 9802,BSI TR-02102-1,intersects_with,policy_reference,"""Firmware signing (see Section 1.1 of [SP800208], [CNSA2.0], and Section 6.7 of [BSI])""",2026-05-09,qwen3.6:27b,medium
xw-078,RFC 9810,RFC 4210,superset_of,technical_dependency,"""This document obsoletes RFC 4210... This document adds support for management of certificates containing a Key Encapsulation Mechanism (KEM) public key""",2026-05-09,qwen3.6:27b,high
xw-079,RFC 9810,RFC 9480,superset_of,technical_dependency,"""This document obsoletes RFC 4210, and together with RFC 9811, it also obsoletes RFC 9480.""",2026-05-09,qwen3.6:27b,high
xw-080,RFC 9810,RFC 5912,intersects_with,technical_dependency,"""Appendix F of this document updates Section 9 of RFC 5912.""",2026-05-09,qwen3.6:27b,high
xw-081,RFC 9810,RFC 9811,intersects_with,technical_dependency,"""This document obsoletes RFC 4210, and together with RFC 9811, it also obsoletes RFC 9480.""",2026-05-09,qwen3.6:27b,high
xw-082,RFC 9810,RFC 5652,intersects_with,technical_dependency,"""Used the Cryptographic Message Syntax (CMS) [RFC5652] type EnvelopedData as the preferred choice instead of EncryptedValue""",2026-05-09,qwen3.6:27b,high
xw-083,RFC 9810,RFC 5280,intersects_with,technical_dependency,"""The term 'certificate' in this document refers to an X.509v3 certificate as defined in [RFC5280].""",2026-05-09,qwen3.6:27b,high
xw-084,RFC 9858,IETF RFC 8554,intersects_with,technical_dependency,"""This document extends HSS/LMS (RFC 8554) by defining parameter sets that use alternative hash functions.""",2026-05-09,qwen3.6:27b,high
xw-085,RFC 9858,NIST SP 800-208,intersects_with,technical_dependency,"""This document is intended to be compatible with the NIST document [NIST_SP_800-208].""",2026-05-09,qwen3.6:27b,high
xw-086,RFC 9882,FIPS 204,intersects_with,technical_dependency,"""The Module-Lattice-Based Digital Signature Algorithm (ML-DSA), as defined by NIST in FIPS 204, is a post-quantum digital signature scheme... This document specifies the conventions for using the ML-DSA signature algorithm with the Cryptographic Message Syntax (CMS).""",2026-05-09,qwen3.6:27b,high
xw-087,RFC 9882,RFC 9881,intersects_with,technical_dependency,"""[RFC9881] describes the use of ML-DSA in X.509 certificates... See Appendix B of [RFC9881] for more information on the security levels and key sizes of ML-DSA.""",2026-05-09,qwen3.6:27b,high
xw-088,RFC 9882,RFC 5652,intersects_with,technical_dependency,"""[RFC5652] specifies that digital signatures for CMS are produced using a digest of the message to be signed... [RFC5652] describes the two methods that are used to calculate and verify signatures in the CMS.""",2026-05-09,qwen3.6:27b,high
xw-089,RFC 9882,RFC 9814,intersects_with,technical_dependency,"""When EdDSA [RFC8419] and SLH-DSA [RFC9814] are used with CMS, only the pure mode of those algorithms is specified... Section 4 of [RFC9814] describes how, when the content of a signed-data is large, performance may be improved by including signed attributes.""",2026-05-09,qwen3.6:27b,high
xw-090,RFC 9882,FIPS 205,intersects_with,technical_dependency,"""It offers smaller signatures and significantly faster runtimes than SLH-DSA [FIPS205], an alternative post-quantum signature algorithm also standardised by NIST.""",2026-05-09,qwen3.6:27b,high
xw-091,RFC 9882,RFC-8032,intersects_with,technical_dependency,"""Since then, EdDSA [RFC8032], SLH-DSA [FIPS205] and ML-DSA have also been standardised, and these algorithms support both a ""pure"" and a ""pre-hash"" mode.""",2026-05-09,qwen3.6:27b,high
xw-092,RFC 9882,FIPS 186-5,intersects_with,technical_dependency,"""Table 1 shows appropriate SHA-2 and SHA-3 digest algorithms for each parameter set... SHA-512 [FIPS180] MUST be supported...""",2026-05-09,qwen3.6:27b,medium
xw-093,RFC 9882,RFC 5754,intersects_with,technical_dependency,"""When SHA-512 is used, the id-sha512 [RFC5754] digest algorithm identifier is used and the parameters field MUST be omitted.""",2026-05-09,qwen3.6:27b,high
xw-094,RFC 9882,RFC 8702,intersects_with,technical_dependency,"""When SHAKE256 is used, the id-shake256 [RFC8702] digest algorithm identifier is used and the parameters field MUST be omitted.""",2026-05-09,qwen3.6:27b,high
xw-095,RFC 9882,RFC 2119,intersects_with,technical_dependency,"""The key words ""MUST"", ""MUST NOT""... in this document are to be interpreted as described in BCP 14 [RFC2119] [RFC8174] when, and only when, they appear in all capitals""",2026-05-09,qwen3.6:27b,high
xw-096,draft-ietf-tls-ecdhe-mlkem-04,draft-ietf-tls-hybrid-design-16,subset_of,technical_dependency,"""The [hybrid] document defines a framework for combining traditional key exchanges with next-generation key exchange in TLS 1.3... This document applies the framework to ML-KEM and specifies code points for the hybrid groups.""",2026-05-09,qwen3.6:27b,high
xw-097,draft-ietf-tls-ecdhe-mlkem-04,FIPS 203,intersects_with,technical_dependency,"""ML-KEM is a key encapsulation mechanism (KEM) defined in the [NIST-FIPS-203]. It is designed to withstand cryptanalytic attacks from quantum computers.""",2026-05-09,qwen3.6:27b,high
xw-098,draft-ietf-tls-ecdhe-mlkem-04,RFC 9794,intersects_with,technical_dependency,"""The first one uses X25519 [RFC7748], is widely deployed, and often serves as the most practical choice for a single post-quantum/traditional (PQ/T) hybrid combiner [RFC9794] in TLS 1.3.""",2026-05-09,qwen3.6:27b,high
xw-099,draft-ietf-tls-ecdhe-mlkem-04,FIPS 186-5,intersects_with,technical_dependency,"""The second group uses secp256r1 (NIST P-256) [NIST-FIPS-186]. The third group uses secp384r1 (NIST P-384) [NIST-FIPS-186].""",2026-05-09,qwen3.6:27b,high
xw-100,draft-ietf-tls-ecdhe-mlkem-04,RFC 7748,intersects_with,technical_dependency,"""The first one uses X25519 [RFC7748], is widely deployed, and often serves as the most practical choice for a single post-quantum/traditional (PQ/T) hybrid combiner [RFC9794] in TLS 1.3.""",2026-05-09,qwen3.6:27b,high
xw-101,draft-ietf-tls-ecdhe-mlkem-04,RFC 8446,intersects_with,technical_dependency,"""The ECDHE share is the serialized value of the uncompressed ECDH point representation as defined in Section 4.2.8.2 of [RFC8446].""",2026-05-09,qwen3.6:27b,high
xw-102,draft-ietf-tls-mlkem-07,FIPS 203,intersects_with,technical_dependency,"""FIPS 203 (ML-KEM) [FIPS203] is a FIPS standard for post-quantum key establishment... This document defines key establishment options for TLS 1.3 that use solely post-quantum algorithms""",2026-05-09,qwen3.6:27b,high
xw-103,draft-ietf-tls-mlkem-07,RFC 9794,intersects_with,technical_dependency,"""FIPS 203 (ML-KEM) [FIPS203] is a FIPS standard for post-quantum [RFC9794] key establishment via a lattice-based key encapsulation mechanism (KEM).""",2026-05-09,qwen3.6:27b,high
xw-104,draft-ietf-tls-mlkem-07,draft-ietf-tls-hybrid-design-16,intersects_with,technical_dependency,"""Hybrid key establishment mechanisms... are supported generically via [HYBRID] with some concrete definitions in [ECDHE-MLKEM].""",2026-05-09,qwen3.6:27b,high
xw-105,draft-ietf-tls-mlkem-07,draft-ietf-tls-ecdhe-mlkem-04,intersects_with,technical_dependency,"""Hybrid key establishment mechanisms... are supported generically via [HYBRID] with some concrete definitions in [ECDHE-MLKEM].""",2026-05-09,qwen3.6:27b,high
xw-106,draft-ietf-tls-mlkem-07,RFC 8446,intersects_with,technical_dependency,"""The KEMs are defined as NamedGroups, sent in the supported_groups extension. Section 4.2.7 of [RFC8446]""",2026-05-09,qwen3.6:27b,high
xw-107,draft-ietf-ipsecme-ikev2-mlkem,FIPS 203,intersects_with,technical_dependency,"""NIST recently standardized ML-KEM... Kyber was then standardized as Module-Lattice-based Key-Encapsulation Mechanism (ML-KEM) in 2024 [FIPS203].""",2026-05-09,qwen3.6:27b,high
xw-108,draft-ietf-ipsecme-ikev2-mlkem,IETF RFC 9370,subset_of,specialization,"""This specification is a profile of the Multiple Key Exchanges in IKEv2 specification [RFC9370] and registers new algorithm identifiers for ML-KEM key exchanges in IKEv2.""",2026-05-09,qwen3.6:27b,high
xw-109,draft-ietf-ipsecme-ikev2-mlkem,IETF RFC 8784,intersects_with,technical_dependency,"""This specification can be used in conjunction with PPK as defined in [RFC8784].""",2026-05-09,qwen3.6:27b,high
xw-110,draft-ietf-ipsecme-ikev2-mlkem,RFC 9794,intersects_with,technical_dependency,"""This approach of combining a quantum-resistant with a traditional algorithm, is commonly called Post-Quantum Traditional (PQ/T) Hybrid [RFC9794] key exchange""",2026-05-09,qwen3.6:27b,high
xw-111,draft-ietf-ipsecme-ikev2-mlkem,IETF RFC 7296,intersects_with,technical_dependency,"""Such communications include Internet Key Exchange Protocol Version 2 (IKEv2)... This draft specifies how to use ML-KEM... in IKEv2""",2026-05-09,qwen3.6:27b,high
xw-112,draft-ietf-ipsecme-ikev2-mlkem,RFC-9242,intersects_with,technical_dependency,"""the Intermediate Exchange in IKEv2 document [RFC9242] defined how to do additional large message exchanges by using new IKE_INTERMEDIATE messages.""",2026-05-09,qwen3.6:27b,high
